,name,candidate_id,state,incumbent_challenge_full,party_full,office_full,cycles,election_years,last_file_date,load_date
3432,"CORCORAN, JOSEPH V",H2IN09035,IN,Challenger,REPUBLICAN PARTY,House,"[1982, 1984, 1992]",[1982],1982-03-05,2002-03-30T00:00:00
3433,"CORCORAN, JOYCE JANSA",S2WY00059,WY,Challenger,DEMOCRATIC PARTY,Senate,"[2002, 2004]",[2002],2002-08-09,2003-02-25T00:00:00
3434,"CORCORAN, TOM",S4IL00032,IL,Challenger,REPUBLICAN PARTY,Senate,"[1984, 1986, 1988, 1990, 1992, 1994, 1996]",[1984],1983-06-14,2002-04-02T00:00:00
3435,"CORDARO, ROBERT C",H8PA10022,PA,Challenger,DEMOCRATIC PARTY,House,"[1988, 1990, 1992]",[1988],1988-09-16,2002-03-30T00:00:00
3436,"CORDEN, PAUL HENRY",H8SC04177,SC,Challenger,DEMOCRATIC PARTY,House,"[2008, 2010, 2012]","[2008, 2010]",2010-05-25,2010-05-25T22:08:39
3437,"CORDERMAN, DAVID S",H8VA01162,VA,Challenger,REPUBLICAN PARTY,House,"[2008, 2010]",[2007],2007-11-13,2009-04-28T00:00:00
3438,"CORDERO, CLYDE ARTHUR JR",H0WA05091,WA,Challenger,DEMOCRATIC PARTY,House,[2010],[2010],2010-06-22,2010-07-27T22:22:34
3439,"CORDOVA, GEORGE ADAM",H2AZ08011,AZ,Open seat,DEMOCRATIC PARTY,House,"[2002, 2004]",[2002],2002-01-15,2005-03-02T00:00:00
3440,"CORDRAY, RICHARD",S8OH00052,OH,Challenger,DEMOCRATIC PARTY,Senate,"[2000, 2002, 2004]",[2000],2000-06-07,2002-04-12T00:00:00
3441,"CORDRAY, RICHARD ADAMS",H2OH15038,OH,Challenger,DEMOCRATIC PARTY,House,"[1992, 1994]",[1992],1992-04-16,2002-03-30T00:00:00
3442,"COREY, LEROY",S6IA00074,IA,Challenger,,Senate,"[1996, 1998, 2000, 2002]",[1996],1996-05-14,2002-04-12T00:00:00
3443,"COREY, MATTHEW MCKINNON",S8CT00121,CT,Challenger,REPUBLICAN PARTY,Senate,[2018],[2018],2017-08-11,2018-02-21T21:15:37
3444,"COREY, MATTHEW M MR",H2CT01189,CT,Challenger,REPUBLICAN PARTY,House,"[2012, 2014, 2016, 2018]","[2012, 2014, 2016]",2016-03-24,2017-02-23T14:47:46
3445,"CORKER, BOB",S4TN00187,TN,Challenger,REPUBLICAN PARTY,Senate,"[1994, 1996]",[1994],1994-01-04,2002-04-02T00:00:00
3446,"CORKER, ROBERT P JR",S6TN00216,TN,Incumbent,REPUBLICAN PARTY,Senate,"[2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018]","[2006, 2012, 2018]",2017-07-12,2018-02-17T09:16:20
3447,"CORLEW, BOB",H8TN06102,TN,Open seat,REPUBLICAN PARTY,House,[2018],[2018],2018-01-23,2018-07-19T21:07:53
3448,"CORLEY, DAVID LEE",H2TX03191,TX,Challenger,REPUBLICAN PARTY,House,"[1992, 1994, 1996, 1998]","[1992, 1994]",1994-03-08,2002-04-03T00:00:00
3449,"CORLEY, JASON ERIC MR.",H6TX19115,TX,Open seat,REPUBLICAN PARTY,House,"[2016, 2018]",[2016],2015-10-15,2017-02-23T14:47:46
3450,"CORLISS, MICHAEL ROBERT",S0MI00122,MI,Challenger,LIBERTARIAN PARTY,Senate,[2000],[2000],2000-02-08,2002-04-07T00:00:00
3451,"CORNELISON, LEE T",H0NC08213,NC,Challenger,REPUBLICAN PARTY,House,[2010],[2010],2010-03-15,2010-04-16T22:18:13
3452,"CORNELIUS, CLARANCE PRESTON",H2NC09035,NC,,DEMOCRATIC PARTY,House,"[1982, 1984]",[1982],1982-09-13,2002-03-30T00:00:00
3453,"CORNELL, PHILIP L",S6WA00354,WA,Challenger,DEMOCRATIC PARTY,Senate,[2016],[2016],2016-02-19,2016-11-17T06:10:49
3454,"CORNETT, CARLTON WAYNE",H2TN05081,TN,Open seat,DEMOCRATIC PARTY,House,[2002],[2002],2001-02-17,2002-08-15T00:00:00
3455,"CORNETT, MICK",H6OK00039,OK,Open seat,REPUBLICAN PARTY,House,"[2006, 2008, 2010]",[2006],2006-06-12,2009-04-29T00:00:00
3456,"CORNICELLI, ROBERT M",H4NY02046,NY,Challenger,REPUBLICAN PARTY,House,[2004],[2004],2004-05-04,2005-03-02T00:00:00
3457,"CORNILLES, ROBERT",H0OR01095,OR,Open seat,REPUBLICAN PARTY,House,"[2010, 2012]","[2010, 2012]",2011-08-11,2012-01-17T21:26:14
3458,"CORNSTUBLE, RICHARD MILLS",H6IN04136,IN,Challenger,DEMOCRATIC PARTY,House,[2006],[2006],2005-10-04,2009-04-29T00:00:00
3459,"CORNYN, JOHN",S2TX00106,TX,Incumbent,REPUBLICAN PARTY,Senate,"[2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018]","[2002, 2008, 2014, 2020]",2018-01-23,2018-02-17T09:16:20
3460,"CORODEMUS, STEVEN J",H6NJ06120,NJ,Challenger,REPUBLICAN PARTY,House,"[1996, 1998, 2000, 2002]",[1996],1996-03-04,2002-04-12T00:00:00
3461,"CORONADO, ALEXANDRIA",H2CA46099,CA,Challenger,REPUBLICAN PARTY,House,"[2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016]","[2002, 2004, 2006]",2005-07-08,2009-04-29T22:11:29
3462,"CORONADO, CORNELIUS M JR",H8CA46047,CA,Challenger,REPUBLICAN PARTY,House,"[1998, 2000]",[1998],1998-03-25,2002-04-07T00:00:00
3463,"CORREA, JOSE",H6CA46116,CA,Incumbent,DEMOCRATIC PARTY,House,"[2016, 2018]","[2016, 2018]",2017-02-17,2018-04-13T21:15:47
3464,"CORRIGAN, MICHAEL L ""MIKE""",H0VA11036,VA,Challenger,DEMOCRATIC PARTY,House,"[2000, 2002, 2004]",[2000],2000-06-13,2002-04-12T00:00:00
3465,"CORRIGAN, PETER J",H0OH10082,OH,Challenger,REPUBLICAN PARTY,House,"[2010, 2012]",[2010],2010-02-25,2011-02-24T10:53:12
3466,"CORRY, JOHN",H0CA42084,CA,Challenger,REPUBLICAN PARTY,House,"[2000, 2002]",[2000],1999-04-06,2002-04-12T00:00:00
3467,"CORSENTINO, DAN L",H4CO03118,CO,Challenger,REPUBLICAN PARTY,House,"[2004, 2006]",[2004],2003-10-15,2006-06-16T00:00:00
3468,"CORSI, DAVID",H8NJ12082,NJ,Challenger,REPUBLICAN PARTY,House,"[2008, 2010, 2012, 2014, 2016, 2018]","[2008, 2010]",2010-02-08,2010-02-23T21:57:31
3469,"CORTELLINO, CAINE",H4GA12036,GA,Challenger,DEMOCRATIC PARTY,House,"[2004, 2006]",[2004],2003-07-15,2005-03-02T00:00:00
3470,"CORTES BARRAGAN, RODOLFO",H8CA40206,CA,Challenger,GREEN PARTY,House,[2018],[2018],2017-12-29,2018-09-24T21:18:14
3471,"CORTNEY, MICHAEL JAMES",H8WA03206,WA,Challenger,REPUBLICAN PARTY,House,[2018],[2018],2018-05-30,2018-10-22T21:53:28
3472,"CORVERA, JAIME A",H2CA22124,CA,Challenger,DEMOCRATIC PARTY,House,"[2002, 2004]",[2002],2002-02-12,2002-12-04T00:00:00
3473,"CORWIN, JANE",H2NY00044,NY,Open seat,REPUBLICAN PARTY,House,[2012],[2011],2011-03-29,2011-12-20T23:00:07
3474,"CORWIN, JIM",H6MD01197,MD,Challenger,DEMOCRATIC PARTY,House,[2006],[2006],2005-10-31,2009-04-29T00:00:00
3475,"CORZINE, JON S",S8NJ00327,NJ,Incumbent,DEMOCRATIC PARTY,Senate,"[2000, 2002, 2004, 2006]","[2000, 2006]",2002-07-08,2009-04-29T00:00:00
3476,"COSGROVE, JOHN THOMAS",H0NC12033,NC,Open seat,REPUBLICAN PARTY,House,"[2000, 2002, 2004]","[2000, 2004]",2003-06-06,2004-07-19T00:00:00
3477,"COSON, GARY LYNN",S8CA00473,CA,Challenger,REPUBLICAN PARTY,Senate,[2018],[2018],2018-01-27,2018-02-17T09:16:20
3478,"COSTA, DIANNE SALVAGNO",H2TX26150,TX,Challenger,REPUBLICAN PARTY,House,"[2012, 2014, 2016, 2018]",[2012],2011-07-27,2013-04-26T09:04:30
3479,"COSTA, JIM",H4CA20082,CA,Incumbent,DEMOCRATIC PARTY,House,"[2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018]","[2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018]",2016-12-27,2018-04-05T21:08:42
3480,"COSTA, MICHAEL",S8RI00177,RI,Challenger,INDEPENDENT,Senate,[2018],[2018],2018-10-16,2018-10-31T05:42:06
3481,"COSTANZO, MARIDEE L",H2OH17125,OH,Challenger,DEMOCRATIC PARTY,House,[2002],[2002],2002-03-12,2002-04-17T00:00:00
3482,"COSTAS, WILLIAM BILL",H6IN01017,IN,Challenger,REPUBLICAN PARTY,House,"[1976, 1986, 1988, 1990]","[1976, 1986, 1990]",1990-03-14,2002-03-30T00:00:00
3483,"COSTELLO, DAVID A",H2ME02121,ME,Open seat,DEMOCRATIC PARTY,House,[2002],[2002],2001-07-29,2002-04-12T00:00:00
3484,"COSTELLO, FREDRICK WILLIAM",H2FL06158,FL,Challenger,REPUBLICAN PARTY,House,"[2012, 2014]",[2012],2012-04-17,2013-04-26T09:04:30
3485,"COSTELLO, FREDRICK WILLIAM",H6FL06183,FL,Open seat,REPUBLICAN PARTY,House,"[2016, 2018]","[2016, 2018]",2017-12-27,2018-01-30T21:08:53
3486,"COSTELLO, JERRY F",H8IL21021,IL,Challenger,DEMOCRATIC PARTY,House,"[1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018]","[1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012]",2010-12-01,2013-04-26T09:04:30
3487,"COSTELLO, LEWIS MEYER",H4VA07085,VA,Challenger,DEMOCRATIC PARTY,House,"[1984, 1986]",[1984],1984-05-14,2002-03-30T00:00:00
3488,"COSTELLO, NICHOLAS J",H4MA06058,MA,Challenger,DEMOCRATIC PARTY,House,"[1994, 1996, 1998, 2000]",[1994],1993-10-15,2002-04-07T00:00:00
3489,"COSTELLO, PAUL G",H2NY02016,NY,,REPUBLICAN PARTY,House,"[1982, 1984]",[1982],1982-08-12,2002-03-30T00:00:00
3490,"COSTELLO, REGIS J",P60008489,US,Open seat,INDEPENDENT,President,"[2016, 2018]",[2016],2015-06-24,2018-02-17T09:16:20
3491,"COSTELLO, ROBERT K",H2MI14129,MI,Challenger,DEMOCRATIC PARTY,House,[2012],[2012],2012-06-04,2012-08-13T22:08:54
3492,"COSTELLO, RYAN A",H0PA06076,PA,Incumbent,REPUBLICAN PARTY,House,"[2010, 2014, 2016, 2018]","[2010, 2014, 2016, 2018]",2018-03-23,2018-03-23T21:08:24
3493,"COSTLE, DOUGLAS M",S4VT00041,VT,Challenger,DEMOCRATIC PARTY,Senate,"[1994, 1996]",[1994],1994-04-21,2002-04-02T00:00:00
3494,"COSTLEY, MARK O",H6NC06057,NC,Challenger,DEMOCRATIC PARTY,House,"[1996, 1998, 2000]",[1996],1996-02-26,2002-04-07T00:00:00
3495,"COTE, ADAM ROLAND",H8ME01146,ME,Open seat,DEMOCRATIC PARTY,House,[2008],[2008],2007-06-20,2007-12-18T00:00:00
3496,"COTHAM, PATRICIA A",H6NC12055,NC,Challenger,DEMOCRATIC PARTY,House,"[2016, 2018]",[2016],2016-03-15,2017-02-23T14:47:46
3497,"COTTAR, THOMAS FRANKLIN III",H8TX09054,TX,Challenger,REPUBLICAN PARTY,House,"[1998, 2000]",[1998],1997-11-03,2002-04-07T00:00:00
3498,"COTTER, KATHLEEN M",H2OH19113,OH,Open seat,DEMOCRATIC PARTY,House,[1992],[1992],1992-06-01,2002-03-30T00:00:00
3499,"COTTINGHAM, SID",S4GA11160,GA,Challenger,DEMOCRATIC PARTY,Senate,"[2004, 2006]",[2004],2004-07-28,2006-06-16T00:00:00
3500,"COTTON, THOMAS",S4AR00103,AR,Incumbent,REPUBLICAN PARTY,Senate,"[2014, 2016, 2018]","[2014, 2020]",2015-04-23,2018-02-17T09:16:20
3501,"COTTON, THOMAS",H2AR04083,AR,Challenger,REPUBLICAN PARTY,House,"[2012, 2014, 2016, 2018]","[2012, 2014]",2012-11-07,2015-04-02T15:52:44
3502,"COTTRELL, DANA",H8FL11130,FL,Challenger,DEMOCRATIC PARTY,House,[2018],[2018],2018-03-12,2018-07-17T21:11:36
3503,"COUGHLIN, KEVIN J",S2OH00188,OH,Challenger,REPUBLICAN PARTY,Senate,[2012],[2012],2011-04-19,2011-11-29T22:54:40
3504,"COULSON, ELIZABETH",H0IL10294,IL,Open seat,REPUBLICAN PARTY,House,"[2010, 2012]",[2010],2009-08-22,2011-02-24T10:53:12
3505,"COULTER, NATE",S8AR00096,AR,Challenger,DEMOCRATIC PARTY,Senate,"[1998, 2000]",[1998],1997-07-10,2002-04-07T00:00:00
3506,"COUNTS, DONALD ROY",H4MO01068,MO,Challenger,REPUBLICAN PARTY,House,"[1994, 1996, 1998, 2000]",[1994],1994-09-02,2002-04-07T00:00:00
3507,"COURAGE, JOHN KENNETH",H2TX21052,TX,Challenger,DEMOCRATIC PARTY,House,"[2002, 2004, 2006, 2008, 2010, 2012]","[2002, 2006]",2005-07-18,2009-04-29T22:11:29
3508,"COURTNEY, DAWN LORAINE",H4WA03072,WA,Challenger,REPUBLICAN PARTY,House,[2004],[2004],2003-09-04,2005-03-02T00:00:00
3509,"COURTNEY, JONATHAN T E",H2ME01123,ME,Challenger,REPUBLICAN PARTY,House,"[2012, 2014]",[2012],2012-03-21,2013-04-26T09:04:30
3510,"COURTNEY, JOSEPH D",H2CT02112,CT,Incumbent,DEMOCRATIC PARTY,House,"[2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018]","[2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018]",2017-01-09,2017-03-02T21:00:15
3511,"COURTNEY, PETER COLEMAN",H4OR05023,OR,Challenger,DEMOCRATIC PARTY,House,"[1984, 1986, 1988]",[1984],1987-01-26,2002-03-30T00:00:00
3512,"COURTNEY, WILLIAM L",H2CA02126,CA,Open seat,DEMOCRATIC PARTY,House,"[2012, 2014, 2016]",[2012],2011-09-15,2013-04-26T09:04:30
3513,"COUSSOULE, JUSTIN",H0OH08102,OH,Challenger,DEMOCRATIC PARTY,House,"[2010, 2012]",[2010],2010-02-08,2011-02-24T10:53:12
3514,"COUTU, CHRISTOPHER D",H2CT02138,CT,Challenger,REPUBLICAN PARTY,House,"[2012, 2014]",[2012],2011-05-02,2013-04-26T09:04:30
3515,"COUTU, MARK STEVEN",H0FL00015,FL,Challenger,DEMOCRATIC PARTY,House,"[2000, 2002, 2004]","[2000, 2004]",2004-09-24,2005-03-02T00:00:00
3516,"COVARRUBIAS, RUBEN JR",H8CA01083,CA,Challenger,REPUBLICAN PARTY,House,"[1988, 1990, 1992, 1994, 1996]",[1988],1988-05-13,2002-04-02T00:00:00
3517,"COVERDALE, CRAIG GARRISON",H4VA08018,VA,Challenger,DEMOCRATIC PARTY,House,"[1984, 1986]",[1984],1983-06-20,2002-03-30T00:00:00
3518,"COVERDALE, MICHAEL DUANE",H6WA06203,WA,Challenger,INDEPENDENT,House,[2016],[2016],2016-06-06,2016-07-26T20:58:40
3519,"COVERDELL, PAUL DOUGLAS",S2GA00035,GA,Challenger,REPUBLICAN PARTY,Senate,"[1992, 1994, 1996, 1998, 2000, 2002]","[1992, 1998, 2000, 2002]",1998-11-30,2002-04-12T00:00:00
3520,"COVINGTON, DANA B",H6MS02071,MS,Challenger,REPUBLICAN PARTY,House,"[1996, 1998, 2000]",[1996],1996-01-17,2002-04-07T00:00:00
3521,"COWAN, ALVIN ETHELBERT",H0TX11123,TX,Challenger,REPUBLICAN PARTY,House,"[2010, 2012]",[2010],2010-01-05,2011-02-24T10:53:12
3522,"COWAN, DANIEL",H6GA11082,GA,Challenger,REPUBLICAN PARTY,House,"[2016, 2018]",[2016],2016-03-31,2017-02-23T14:47:46
3523,"COWAN, FREDERIC J",S4KY00042,KY,Challenger,DEMOCRATIC PARTY,Senate,"[2004, 2006]",[2004],2004-04-14,2004-04-16T00:00:00
3524,"COWAN, GREGORY",H0MO04102,MO,Challenger,CONSTITUTION PARTY,House,"[2010, 2012]","[2010, 2012]",2009-08-31,2012-05-04T22:06:47
3525,"COWAN, RICH",H2WA05071,WA,Challenger,DEMOCRATIC PARTY,House,"[2012, 2014, 2016]",[2012],2012-01-24,2013-04-26T09:04:30
3526,"COWART, JOHN DAVID",H2AR04117,AR,Open seat,REPUBLICAN PARTY,House,[2012],[2012],2011-11-17,2012-02-01T21:41:51
3527,"COWEN, MARTIN LINDSEY MR. III",H8GA13027,GA,Challenger,LIBERTARIAN PARTY,House,[2018],[2018],2018-03-06,2018-04-10T21:09:31
3528,"COWLES, JOHN N",H8CA24051,CA,Challenger,REPUBLICAN PARTY,House,"[1988, 1990, 1992, 1994, 1996]","[1988, 1990]",1988-04-02,2002-04-02T00:00:00
3529,"COX, ADAM",H2TN05164,TN,Open seat,DEMOCRATIC PARTY,House,"[2002, 2004]",[2002],2002-05-09,2002-07-22T00:00:00
3530,"COX, ALLEN JAMES JR",H2FL02025,FL,,DEMOCRATIC PARTY,House,"[1982, 1984]",[1982],1982-03-26,2002-03-30T00:00:00
3531,"COX, CAROLYN S",H0CO02084,CO,Challenger,REPUBLICAN PARTY,House,"[2000, 2002]",[2000],2000-03-23,2002-04-12T00:00:00
3532,"COX, CHRISTOPHER",S8CA00259,CA,Challenger,REPUBLICAN PARTY,Senate,"[1998, 2000]",[2000],1998-10-13,2002-04-07T00:00:00
3533,"COX, CHRISTOPHER HON.",H8CA40057,CA,Challenger,REPUBLICAN PARTY,House,"[1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018]","[1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006]",2004-12-30,2013-04-26T09:04:30
3534,"COX, CHRISTOPHER N",H0NY00063,NY,Challenger,REPUBLICAN PARTY,House,"[2010, 2012]",[2010],2010-03-08,2011-02-24T10:53:12
3535,"COX, DAN",H6MD08564,MD,Open seat,REPUBLICAN PARTY,House,"[2016, 2018]",[2016],2016-06-03,2017-02-23T14:47:46
3536,"COX, DAVID",H4FL06022,FL,Challenger,DEMOCRATIC PARTY,House,"[2012, 2014, 2016]",[2014],2012-12-10,2015-04-02T15:52:44
3537,"COX, DAVID LAWRENCE",H4CO03266,CO,Challenger,REPUBLICAN PARTY,House,"[2014, 2016, 2018]",[2014],2014-02-08,2014-02-28T22:21:18
3538,"COX, EDWARD F",S6NY00227,NY,Challenger,REPUBLICAN PARTY,Senate,"[2006, 2008]",[2006],2008-04-07,2009-04-29T00:00:00
3539,"COXE, GERTRUDE M",H0RI02105,RI,Challenger,REPUBLICAN PARTY,House,"[1990, 1992, 1994, 1996]",[1990],1990-03-20,2002-04-02T00:00:00
3540,"COX, IDA",H0MO06099,MO,Open seat,DEMOCRATIC PARTY,House,"[2000, 2002]",[2000],2000-07-12,2002-04-12T00:00:00
3541,"COX, JOHN ALBERT",H6AZ01116,AZ,Challenger,DEMOCRATIC PARTY,House,"[1996, 1998]","[1996, 1998]",1998-08-14,2002-04-03T00:00:00
3542,"COX, JOHN CLAYTON 'CLAY'",H2GA11123,GA,Open seat,REPUBLICAN PARTY,House,"[2002, 2004, 2006, 2008, 2010, 2012, 2014]","[2002, 2010]",2010-03-04,2011-02-24T10:53:12
3543,"COX, JOHN H",P80002983,US,Open seat,REPUBLICAN PARTY,President,"[2006, 2008, 2010, 2012]",[2008],2006-02-23,2011-06-21T09:19:06
3544,"COX, JOHN H",S0IL00188,IL,Open seat,REPUBLICAN PARTY,Senate,"[2002, 2004]","[2002, 2004]",2003-07-15,2004-02-20T00:00:00
3545,"COX, JOHN H",H0IL10161,IL,Open seat,REPUBLICAN PARTY,House,"[2000, 2002]",[2000],1999-12-17,2002-04-12T00:00:00
3546,"COX, JOHN R.",H0AK00097,AK,Challenger,REPUBLICAN PARTY,House,"[2010, 2012, 2014, 2016]","[2010, 2012, 2014]",2012-07-19,2014-06-18T22:09:10
3547,"COX, JOHN W JR",H0IL16101,IL,Challenger,DEMOCRATIC PARTY,House,"[1990, 1992, 1994, 1996]",[1992],1991-10-10,2002-04-02T00:00:00
3548,"COX, (M) KIRKLAND",H2VA04045,VA,Open seat,REPUBLICAN PARTY,House,[2002],[2001],2001-04-06,2002-04-12T00:00:00
3549,"COX, STEPHAN",H8CA39190,CA,Open seat,NONE,House,[2018],[2018],2017-08-25,2018-05-29T21:09:26
3550,"COX, STEVEN JEWELL ISOM",S0KY00271,KY,,DEMOCRATIC PARTY,Senate,[2018],[2020],2017-11-28,2018-02-21T21:15:37
3551,"COX, TERRANCE JOHN (TJ)",H8CA10167,CA,Challenger,DEMOCRATIC PARTY,House,[2018],[2018],2018-09-09,2018-09-09T21:02:49
3552,"COX, THOMAS F",S0AR00051,AR,Challenger,REPUBLICAN PARTY,Senate,[2010],[2010],2009-07-13,2009-07-21T00:00:00
3553,"COX, TJ",H6CA19113,CA,Challenger,DEMOCRATIC PARTY,House,"[2006, 2008, 2010, 2018]","[2006, 2018]",2006-05-15,2018-04-09T21:07:45
3554,"COX, WEYMAN HILLARD ""SKIP"" II",H2CA49077,CA,Challenger,REPUBLICAN PARTY,House,"[1992, 1994]",[1992],1992-03-04,2002-03-30T00:00:00
3555,"COX, WILLIAM M",H4KY01024,KY,Challenger,DEMOCRATIC PARTY,House,[1994],[1994],1993-09-21,2002-03-30T00:00:00
3556,"COY, ANDY",H2FL14087,FL,Open seat,REPUBLICAN PARTY,House,"[2002, 2004]","[2002, 2004]",2003-09-10,2004-07-19T00:00:00
3557,"COYLE, BILLY",H0OK05148,OK,Open seat,DEMOCRATIC PARTY,House,"[2010, 2012]",[2010],2010-08-16,2011-02-24T10:53:12
3558,"COYLE, DEREK",H2CA06176,CA,Open seat,REPUBLICAN PARTY,House,[1992],[1992],1992-02-24,2002-03-30T00:00:00
3559,"COYNE III, JOHN F",H6GA04137,GA,Challenger,DEMOCRATIC PARTY,House,"[2006, 2008, 2010, 2016]","[2006, 2016]",2016-06-01,2016-08-17T21:29:25
3560,"COYNE, JOHN F III",S4GA11202,GA,Challenger,DEMOCRATIC PARTY,Senate,"[2012, 2014, 2016, 2018]","[2014, 2016]",2016-08-17,2018-02-17T09:16:20
3561,"COYNE-MCCOY, KATHLEEN",H0RI02147,RI,Open seat,DEMOCRATIC PARTY,House,"[2000, 2002, 2004]",[2000],1999-05-13,2002-04-12T00:00:00
3562,"COYNE, PAUL H JR",H4CA24134,CA,Challenger,DEMOCRATIC PARTY,House,"[2014, 2016]",[2014],2013-01-14,2015-04-02T15:52:44
3563,"COYNE, THOMAS J",H2OH10146,OH,Challenger,DEMOCRATIC PARTY,House,[1992],[1992],1992-05-26,2002-03-30T00:00:00
3564,"COYNE, THOMAS J JR",H2OH19105,OH,Challenger,DEMOCRATIC PARTY,House,"[1992, 1994, 1996, 1998, 2000, 2002, 2004]","[1992, 1994, 1996]",1996-02-20,2002-04-12T00:00:00
3565,"COZAD, DAVID EDWIN",H0TX06065,TX,Challenger,DEMOCRATIC PARTY,House,"[2010, 2012, 2014, 2016]","[2010, 2012, 2014, 2016]",2015-05-27,2015-06-02T21:13:10
3566,"COZAD, HARRY WORK",H4CA02015,CA,Challenger,DEMOCRATIC PARTY,House,"[1984, 1986]",[1984],1984-05-21,2002-03-30T00:00:00
3567,"COZZENS, CHARLES FAY (CHUCK)",S4MT00035,MT,Challenger,REPUBLICAN PARTY,Senate,"[1984, 1986, 1988, 1990, 1992, 1994, 1996]",[1984],1983-12-12,2002-04-02T00:00:00
3568,"COZZI, ROBERT A JR",H8IL14034,IL,Challenger,DEMOCRATIC PARTY,House,"[1998, 2000]",[1998],1998-07-15,2002-04-07T00:00:00
3569,"CRABB, JUANITA M",H2NY26056,NY,Challenger,DEMOCRATIC PARTY,House,"[1992, 1994, 1996, 1998]",[1992],1992-06-15,2002-04-03T00:00:00
3570,"CRABIEL, DAVID B",H6NJ12094,NJ,Challenger,DEMOCRATIC PARTY,House,"[1986, 1988]",[1986],1986-04-23,2002-03-30T00:00:00
3571,"CRABTREE, VALLERI",H6FL09146,FL,Open seat,DEMOCRATIC PARTY,House,"[2014, 2016]",[2016],2014-12-02,2015-08-18T21:28:50
3572,"CRADDOCK, JAY GREGORY",S8NV00131,NV,Challenger,DEMOCRATIC PARTY,Senate,[2018],[2018],2017-03-28,2018-02-17T09:16:20
3573,"CRAFT, CHRISTOPHER LEE",H0FL16045,FL,Challenger,DEMOCRATIC PARTY,House,[2010],[2010],2009-08-06,2009-08-10T00:00:00
3574,"CRAFT, THOMAS EDWARD",H4MN02128,MN,Challenger,DEMOCRATIC PARTY,House,"[2014, 2016]",[2014],2013-07-03,2015-04-02T15:52:44
3575,"CRAIG, ANDY",H6WI04063,WI,Challenger,LIBERTARIAN PARTY,House,[2016],[2016],2015-10-17,2015-10-27T21:02:38
3576,"CRAIG, ANGELA DAWN",H6MN02131,MN,Challenger,DEMOCRATIC PARTY,House,"[2016, 2018]","[2016, 2018]",2018-10-19,2018-10-19T21:11:18
3577,"CRAIG, BRECK ANDREW MR",S6AK00201,AK,Challenger,UNKNOWN,Senate,[2016],[2016],2016-08-30,2016-11-17T06:10:49
3578,"CRAIG, EVELYN",H8IL13036,IL,Challenger,DEMOCRATIC PARTY,House,"[1988, 1990, 1992, 1994, 1996]",[1988],1988-03-17,2002-04-02T00:00:00
3579,"CRAIG, GEORGE T MD",H4CA40049,CA,Challenger,REPUBLICAN PARTY,House,"[1994, 1996, 1998, 2000, 2012]","[1994, 1996, 1998, 2012]",1998-06-26,2012-04-15T21:23:07
3580,"CRAIG, JAMES W",H6NH01248,NH,Challenger,DEMOCRATIC PARTY,House,"[2006, 2008]",[2006],2006-03-09,2009-04-29T00:00:00
3581,"CRAIG, LARRY E",S0ID00057,ID,Challenger,REPUBLICAN PARTY,Senate,"[1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018]","[1990, 1996, 2002, 2008]",2008-03-17,2018-02-17T09:16:20
3582,"CRAIG, MICHAEL J",H4OH18103,OH,Challenger,REPUBLICAN PARTY,House,"[1994, 1996]",[1994],1994-04-12,2002-04-02T00:00:00
3583,"CRAIG, RUFUS ",H4LA06047,LA,Open seat,LIBERTARIAN PARTY,House,"[2004, 2006, 2008, 2012, 2014, 2016]","[2004, 2012, 2014]",2014-09-17,2015-04-02T15:52:44
3584,"CRAIN, CHARLES R",H4CO01088,CO,Challenger,REPUBLICAN PARTY,House,"[1994, 1996, 2000, 2002, 2008]","[1994, 2000, 2008]",2008-07-10,2008-07-16T00:00:00
3585,"CRAMER, KEVIN J",H6ND00074,ND,Challenger,REPUBLICAN PARTY,House,"[1996, 1998, 2000]","[1996, 1998]",1998-05-05,2002-04-07T00:00:00
3586,"CRAMER, KEVIN MR.",H0ND01026,ND,Incumbent,REPUBLICAN PARTY,House,"[2010, 2012, 2014, 2016, 2018]","[2010, 2012, 2014, 2016, 2018]",2016-11-15,2017-02-27T21:01:34
3587,"CRAMER, KEVIN MR.",S8ND00120,ND,Challenger,REPUBLICAN PARTY,Senate,[2018],[2018],2018-09-28,2018-09-30T21:03:05
