,Date,Poll,Race/Topic (Click to Sort),Results,Spread,Year
3064,"Monday, October 17",KSTP/SurveyUSA,Minnesota 2nd District - Lewis vs. Craig,"Craig 46, Lewis 41",Craig +5,2016
3065,"Monday, October 17",GWU/Battleground,President Obama Job Approval,"Approve 53, Disapprove 44",Approve +9,2016
3066,"Monday, October 17",GWU/Battleground,2016 Generic Congressional Vote,"Democrats 47, Republicans 42",Democrats +5,2016
3067,"Monday, October 17",GWU/Battleground,Direction of Country,"Right Direction 31, Wrong Track 63",Wrong Track +32,2016
3068,"Monday, October 17",Rasmussen Reports,Direction of Country,"Right Direction 29, Wrong Track 66",Wrong Track +37,2016
3069,"Sunday, October 16",ABC News/Wash Post,General Election: Trump vs. Clinton,"Clinton 50, Trump 46",Clinton +4,2016
3070,"Sunday, October 16",ABC News/Wash Post,General Election: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 47, Trump 43, Johnson 5, Stein 2",Clinton +4,2016
3071,"Sunday, October 16",NBC News/Wall St. Jrnl,General Election: Trump vs. Clinton,"Clinton 51, Trump 41",Clinton +10,2016
3072,"Sunday, October 16",NBC News/Wall St. Jrnl,General Election: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 48, Trump 37, Johnson 7, Stein 2",Clinton +11,2016
3073,"Sunday, October 16",LA Times/USC Tracking,General Election: Trump vs. Clinton,"Clinton 44, Trump 45",Trump +1,2016
3074,"Sunday, October 16",Gravis,Florida: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 46, Trump 42, Johnson 2, Stein 1",Clinton +4,2016
3075,"Sunday, October 16",CBS News/YouGov,Nevada: Trump vs. Clinton vs. Johnson,"Clinton 46, Trump 40, Johnson 4",Clinton +6,2016
3076,"Sunday, October 16",Gravis,Colorado: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 44, Trump 39, Johnson 6, Stein 2",Clinton +5,2016
3077,"Sunday, October 16",Mason-Dixon,Montana: Trump vs. Clinton vs. Johnson vs. Stein,"Trump 46, Clinton 36, Johnson 11, Stein 0",Trump +10,2016
3078,"Sunday, October 16",Christopher Newport Univ.,Virginia: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 44, Trump 29, Johnson 11, Stein 2",Clinton +15,2016
3079,"Sunday, October 16",CBS News/YouGov,Utah: Trump vs. Clinton vs. Johnson vs. Stein vs. McMullin,"Trump 37, McMullin 20, Clinton 20, Johnson 7, Stein 1",Trump +17,2016
3080,"Sunday, October 16",Gravis,Florida Senate - Rubio vs. Murphy,"Rubio 44, Murphy 36",Rubio +8,2016
3081,"Sunday, October 16",CBS News/YouGov,Nevada Senate - Heck vs. Cortez Masto,"Cortez Masto 39, Heck 39",Tie,2016
3082,"Sunday, October 16",Gravis,Colorado Senate - Glenn vs. Bennet,"Bennet 48, Glenn 38",Bennet +10,2016
3083,"Sunday, October 16",NBC News/Wall St. Jrnl,President Obama Job Approval,"Approve 53, Disapprove 44",Approve +9,2016
3084,"Sunday, October 16",ABC News/Wash Post,2016 Generic Congressional Vote,"Democrats 47, Republicans 44",Democrats +3,2016
3085,"Sunday, October 16",NBC News/Wall St. Jrnl,2016 Generic Congressional Vote,"Democrats 47, Republicans 44",Democrats +3,2016
3086,"Sunday, October 16",NBC News/Wall St. Jrnl,Direction of Country,"Right Direction 29, Wrong Track 65",Wrong Track +36,2016
3087,"Sunday, October 16",CBS News,Direction of Country,"Right Direction 26, Wrong Track 67",Wrong Track +41,2016
3088,"Saturday, October 15",8 News NOW - Las Vegas,Nevada: Trump vs. Clinton vs. Johnson,"Clinton 43, Trump 41, Johnson 4",Clinton +2,2016
3089,"Saturday, October 15",8 News NOW - Las Vegas*,Nevada: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 43, Trump 41, Johnson 4, Stein",Clinton +2,2016
3090,"Saturday, October 15",8 News NOW - Las Vegas,Nevada Senate - Heck vs. Cortez Masto,"Cortez Masto 40, Heck 35",Cortez Masto +5,2016
3091,"Friday, October 14",Rasmussen Reports,General Election: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 41, Trump 43, Johnson 6, Stein 2",Trump +2,2016
3092,"Friday, October 14",WBUR/MassINC,New Hampshire: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 41, Trump 38, Johnson 11, Stein 3",Clinton +3,2016
3093,"Friday, October 14",PPP (D),Florida: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 46, Trump 42, Johnson 5, Stein 1",Clinton +4,2016
3094,"Friday, October 14",Monmouth,Indiana: Trump vs. Clinton vs. Johnson,"Trump 45, Clinton 41, Johnson 9",Trump +4,2016
3095,"Friday, October 14",KATU-TV/SurveyUSA,Oregon: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 48, Trump 38, Johnson 6, Stein 4",Clinton +10,2016
3096,"Friday, October 14",WFAA-TV/SurveyUSA,Texas: Trump vs. Clinton vs. Johnson vs. Stein,"Trump 47, Clinton 43, Johnson 3, Stein 1",Trump +4,2016
3097,"Friday, October 14",WBUR/MassINC,New Hampshire Senate - Ayotte vs. Hassan,"Ayotte 47, Hassan 47",Tie,2016
3098,"Friday, October 14",PPP (D)*,Florida Senate - Rubio vs. Murphy,"Rubio 48, Murphy 43",Rubio +5,2016
3099,"Friday, October 14",Monmouth*,Indiana Senate - Young vs. Bayh,"Bayh 48, Young 42",Bayh +6,2016
3100,"Friday, October 14",KATU-TV/SurveyUSA,Oregon Senate - Wyden vs. Callahan,"Wyden 54, Callahan 32",Wyden +22,2016
3101,"Friday, October 14",WBUR/MassINC,New Hampshire Governor - Sununu vs. Van Ostern,"Ostern 47, Sununu 44",Ostern +3,2016
3102,"Friday, October 14",Monmouth*,Indiana Governor - Holcomb vs. Gregg,"Gregg 50, Holcomb 38",Gregg +12,2016
3103,"Friday, October 14",KATU-TV/SurveyUSA,Oregon Governor - Pierce vs. Brown,"Brown 46, Pierce 42",Brown +4,2016
3104,"Thursday, October 13",FOX News,General Election: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 45, Trump 38, Johnson 7, Stein 3",Clinton +7,2016
3105,"Thursday, October 13",FOX News,General Election: Trump vs. Clinton,"Clinton 49, Trump 41",Clinton +8,2016
3106,"Thursday, October 13",NBC/WSJ/Marist,Ohio: Trump vs. Clinton vs. Johnson vs. Stein,"Trump 42, Clinton 41, Johnson 9, Stein 4",Trump +1,2016
3107,"Thursday, October 13",Emerson,Ohio: Trump vs. Clinton vs. Johnson vs. Stein,"Trump 43, Clinton 45, Johnson 7, Stein 2",Clinton +2,2016
3108,"Thursday, October 13",NBC/WSJ/Marist,North Carolina: Trump vs. Clinton vs. Johnson,"Clinton 45, Trump 41, Johnson 9",Clinton +4,2016
3109,"Thursday, October 13",Suffolk,North Carolina: Trump vs. Clinton vs. Johnson,"Clinton 45, Trump 43, Johnson 5",Clinton +2,2016
3110,"Thursday, October 13",Emerson*,North Carolina: Trump vs. Clinton vs. Johnson,"Clinton 46, Trump 42, Johnson 5",Clinton +4,2016
3111,"Thursday, October 13",Landmark Communications,Georgia: Trump vs. Clinton vs. Johnson,"Trump 48, Clinton 42, Johnson 4",Trump +6,2016
3112,"Thursday, October 13",Bloomberg,Pennsylvania: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 48, Trump 39, Johnson 6, Stein 4",Clinton +9,2016
3113,"Thursday, October 13",UMass Lowell/7News,New Hampshire: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 45, Trump 39, Johnson 9, Stein 2",Clinton +6,2016
3114,"Thursday, October 13",Emerson,Virginia: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 46, Trump 43, Johnson 6, Stein 0",Clinton +3,2016
3115,"Thursday, October 13",Remington Research (R),Missouri: Trump vs. Clinton vs. Johnson vs. Stein,"Trump 47, Clinton 42, Johnson 4, Stein 1",Trump +5,2016
3116,"Thursday, October 13",FOX 2 Detroit/Mitchell,Michigan: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 47, Trump 37, Johnson 7, Stein 4",Clinton +10,2016
3117,"Thursday, October 13",Monmouth,Utah: Trump vs. Clinton vs. Johnson vs. Stein vs. McMullin,"Trump 34, McMullin 20, Clinton 28, Johnson 9, Stein 1",Trump +6,2016
3118,"Thursday, October 13",Suffolk*,North Carolina Senate - Burr vs. Ross,"Burr 40, Ross 36",Burr +4,2016
3119,"Thursday, October 13",NBC/WSJ/Marist,North Carolina Senate - Burr vs. Ross,"Burr 46, Ross 46",Tie,2016
3120,"Thursday, October 13",Emerson,North Carolina Senate - Burr vs. Ross,"Burr 45, Ross 43",Burr +2,2016
3121,"Thursday, October 13",Bloomberg,Pennsylvania Senate - Toomey vs. McGinty,"Toomey 45, McGinty 47",McGinty +2,2016
3122,"Thursday, October 13",UMass Lowell/7News,New Hampshire Senate - Ayotte vs. Hassan,"Ayotte 45, Hassan 44",Ayotte +1,2016
3123,"Thursday, October 13",Landmark Communications*,Georgia Senate: Isakson vs. Barksdale,"Isakson 50, Barksdale 37",Isakson +13,2016
3124,"Thursday, October 13",NBC/WSJ/Marist,Ohio Senate - Portman vs. Strickland,"Portman 55, Strickland 37",Portman +18,2016
3125,"Thursday, October 13",Emerson,Ohio Senate - Portman vs. Strickland,"Portman 47, Strickland 30",Portman +17,2016
3126,"Thursday, October 13",Monmouth,Utah Senate - Lee vs. Snow,"Lee 60, Snow 31",Lee +29,2016
3127,"Thursday, October 13",NBC/WSJ/Marist,North Carolina Governor - McCrory vs. Cooper,"Cooper 49, McCrory 48",Cooper +1,2016
3128,"Thursday, October 13",UMass Lowell/7News*,New Hampshire Governor - Sununu vs. Van Ostern,"Ostern 39, Sununu 41",Sununu +2,2016
3129,"Thursday, October 13",Remington Research (R)*,Missouri Governor - Greitens vs. Koster,"Koster 48, Greitens 42",Koster +6,2016
3130,"Thursday, October 13",Monmouth,Utah Governor - Herbert vs. Weinholtz,"Herbert 63, Weinholtz 30",Herbert +33,2016
3131,"Thursday, October 13",FOX News,President Obama Job Approval,"Approve 57, Disapprove 41",Approve +16,2016
3132,"Thursday, October 13",Univ. of North Florida,Florida 13th District - Jolly vs. Crist,"Crist 54, Jolly 36",Crist +18,2016
3133,"Thursday, October 13",FOX News,2016 Generic Congressional Vote,"Democrats 48, Republicans 42",Democrats +6,2016
3134,"Thursday, October 13",Gallup,Congressional Job Approval,"Approve 18, Disapprove 79",Disapprove +61,2016
3135,"Wednesday, October 12",Reuters/Ipsos,General Election: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 44, Trump 37, Johnson 6, Stein 2",Clinton +7,2016
3136,"Wednesday, October 12",Reuters/Ipsos,General Election: Trump vs. Clinton,"Clinton 44, Trump 37",Clinton +7,2016
3137,"Wednesday, October 12",Marquette,Wisconsin: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 44, Trump 37, Johnson 9, Stein 3",Clinton +7,2016
3138,"Wednesday, October 12",Marquette,Wisconsin: Trump vs. Clinton,"Clinton 46, Trump 42",Clinton +4,2016
3139,"Wednesday, October 12",Opinion Savvy,Florida: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 47, Trump 44, Johnson 5, Stein 1",Clinton +3,2016
3140,"Wednesday, October 12",Monmouth,Missouri: Trump vs. Clinton vs. Johnson vs. Stein,"Trump 46, Clinton 41, Johnson 5, Stein 2",Trump +5,2016
3141,"Wednesday, October 12",Detroit News,Michigan: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 42, Trump 31, Johnson 10, Stein 5",Clinton +11,2016
3142,"Wednesday, October 12",Detroit News,Michigan: Trump vs. Clinton,"Clinton 47, Trump 33",Clinton +14,2016
3143,"Wednesday, October 12",MPRC (D),Maine: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 44, Trump 36, Johnson 9, Stein 3",Clinton +8,2016
3144,"Wednesday, October 12",MPRC (D),Maine CD2: Trump vs. Clinton vs. Johnson vs. Stein,"Trump 40, Clinton 39, Johnson 10, Stein 2",Trump +1,2016
3145,"Wednesday, October 12",MPRC (D),Maine CD1: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 49, Trump 32, Johnson 7, Stein 3",Clinton +17,2016
3146,"Wednesday, October 12",Y2 Analytics,Utah: Trump vs. Clinton vs. Johnson vs. Stein vs. McMullin,"Trump 26, McMullin 22, Clinton 26, Johnson 14, Stein 1",Tie,2016
3147,"Wednesday, October 12",Marquette,Wisconsin Senate - Johnson vs. Feingold,"Feingold 48, Johnson 46",Feingold +2,2016
3148,"Wednesday, October 12",Opinion Savvy,Florida Senate - Rubio vs. Murphy,"Rubio 48, Murphy 44",Rubio +4,2016
3149,"Wednesday, October 12",Monmouth*,Missouri Senate - Blunt vs. Kander,"Blunt 46, Kander 44",Blunt +2,2016
3150,"Wednesday, October 12",Monmouth*,Missouri Governor - Greitens vs. Koster,"Koster 46, Greitens 43",Koster +3,2016
3151,"Wednesday, October 12",Reuters/Ipsos,President Obama Job Approval,"Approve 52, Disapprove 44",Approve +8,2016
3152,"Wednesday, October 12",Reuters/Ipsos,2016 Generic Congressional Vote,"Democrats 46, Republicans 36",Democrats +10,2016
3153,"Wednesday, October 12",Reuters/Ipsos,Direction of Country,"Right Direction 25, Wrong Track 65",Wrong Track +40,2016
3154,"Tuesday, October 11",The Atlantic,General Election: Trump vs. Clinton,"Clinton 49, Trump 38",Clinton +11,2016
3155,"Tuesday, October 11",LA Times/USC Tracking,General Election: Trump vs. Clinton,"Clinton 43, Trump 45",Trump +2,2016
3156,"Tuesday, October 11",Rasmussen Reports,General Election: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 44, Trump 39, Johnson 7, Stein 2",Clinton +5,2016
3157,"Tuesday, October 11",NBC News/Wall St. Jrnl,General Election: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 46, Trump 37, Johnson 8, Stein 2",Clinton +9,2016
3158,"Tuesday, October 11",NBC News/Wall St. Jrnl,General Election: Trump vs. Clinton,"Clinton 50, Trump 40",Clinton +10,2016
3159,"Tuesday, October 11",Susquehanna,Pennsylvania: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 44, Trump 40, Johnson 4, Stein 2",Clinton +4,2016
3160,"Tuesday, October 11",Roanoke College,Virginia: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 45, Trump 36, Johnson 7, Stein 1",Clinton +9,2016
3161,"Tuesday, October 11",Susquehanna*,Pennsylvania Senate - Toomey vs. McGinty,"Toomey 42, McGinty 38",Toomey +4,2016
3162,"Tuesday, October 11",Univ. of North Florida,Florida Senate - Rubio vs. Murphy,"Rubio 48, Murphy 41",Rubio +7,2016
3163,"Tuesday, October 11",NBC News/Wall St. Jrnl,2016 Generic Congressional Vote,"Democrats 48, Republicans 42",Democrats +6,2016
3164,"Monday, October 10",NBC News/Wall St. Jrnl,General Election: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 46, Trump 35, Johnson 9, Stein 2",Clinton +11,2016
3165,"Monday, October 10",NBC News/Wall St. Jrnl,General Election: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 46, Trump 35, Johnson 9, Stein 2",Clinton +11,2016
3166,"Monday, October 10",NBC News/Wall St. Jrnl,General Election: Trump vs. Clinton,"Clinton 52, Trump 38",Clinton +14,2016
3167,"Monday, October 10",Rasmussen Reports,General Election: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 45, Trump 38, Johnson 7, Stein 2",Clinton +7,2016
3168,"Monday, October 10",LA Times/USC Tracking,General Election: Trump vs. Clinton,"Clinton 43, Trump 46",Trump +3,2016
3169,"Monday, October 10",NBC News/SM,General Election: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 46, Trump 41, Johnson 8, Stein 3",Clinton +5,2016
3170,"Monday, October 10",NBC News/SM,General Election: Trump vs. Clinton,"Clinton 51, Trump 44",Clinton +7,2016
3171,"Monday, October 10",High Point,North Carolina: Trump vs. Clinton vs. Johnson,"Clinton 43, Trump 42, Johnson 8",Clinton +1,2016
3172,"Monday, October 10",Loras,Wisconsin: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 43, Trump 35, Johnson 8, Stein 2",Clinton +8,2016
3173,"Monday, October 10",High Point*,North Carolina Senate - Burr vs. Ross,"Burr 47, Ross 42",Burr +5,2016
3174,"Monday, October 10",High Point*,North Carolina Governor - McCrory vs. Cooper,"Cooper 49, McCrory 42",Cooper +7,2016
3175,"Monday, October 10",Loras,Wisconsin Senate - Johnson vs. Feingold,"Feingold 40, Johnson 45",Johnson +5,2016
3176,"Monday, October 10",Gallup,President Obama Job Approval,"Approve 53, Disapprove 44",Approve +9,2016
3177,"Monday, October 10",Rasmussen Reports,President Obama Job Approval,"Approve 51, Disapprove 48",Approve +3,2016
3178,"Monday, October 10",Rasmussen Reports,Direction of Country,"Right Direction 30, Wrong Track 65",Wrong Track +35,2016
3179,"Sunday, October 9",Economist/YouGov,General Election: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 44, Trump 38, Johnson 5, Stein 1",Clinton +6,2016
3180,"Sunday, October 9",Economist/YouGov,General Election: Trump vs. Clinton,"Clinton 48, Trump 43",Clinton +5,2016
3181,"Sunday, October 9",CBS News/YouGov,Ohio: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 46, Trump 42, Johnson 5, Stein 2",Clinton +4,2016
3182,"Sunday, October 9",CBS News/YouGov,Wisconsin: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 43, Trump 39, Johnson 4, Stein 1",Clinton +4,2016
3183,"Sunday, October 9",Des Moines Register,Iowa: Trump vs. Clinton vs. Johnson vs. Stein,"Trump 43, Clinton 39, Johnson 6, Stein 2",Trump +4,2016
3184,"Sunday, October 9",NBC/WSJ/Marist,Florida: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 45, Trump 42, Johnson 5, Stein 3",Clinton +3,2016
3185,"Sunday, October 9",NBC/WSJ/Marist,Pennsylvania: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 49, Trump 37, Johnson 6, Stein 4",Clinton +12,2016
3186,"Sunday, October 9",CBS News/YouGov,Pennsylvania: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 48, Trump 40, Johnson 4, Stein 2",Clinton +8,2016
3187,"Sunday, October 9",NBC/WSJ/Marist,Florida Senate - Rubio vs. Murphy,"Rubio 48, Murphy 46",Rubio +2,2016
3188,"Sunday, October 9",NBC/WSJ/Marist,Pennsylvania Senate - Toomey vs. McGinty,"McGinty 48, Toomey 44",McGinty +4,2016
3189,"Sunday, October 9",CBS News/YouGov,Pennsylvania Senate - Toomey vs. McGinty,"McGinty 42, Toomey 42",Tie,2016
3190,"Sunday, October 9",CBS News/YouGov,Ohio Senate - Portman vs. Strickland,"Portman 49, Strickland 38",Portman +11,2016
3191,"Sunday, October 9",CBS News/YouGov,Wisconsin Senate - Johnson vs. Feingold,"Feingold 45, Johnson 42",Feingold +3,2016
3192,"Sunday, October 9",Economist/YouGov,President Obama Job Approval,"Approve 49, Disapprove 49",Tie,2016
3193,"Sunday, October 9",Economist/YouGov,2016 Generic Congressional Vote,"Democrats 42, Republicans 39",Democrats +3,2016
3194,"Sunday, October 9",Economist/YouGov,Congressional Job Approval,"Approve 11, Disapprove 64",Disapprove +53,2016
3195,"Sunday, October 9",Economist/YouGov,Direction of Country,"Right Direction 30, Wrong Track 62",Wrong Track +32,2016
3196,"Saturday, October 8",Hampton University,Virginia: Trump vs. Clinton,"Clinton 46, Trump 34",Clinton +12,2016
3197,"Saturday, October 8",Gravis,Colorado: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 40, Trump 40, Johnson 10, Stein 3",Tie,2016
3198,"Saturday, October 8",Gravis,Oregon: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 47, Trump 39, Johnson 4, Stein 2",Clinton +8,2016
3199,"Saturday, October 8",Moore Info. (R),Alaska: Trump vs. Clinton vs. Johnson vs. Stein,"Trump 37, Clinton 34, Johnson 10, Stein 2",Trump +3,2016
3200,"Saturday, October 8",Gravis,Colorado Senate - Glenn vs. Bennet,"Bennet 47, Glenn 39",Bennet +8,2016
3201,"Saturday, October 8",Moore Info. (R)*,Alaska Senate - Murkowski vs. Metcalfe vs. Miller vs. Stock,"Murkowski 49, Miller 16, Metcalfe 9, Stock 8",Murkowski +33,2016
3202,"Saturday, October 8",Gravis,Oregon Senate - Wyden vs. Callahan,"Wyden 52, Callahan 33",Wyden +19,2016
3203,"Saturday, October 8",Newsday/Siena,New York 1st District - Zeldin vs. Throne-Holst,"Zeldin 53, Throne-Holst 38",Zeldin +15,2016
3204,"Saturday, October 8",Newsday/Siena,New York 3rd District - Martins vs. Suozzi,"Suozzi 50, Martins 34",Suozzi +16,2016
3205,"Friday, October 7",FOX News,General Election: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 44, Trump 42, Johnson 6, Stein 2",Clinton +2,2016
3206,"Friday, October 7",FOX News,General Election: Trump vs. Clinton,"Clinton 48, Trump 44",Clinton +4,2016
3207,"Friday, October 7",Quinnipiac,General Election: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 45, Trump 40, Johnson 6, Stein 3",Clinton +5,2016
3208,"Friday, October 7",Quinnipiac,General Election: Trump vs. Clinton,"Clinton 50, Trump 44",Clinton +6,2016
3209,"Friday, October 7",Rasmussen Reports,General Election: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 43, Trump 42, Johnson 7, Stein 2",Clinton +1,2016
3210,"Friday, October 7",LA Times/USC Tracking,General Election: Trump vs. Clinton,"Clinton 44, Trump 46",Trump +2,2016
3211,"Friday, October 7",Gravis,Florida: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 47, Trump 45, Johnson 2, Stein 1",Clinton +2,2016
3212,"Friday, October 7",Gravis,Wisconsin: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 48, Trump 40, Johnson 4, Stein 1",Clinton +8,2016
3213,"Friday, October 7",KOMO/Strategies 360,Washington: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 47, Trump 31, Johnson 10, Stein 4",Clinton +16,2016
3214,"Friday, October 7",WTHR/Howey Politics*,Indiana Senate - Young vs. Bayh,"Bayh 42, Young 41",Bayh +1,2016
3215,"Friday, October 7",Gravis,Florida Senate - Rubio vs. Murphy,"Rubio 44, Murphy 40",Rubio +4,2016
3216,"Friday, October 7",Gravis,Wisconsin Senate - Johnson vs. Feingold,"Feingold 53, Johnson 41",Feingold +12,2016
3217,"Friday, October 7",KOMO/Strategies 360,Washington Governor - Bryant vs. Inslee,"Inslee 50, Bryant 40",Inslee +10,2016
3218,"Friday, October 7",FOX News,President Obama Job Approval,"Approve 51, Disapprove 48",Approve +3,2016
3219,"Thursday, October 6",Boston Globe/Suffolk,New Hampshire: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 44, Trump 42, Johnson 5, Stein 1",Clinton +2,2016
3220,"Thursday, October 6",PPP (D),Ohio: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 44, Trump 43, Johnson 5, Stein 2",Clinton +1,2016
3221,"Thursday, October 6",WTHR/Howey Politics,Indiana: Trump vs. Clinton vs. Johnson,"Trump 43, Clinton 38, Johnson 11",Trump +5,2016
3222,"Thursday, October 6",Detroit Free Press,Michigan: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 43, Trump 32, Johnson 10, Stein 3",Clinton +11,2016
3223,"Thursday, October 6",Emerson,Florida: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 44, Trump 45, Johnson 4, Stein 3",Trump +1,2016
3224,"Thursday, October 6",Univ. of North Florida,Florida: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 41, Trump 38, Johnson 6, Stein 3",Clinton +3,2016
3225,"Thursday, October 6",Emerson*,Nevada: Trump vs. Clinton vs. Johnson,"Clinton 43, Trump 43, Johnson 9",Tie,2016
3226,"Thursday, October 6",Emerson,Arizona: Trump vs. Clinton vs. Johnson vs. Stein,"Trump 42, Clinton 44, Johnson 9, Stein 1",Clinton +2,2016
3227,"Thursday, October 6",OH Predictive Insights,Arizona: Trump vs. Clinton vs. Johnson vs. Stein,"Trump 42, Clinton 42, Johnson 5, Stein 1",Tie,2016
3228,"Thursday, October 6",Vanderbilt University,Tennessee: Trump vs. Clinton vs. Johnson vs. Stein,"Trump 44, Clinton 33, Johnson 7, Stein 1",Trump +11,2016
3229,"Thursday, October 6",Wash Post/Univ. of Maryland,Maryland: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 63, Trump 27, Johnson 4, Stein 2",Clinton +36,2016
3230,"Thursday, October 6",Emerson,Rhode Island: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 52, Trump 32, Johnson 5, Stein 5",Clinton +20,2016
3231,"Thursday, October 6",Western NE University,Massachusetts: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 58, Trump 26, Johnson 7, Stein 4",Clinton +32,2016
3232,"Thursday, October 6",Rasmussen Reports,General Election: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 41, Trump 43, Johnson 8, Stein 3",Trump +2,2016
3233,"Thursday, October 6",The Atlantic/PRRI,General Election: Trump vs. Clinton,"Clinton 47, Trump 41",Clinton +6,2016
3234,"Thursday, October 6",Boston Globe/Suffolk*,New Hampshire Senate - Ayotte vs. Hassan,"Ayotte 47, Hassan 41",Ayotte +6,2016
3235,"Thursday, October 6",PPP (D),Ohio Senate - Portman vs. Strickland,"Portman 51, Strickland 36",Portman +15,2016
3236,"Thursday, October 6",Emerson,Florida Senate - Rubio vs. Murphy,"Rubio 47, Murphy 39",Rubio +8,2016
3237,"Thursday, October 6",Emerson,Nevada Senate - Heck vs. Cortez Masto,"Heck 45, Cortez Masto 41",Heck +4,2016
3238,"Thursday, October 6",Emerson,Arizona Senate - McCain vs. Kirkpatrick,"McCain 52, Kirkpatrick 36",McCain +16,2016
3239,"Thursday, October 6",Wash Post/Univ. of Maryland*,Maryland Senate - Szeliga vs. Van Hollen,"Van Hollen 58, Szeliga 29",Van Hollen +29,2016
3240,"Thursday, October 6",Boston Globe/Suffolk*,New Hampshire Governor - Sununu vs. Van Ostern,"Sununu 40, Ostern 36",Sununu +4,2016
3241,"Thursday, October 6",CNN/ORC,President Obama Job Approval,"Approve 55, Disapprove 44",Approve +11,2016
3242,"Wednesday, October 5",Monmouth,Ohio: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 44, Trump 42, Johnson 5, Stein 1",Clinton +2,2016
3243,"Wednesday, October 5",WRAL-TV/SurveyUSA,North Carolina: Trump vs. Clinton vs. Johnson,"Clinton 46, Trump 44, Johnson 5",Clinton +2,2016
3244,"Wednesday, October 5",KTVT-CBS 11,Texas: Trump vs. Clinton vs. Johnson vs. Stein,"Trump 45, Clinton 38, Johnson 4, Stein 1",Trump +7,2016
3245,"Wednesday, October 5",KOB-TV/SurveyUSA,New Mexico: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 46, Trump 33, Johnson 14, Stein 2",Clinton +13,2016
3246,"Wednesday, October 5",Gravis,General Election: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 44, Trump 44, Johnson 5, Stein 1",Tie,2016
3247,"Wednesday, October 5",Reuters/Ipsos,General Election: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 42, Trump 36, Johnson 8, Stein 2",Clinton +6,2016
3248,"Wednesday, October 5",Rasmussen Reports,General Election: Trump vs. Clinton vs. Johnson vs. Stein,"Clinton 41, Trump 42, Johnson 8, Stein 2",Trump +1,2016
3249,"Wednesday, October 5",Quinnipiac,Florida Senate - Rubio vs. Murphy,"Rubio 48, Murphy 44",Rubio +4,2016
3250,"Wednesday, October 5",Quinnipiac,Pennsylvania Senate - Toomey vs. McGinty,"McGinty 42, Toomey 50",Toomey +8,2016
