Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
Missouri Senate - Blunt vs. Carnahan,Rasmussen Reports,"Blunt 47, Carnahan 45",Blunt +2,2010-07-14,2010
Arizona Senate - Republican Primary,Behavior Research Center,"McCain 64, Hayworth 19",McCain +45,2010-07-14,2010
Obama and Democrats' Health Care Plan,PPP (D),"For/Favor 40, Against/Oppose 53",Against/Oppose +13,2010-07-14,2010
President Obama Job Approval,Bloomberg,"Approve 52, Disapprove 44",Approve +8,2010-07-14,2010
New Hampshire Senate - Binnie vs. Hodes,Rasmussen Reports,"Binnie 49, Hodes 38",Binnie +11,2010-07-14,2010
North Carolina Senate - Burr vs. Marshall,SurveyUSA*,"Burr 46, Marshall 36",Burr +10,2010-07-14,2010
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 64",Wrong Track +33,2010-07-14,2010
Georgia Governor - Republican Primary,Magellan Strategies (R),"Handel 32, Deal 18, Oxendine 18, Johnson 12",Handel +14,2010-07-14,2010
New Hampshire Senate - Ayotte vs. Hodes,Rasmussen Reports,"Ayotte 49, Hodes 37",Ayotte +12,2010-07-14,2010
Maryland Senate - Wargotz vs. Mikulski,PPP (D),"Mikulski 59, Wargotz 27",Mikulski +32,2010-07-14,2010
Maryland Senate - Rutledge vs. Mikulski,PPP (D),"Mikulski 58, Rutledge 30",Mikulski +28,2010-07-14,2010
Generic Congressional Vote,Bloomberg,"Republicans 48, Democrats 40",Republicans +8,2010-07-14,2010
Georgia Governor - Republican Primary,Rasmussen Reports,"Handel 25, Deal 25, Oxendine 20, Johnson 13",Tie,2010-07-15,2010
Georgia Governor - Democratic Primary,Mason-Dixon,"Barnes 54, Baker 20",Barnes +34,2010-07-15,2010
Georgia Governor - Republican Primary,Mason-Dixon,"Handel 23, Deal 18, Oxendine 31, Johnson 6",Oxendine +8,2010-07-15,2010
Georgia Governor - Republican Primary,Insider Advantage,"Handel 24, Deal 16, Oxendine 15, Johnson 13",Handel +8,2010-07-15,2010
California Governor - Whitman vs. Brown,Rasmussen Reports,"Whitman 47, Brown 46",Whitman +1,2010-07-15,2010
President Obama Job Approval,Gallup,"Approve 46, Disapprove 47",Disapprove +1,2010-07-15,2010
Wisconsin Senate - Feingold vs. Johnson,Rasmussen Reports,"Feingold 46, Johnson 47",Johnson +1,2010-07-15,2010
President Obama Job Approval,Time,"Approve 49, Disapprove 45",Approve +4,2010-07-15,2010
President Obama Job Approval,FOX News,"Approve 43, Disapprove 48",Disapprove +5,2010-07-15,2010
Connecticut Governor - Democratic Primary,Quinnipiac,"Lamont 46, Malloy 37",Lamont +9,2010-07-15,2010
President Obama Job Approval,Rasmussen Reports,"Approve 46, Disapprove 53",Disapprove +7,2010-07-15,2010
Connecticut Governor - Foley vs. Lamont,Quinnipiac,"Lamont 45, Foley 33",Lamont +12,2010-07-15,2010
Direction of Country,Time,"Right Direction 39, Wrong Track 56",Wrong Track +17,2010-07-15,2010
Connecticut Governor - Republican Primary,Quinnipiac,"Foley 48, Fedele 13, Griebel 7",Foley +35,2010-07-15,2010
Connecticut Governor - Foley vs. Malloy,Quinnipiac,"Malloy 44, Foley 33",Malloy +11,2010-07-15,2010
Nevada Governor - Sandoval vs. Reid,Rasmussen Reports,"Sandoval 57, Reid 36",Sandoval +21,2010-07-15,2010
New York Senate - Berntsen vs. Townsend,Siena,"Townsend 24, Berntsen 13",Townsend +11,2010-07-15,2010
New York Senate - Townsend vs. Schumer,Siena,"Schumer 63, Townsend 26",Schumer +37,2010-07-15,2010
New York Senate - Berntsen vs. Schumer,Siena,"Schumer 63, Berntsen 26",Schumer +37,2010-07-15,2010
Generic Congressional Vote,Time,"Republicans 42, Democrats 43",Democrats +1,2010-07-15,2010
New York Senate - Malpass vs. Gillibrand,Siena,"Gillibrand 50, Malpass 27",Gillibrand +23,2010-07-15,2010
New York Senate - DioGuardi vs. Gillibrand,Siena,"Gillibrand 51, DioGuardi 29",Gillibrand +22,2010-07-15,2010
New York Senate - Blakeman vs. Gillibrand,Siena,"Gillibrand 51, Blakeman 28",Gillibrand +23,2010-07-15,2010
New York Governor - Lazio vs. Cuomo,Siena,"Cuomo 60, Lazio 28",Cuomo +32,2010-07-15,2010
Texas Governor - Perry vs. White,Rasmussen Reports,"Perry 50, White 41",Perry +9,2010-07-15,2010
New York Senate - Republican Primary,Siena,"DioGuardi 24, Blakeman 7, Malpass 5",DioGuardi +17,2010-07-15,2010
Washington Senate - Rossi vs. Murray,Rasmussen Reports,"Murray 45, Rossi 48",Rossi +3,2010-07-16,2010
Nevada Senate - Angle vs. Reid,Las Vegas Review-Journal,"Reid 44, Angle 37",Reid +7,2010-07-16,2010
Pennsylvania Governor - Corbett vs. Onorato,Rasmussen Reports,"Corbett 48, Onorato 38",Corbett +10,2010-07-16,2010
Connecticut Senate - McMahon vs. Blumenthal,Quinnipiac,"Blumenthal 54, McMahon 37",Blumenthal +17,2010-07-16,2010
Generic Congressional Vote,FOX News,"Republicans 41, Democrats 37",Republicans +4,2010-07-16,2010
Colorado Governor - Maes vs. Hickenlooper,Rasmussen Reports,"Hickenlooper 46, Maes 43",Hickenlooper +3,2010-07-16,2010
Wisconsin Senate - Feingold vs. Johnson,Univ. of Wisconsin,"Feingold 33, Johnson 28",Feingold +5,2010-07-16,2010
Delaware Senate - Castle vs. Coons,Rasmussen Reports,"Castle 47, Coons 36",Castle +11,2010-07-16,2010
Georgia Governor - Democratic Primary,Rasmussen Reports,"Barnes 59, Baker 16",Barnes +43,2010-07-16,2010
Colorado Governor - McInnis vs. Hickenlooper,Rasmussen Reports,"McInnis 43, Hickenlooper 45",Hickenlooper +2,2010-07-16,2010
Nevada Governor - Sandoval vs. Reid,Las Vegas Review-Journal,"Sandoval 47, Reid 36",Sandoval +11,2010-07-17,2010
Wisconsin Governor - Walker vs. Barrett,Rasmussen Reports,"Walker 48, Barrett 44",Walker +4,2010-07-17,2010
Alaska Governor - Parnell vs. French,Rasmussen Reports,"Parnell 57, French 29",Parnell +28,2010-07-17,2010
Alaska Governor - Parnell vs. Berkowitz,Rasmussen Reports,"Parnell 53, Berkowitz 34",Parnell +19,2010-07-17,2010
Nevada 3rd District - Heck vs. Titus,Las Vegas Review-Journal,"Titus 42, Heck 40",Titus +2,2010-07-18,2010
Arkansas Governor - Keet vs. Beebe,Talk Business Poll,"Beebe 50, Keet 41",Beebe +9,2010-07-18,2010
Arkansas Senate - Boozman vs. Lincoln,Talk Business Poll,"Boozman 57, Lincoln 32",Boozman +25,2010-07-18,2010
Georgia Governor - Republican Primary,Mason-Dixon,"Handel 29, Deal 20, Oxendine 22, Johnson 13",Handel +7,2010-07-18,2010
Georgia Governor - Republican Primary,Magellan Strategies (R),"Handel 38, Deal 20, Oxendine 12, Johnson 17",Handel +18,2010-07-19,2010
Michigan Governor - Republican Primary,Detroit News,"Hoekstra 26, Snyder 20, Cox 26, Bouchard 12",Tie,2010-07-19,2010
Pennsylvania Senate - Sestak vs. Toomey,Rasmussen Reports,"Toomey 45, Sestak 38",Toomey +7,2010-07-19,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 45, Democrats 36",Republicans +9,2010-07-19,2010
Generic Congressional Vote,Gallup,"Republicans 43, Democrats 49",Democrats +6,2010-07-19,2010
Generic Congressional Vote,PPP (D),"Republicans 43, Democrats 43",Tie,2010-07-19,2010
Arizona Governor - Brewer vs. Goddard,Behavior Research Center,"Brewer 45, Goddard 25",Brewer +20,2010-07-19,2010
Michigan Governor - Republican Primary,Detroit News,"Hoekstra 26, Cox 26, Snyder 20, Bouchard 12",Tie,2010-07-19,2010
Obama and Democrats' Health Care Plan,Rasmussen Reports,"For/Favor 38, Against/Oppose 56",Against/Oppose +18,2010-07-19,2010
Connecticut Senate - McMahon vs. Blumenthal,Rasmussen Reports,"Blumenthal 53, McMahon 40",Blumenthal +13,2010-07-20,2010
Ohio Senate - Portman vs. Fisher,Rasmussen Reports,"Portman 45, Fisher 39",Portman +6,2010-07-20,2010
Nevada Senate - Angle vs. Reid,PPP (D),"Reid 48, Angle 46",Reid +2,2010-07-20,2010
Wisconsin Senate - Feingold vs. Johnson,Magellan Strategies (R),"Feingold 45, Johnson 43",Feingold +2,2010-07-20,2010
Florida Senate - Rubio vs. Meek vs. Crist,PPP (D),"Rubio 29, Crist 35, Meek 17",Crist +6,2010-07-20,2010
Florida Senate - Rubio vs. Greene vs. Crist,PPP (D),"Crist 38, Rubio 29, Greene 13",Crist +9,2010-07-20,2010
Michigan Governor - Democratic Primary,Detroit News,"Dillon 34, Bernero 25",Dillon +9,2010-07-20,2010
Connecticut Senate - Simmons vs. Blumenthal,Rasmussen Reports,"Blumenthal 52, Simmons 38",Blumenthal +14,2010-07-20,2010
Kansas Senate - Democratic Primary,SurveyUSA,"Johnston 23, Schollenberger 14, Haley 12, Conroy 7, Wiesner 7",Johnston +9,2010-07-20,2010
Arkansas Senate - Boozman vs. Lincoln,Magellan Strategies (R),"Boozman 60, Lincoln 29",Boozman +31,2010-07-20,2010
Arkansas Governor - Keet vs. Beebe,Reuters/Ipsos,"Beebe 57, Keet 35",Beebe +22,2010-07-20,2010
Kansas Senate - Republican Primary,SurveyUSA,"Moran 50, Tiahrt 36",Moran +14,2010-07-20,2010
Maine Governor - LePage vs. Mitchell vs. Cutler,Rasmussen Reports,"LePage 39, Mitchell 31, Cutler 15",LePage +8,2010-07-20,2010
Idaho Senate - Crapo vs. Sullivan,Rasmussen Reports,"Crapo 64, Sullivan 27",Crapo +37,2010-07-20,2010
Florida Senate - Rubio vs. Meek vs. Crist,PPP (D),"Crist 35, Rubio 29, Meek 17",Crist +6,2010-07-20,2010
Arkansas Senate - Boozman vs. Lincoln,Reuters/Ipsos,"Boozman 54, Lincoln 35",Boozman +19,2010-07-20,2010
Minnesota Governor - Emmer vs. Dayton vs. Horner,Rasmussen Reports,"Dayton 40, Emmer 36, Horner 10",Dayton +4,2010-07-21,2010
Ohio Governor - Kasich vs. Strickland,Rasmussen Reports,"Kasich 48, Strickland 43",Kasich +5,2010-07-21,2010
Florida Governor - McCollum vs. Sink vs. Chiles,PPP (D),"Sink 37, McCollum 23, Chiles 14",Sink +14,2010-07-21,2010
Florida Governor - Scott vs. Sink vs. Chiles,PPP (D),"Sink 36, Scott 30, Chiles 13",Sink +6,2010-07-21,2010
Kentucky Senate - Paul vs. Conway,Rasmussen Reports,"Paul 49, Conway 41",Paul +8,2010-07-21,2010
Nevada Governor - Sandoval vs. Reid,PPP (D),"Sandoval 52, Reid 38",Sandoval +14,2010-07-21,2010
Minnesota Governor - Emmer vs. Kelliher vs. Horner,Rasmussen Reports,"Kelliher 40, Emmer 35, Horner 11",Kelliher +5,2010-07-21,2010
President Obama Job Approval,Quinnipiac,"Approve 44, Disapprove 48",Disapprove +4,2010-07-21,2010
Virginia 5th District - Hurt vs. Perriello,SurveyUSA,"Hurt 58, Perriello 35",Hurt +23,2010-07-21,2010
Florida Governor - Scott vs. Sink vs. Chiles,PPP (D),"Scott 30, Sink 36, Chiles 13",Sink +6,2010-07-21,2010
Generic Congressional Vote,Quinnipiac,"Republicans 43, Democrats 38",Republicans +5,2010-07-21,2010
Arizona Immigration Law,Quinnipiac,"For/Favor 55, Against/Oppose 30",For/Favor +25,2010-07-21,2010
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 67",Wrong Track +40,2010-07-21,2010
Idaho Governor - Otter vs. Allred,Rasmussen Reports,"Otter 53, Allred 36",Otter +17,2010-07-21,2010
Minnesota Governor - Emmer vs. Entenza vs. Horner,Rasmussen Reports,"Entenza 37, Emmer 36, Horner 12",Entenza +1,2010-07-21,2010
Florida Senate - Rubio vs. Meek vs. Crist,Rasmussen Reports,"Rubio 35, Crist 33, Meek 20",Rubio +2,2010-07-22,2010
Florida Governor - Republican Primary,PPP (D),"Scott 43, McCollum 29",Scott +14,2010-07-22,2010
Florida Senate - Democratic Primary,PPP (D),"Meek 28, Greene 25",Meek +3,2010-07-22,2010
New York Governor - Paladino vs. Cuomo,Rasmussen Reports,"Cuomo 58, Paladino 29",Cuomo +29,2010-07-22,2010
Georgia Governor - Deal vs. Barnes,Rasmussen Reports,"Deal 49, Barnes 43",Deal +6,2010-07-22,2010
Florida Senate - Rubio vs. Greene vs. Crist,Rasmussen Reports,"Crist 36, Rubio 34, Greene 19",Crist +2,2010-07-22,2010
New York Governor - Lazio vs. Cuomo,Rasmussen Reports,"Cuomo 58, Lazio 27",Cuomo +31,2010-07-22,2010
Arkansas Governor - Keet vs. Beebe,Rasmussen Reports,"Beebe 50, Keet 40",Beebe +10,2010-07-22,2010
President Obama Job Approval,CNN/Opinion Research,"Approve 47, Disapprove 50",Disapprove +3,2010-07-22,2010
Virginia 9th District - Griffith vs. Boucher,SurveyUSA,"Boucher 52, Griffith 39",Boucher +13,2010-07-22,2010
Congressional Job Approval,Gallup,"Approve 20, Disapprove 73",Disapprove +53,2010-07-22,2010
Georgia Governor - Handel vs. Barnes,Rasmussen Reports,"Barnes 44, Handel 45",Handel +1,2010-07-22,2010
Arkansas Senate - Boozman vs. Lincoln,Rasmussen Reports,"Boozman 60, Lincoln 35",Boozman +25,2010-07-23,2010
Generic Congressional Vote,CNN/Opinion Research,"Republicans 49, Democrats 44",Republicans +5,2010-07-23,2010
Kentucky Senate - Paul vs. Conway,CN|2/Braun Research,"Paul 41, Conway 38",Paul +3,2010-07-23,2010
Arizona Governor - Brewer vs. Goddard,Rasmussen Reports,"Brewer 56, Goddard 37",Brewer +19,2010-07-23,2010
Rhode Island Governor - Chafee vs. Caprio vs. Robitaille,Rasmussen Reports,"Chafee 37, Caprio 30, Robitaille 23",Chafee +7,2010-07-23,2010
West Virginia Senate Special Election - Raese vs. Manchin,Rasmussen Reports,"Manchin 51, Raese 35",Manchin +16,2010-07-23,2010
North Dakota At-Large - Berg vs. Pomeroy,Rasmussen Reports,"Berg 49, Pomeroy 46",Berg +3,2010-07-24,2010
Missouri Senate - Blunt vs. Carnahan,Post-Dispatch/Mason-Dixon,"Blunt 48, Carnahan 42",Blunt +6,2010-07-25,2010
Tennessee Governor - Ramsey vs. McWherter,Mason-Dixon,"Ramsey 43, McWherter 38",Ramsey +5,2010-07-26,2010
Arizona Senate - Republican Primary,Rasmussen Reports,"McCain 54, Hayworth 34",McCain +20,2010-07-26,2010
Obama and Democrats' Health Care Plan,Rasmussen Reports*,"For/Favor 37, Against/Oppose 58",Against/Oppose +21,2010-07-26,2010
Tennessee Governor - Republican Primary,Mason-Dixon,"Haslam 36, Wamp 25, Ramsey 20",Haslam +11,2010-07-26,2010
Tennessee Governor - Wamp vs. McWherter,Mason-Dixon,"Wamp 45, McWherter 38",Wamp +7,2010-07-26,2010
Massachusetts Governor - Baker vs. Patrick vs. Cahill,Rasmussen Reports,"Patrick 38, Baker 32, Cahill 17",Patrick +6,2010-07-26,2010
Tennessee Governor - Haslam vs. McWherter,Mason-Dixon,"Haslam 49, McWherter 31",Haslam +18,2010-07-26,2010
Oklahoma Governor - Democratic Primary,Cole Hargrave Snodgrass & Associates,"Edmondson 38, Askins 27",Edmondson +11,2010-07-26,2010
Oklahoma Governor - Fallin vs. Askins,Sooner Poll,"Fallin 46, Askins 40",Fallin +6,2010-07-26,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 46, Democrats 36",Republicans +10,2010-07-26,2010
Oklahoma Governor - Fallin vs. Edmondson,Sooner Poll,"Fallin 47, Edmondson 39",Fallin +8,2010-07-26,2010
North Dakota Senate - Hoeven vs. Potter,Rasmussen Reports,"Hoeven 69, Potter 22",Hoeven +47,2010-07-26,2010
Generic Congressional Vote,Gallup,"Republicans 44, Democrats 48",Democrats +4,2010-07-26,2010
Oklahoma Governor - Democratic Primary,Sooner Poll,"Edmondson 49, Askins 33",Edmondson +16,2010-07-26,2010
North Carolina Senate - Burr vs. Marshall,Civitas (R),"Burr 44, Marshall 37",Burr +7,2010-07-27,2010
Colorado Senate - Buck vs. Bennet,Rasmussen Reports,"Buck 48, Bennet 42",Buck +6,2010-07-27,2010
Colorado Senate - Norton vs. Bennet,Rasmussen Reports,"Bennet 39, Norton 48",Norton +9,2010-07-27,2010
Colorado Senate - Norton vs. Romanoff,Rasmussen Reports,"Norton 44, Romanoff 40",Norton +4,2010-07-27,2010
Colorado Senate - Buck vs. Romanoff,Rasmussen Reports,"Buck 48, Romanoff 42",Buck +6,2010-07-27,2010
President Obama Job Approval,Rasmussen Reports,"Approve 44, Disapprove 56",Disapprove +12,2010-07-27,2010
President Obama Job Approval,Gallup,"Approve 45, Disapprove 48",Disapprove +3,2010-07-27,2010
California Senate - Boxer vs. Fiorina,PPP (D),"Boxer 49, Fiorina 40",Boxer +9,2010-07-27,2010
Direction of Country,Reuters/Ipsos,"Right Direction 34, Wrong Track 60",Wrong Track +26,2010-07-27,2010
Maryland Governor - Ehrlich vs. O'Malley,Gonzales Res.,"O'Malley 45, Ehrlich 42",O'Malley +3,2010-07-27,2010
New Hampshire Senate - Ayotte vs. Hodes,PPP (D),"Ayotte 45, Hodes 42",Ayotte +3,2010-07-27,2010
Oregon Governor - Dudley vs. Kitzhaber,Rasmussen Reports,"Dudley 47, Kitzhaber 44",Dudley +3,2010-07-27,2010
New Mexico 1st District - Barela vs. Heinrich,SurveyUSA,"Barela 51, Heinrich 45",Barela +6,2010-07-27,2010
Generic Congressional Vote,Reuters/Ipsos,"Republicans 46, Democrats 44",Republicans +2,2010-07-27,2010
Alabama Senate - Shelby vs. Barnes,Rasmussen Reports,"Shelby 59, Barnes 29",Shelby +30,2010-07-27,2010
President Obama Job Approval,Reuters/Ipsos,"Approve 48, Disapprove 48",Tie,2010-07-27,2010
Nevada Senate - Angle vs. Reid,Rasmussen Reports,"Reid 45, Angle 43",Reid +2,2010-07-28,2010
California Governor - Whitman vs. Brown,PPP (D),"Brown 46, Whitman 40",Brown +6,2010-07-28,2010
Illinois Senate - Giannoulias vs. Kirk,Rasmussen Reports,"Giannoulias 43, Kirk 41",Giannoulias +2,2010-07-28,2010
New York Senate - Blakeman vs. Gillibrand,Quinnipiac,"Gillibrand 48, Blakeman 27",Gillibrand +21,2010-07-28,2010
New York Governor - Lazio vs. Cuomo,Quinnipiac,"Cuomo 56, Lazio 26",Cuomo +30,2010-07-28,2010
New York Senate - Malpass vs. Gillibrand,Quinnipiac,"Gillibrand 49, Malpass 24",Gillibrand +25,2010-07-28,2010
New York Governor - Republican Primary,Quinnipiac,"Lazio 39, Paladino 23",Lazio +16,2010-07-28,2010
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 67",Wrong Track +39,2010-07-28,2010
New Hampshire Senate - Republican Primary,PPP (D),"Ayotte 47, Binnie 14, Lamontagne 8, Bender 6",Ayotte +33,2010-07-28,2010
New Hampshire Governor - Republican Primary,PPP (D),"Stephen 26, Kimball 15, Testerman 5",Stephen +11,2010-07-28,2010
Alabama Governor - Bentley vs. Sparks,Rasmussen Reports,"Bentley 55, Sparks 35",Bentley +20,2010-07-28,2010
New York Governor - Paladino vs. Cuomo,Quinnipiac,"Cuomo 55, Paladino 25",Cuomo +30,2010-07-28,2010
Wisconsin Senate - Feingold vs. Johnson,Rasmussen Reports,"Feingold 46, Johnson 48",Johnson +2,2010-07-29,2010
California Senate - Boxer vs. Fiorina,PPIC,"Boxer 39, Fiorina 34",Boxer +5,2010-07-29,2010
California Governor - Whitman vs. Brown,PPIC,"Brown 37, Whitman 34",Brown +3,2010-07-29,2010
Missouri Senate - Blunt vs. Carnahan,Rasmussen Reports,"Blunt 49, Carnahan 43",Blunt +6,2010-07-29,2010
Oregon Governor - Dudley vs. Kitzhaber,SurveyUSA,"Dudley 46, Kitzhaber 44",Dudley +2,2010-07-29,2010
President Obama Job Approval,FOX News,"Approve 43, Disapprove 50",Disapprove +7,2010-07-29,2010
Michigan Governor - Democratic Primary,EPIC-MRA,"Dillon 32, Bernero 40",Bernero +8,2010-07-29,2010
Illinois Governor - Brady vs. Quinn,Rasmussen Reports,"Brady 44, Quinn 37",Brady +7,2010-07-29,2010
Congressional Job Approval,FOX News,"Approve 21, Disapprove 71",Disapprove +50,2010-07-29,2010
Oregon Senate - Huffman vs. Wyden,Rasmussen Reports,"Wyden 51, Huffman 35",Wyden +16,2010-07-29,2010
New Hampshire Senate - Ayotte vs. Hodes,WMUR/UNH,"Ayotte 45, Hodes 37",Ayotte +8,2010-07-29,2010
New Hampshire Governor - Stephen vs. Lynch,PPP (D),"Lynch 51, Stephen 34",Lynch +17,2010-07-29,2010
New Hampshire Governor - Kimball vs. Lynch,PPP (D),"Lynch 52, Kimball 29",Lynch +23,2010-07-29,2010
Oregon Senate - Huffman vs. Wyden,SurveyUSA,"Wyden 53, Huffman 35",Wyden +18,2010-07-29,2010
Florida Governor - Republican Primary,Quinnipiac,"Scott 43, McCollum 32",Scott +11,2010-07-29,2010
Florida Senate - Democratic Primary,Quinnipiac,"Meek 23, Greene 33",Greene +10,2010-07-29,2010
Kentucky 6th District - Barr vs. Chandler,CN|2/Braun Research,"Chandler 46, Barr 32",Chandler +14,2010-07-29,2010
Oklahoma Governor - Fallin vs. Askins,Rasmussen Reports,"Fallin 57, Askins 36",Fallin +21,2010-07-29,2010
Colorado Senate - Democratic Primary,Zata|3 (D),"Bennet 44, Romanoff 40",Bennet +4,2010-07-29,2010
Generic Congressional Vote,FOX News,"Republicans 47, Democrats 36",Republicans +11,2010-07-29,2010
Nevada Senate - Angle vs. Reid,LVRJ/Mason-Dixon,"Reid 43, Angle 42",Reid +1,2010-07-30,2010
Florida Senate - Rubio vs. Meek vs. Crist,Quinnipiac,"Rubio 33, Crist 39, Meek 13",Crist +6,2010-07-30,2010
Pennsylvania Senate - Sestak vs. Toomey,Rasmussen Reports,"Toomey 45, Sestak 39",Toomey +6,2010-07-30,2010
Washington Senate - Rossi vs. Murray,Rasmussen Reports,"Murray 49, Rossi 47",Murray +2,2010-07-30,2010
Florida Senate - Rubio vs. Greene vs. Crist,Quinnipiac,"Crist 37, Rubio 32, Greene 17",Crist +5,2010-07-30,2010
Florida Governor - McCollum vs. Sink vs. Chiles,Quinnipiac,"Sink 27, McCollum 26, Chiles 14",Sink +1,2010-07-30,2010
Wisconsin Governor - Walker vs. Barrett,Rasmussen Reports,"Walker 50, Barrett 43",Walker +7,2010-07-30,2010
Michigan Governor - Republican Primary,EPIC-MRA,"Hoekstra 23, Snyder 26, Cox 24, Bouchard 10",Snyder +2,2010-07-30,2010
Nevada Governor - Sandoval vs. Reid,Rasmussen Reports,"Sandoval 50, Reid 40",Sandoval +10,2010-07-30,2010
Florida Governor - Scott vs. Sink vs. Chiles,Quinnipiac,"Sink 27, Scott 29, Chiles 14",Scott +2,2010-07-30,2010
Nevada Governor - Sandoval vs. Reid,LVRJ/Mason-Dixon,"Sandoval 50, Reid 31",Sandoval +19,2010-07-31,2010
Florida Senate - Rubio vs. Greene vs. Crist,Florida Poll/NYT-USF,"Crist 37, Rubio 29, Greene 16",Crist +8,2010-07-31,2010
Florida Senate - Rubio vs. Meek vs. Crist,Florida Poll/NYT-USF,"Rubio 30, Crist 41, Meek 12",Crist +11,2010-07-31,2010
Florida Governor - Scott vs. Sink vs. Chiles,Florida Poll/NYT-USF,"Sink 28, Scott 30, Chiles 11",Scott +2,2010-07-31,2010
Florida Governor - Republican Primary,Florida Poll/NYT-USF*,"Scott 41, McCollum 25",Scott +16,2010-07-31,2010
Oklahoma Senate - Coburn vs. Rogers,Rasmussen Reports,"Coburn 65, Rogers 31",Coburn +34,2010-07-31,2010
Florida Governor - McCollum vs. Sink vs. Chiles,Florida Poll/NYT-USF,"Sink 27, McCollum 26, Chiles 12",Sink +1,2010-07-31,2010
Kentucky Senate - Paul vs. Conway,SurveyUSA,"Paul 51, Conway 43",Paul +8,2010-08-01,2010
Minnesota Governor - Democratic Primary,Star Tribune,"Dayton 40, Kelliher 30, Entenza 17",Dayton +10,2010-08-01,2010
Minnesota Governor - Emmer vs. Dayton vs. Horner,Star Tribune,"Dayton 40, Emmer 30, Horner 13",Dayton +10,2010-08-01,2010
Minnesota Governor - Emmer vs. Kelliher vs. Horner,Star Tribune,"Kelliher 38, Emmer 29, Horner 13",Kelliher +9,2010-08-01,2010
Colorado Senate - Democratic Primary,Denver Post/SurveyUSA,"Bennet 45, Romanoff 48",Romanoff +3,2010-08-01,2010
Minnesota Governor - Emmer vs. Entenza vs. Horner,Star Tribune,"Entenza 36, Emmer 31, Horner 15",Entenza +5,2010-08-01,2010
Colorado Senate - Republican Primary,Denver Post/SurveyUSA,"Norton 41, Buck 50",Buck +9,2010-08-01,2010
Colorado Governor - Republican Primary,Denver Post/SurveyUSA,"McInnis 39, Maes 43",Maes +4,2010-08-01,2010
Colorado Senate - Buck vs. Bennet,Denver Post/SurveyUSA,"Buck 43, Bennet 43",Tie,2010-08-01,2010
Colorado Senate - Norton vs. Romanoff,Denver Post/SurveyUSA,"Norton 45, Romanoff 40",Norton +5,2010-08-01,2010
Colorado Senate - Norton vs. Bennet,Denver Post/SurveyUSA,"Bennet 46, Norton 43",Bennet +3,2010-08-01,2010
Colorado Governor - McInnis vs. Hickenlooper,Denver Post/SurveyUSA,"Hickenlooper 48, McInnis 43",Hickenlooper +5,2010-08-01,2010
Colorado Governor - Maes vs. Hickenlooper,Denver Post/SurveyUSA,"Hickenlooper 50, Maes 41",Hickenlooper +9,2010-08-01,2010
Colorado Governor - McInnis vs. Hickenlooper vs. Tancredo,Denver Post/SurveyUSA,"Hickenlooper 44, McInnis 25, Tancredo 26",Hickenlooper +18,2010-08-01,2010
Colorado Governor - Maes vs. Hickenlooper vs. Tancredo,Denver Post/SurveyUSA,"Hickenlooper 46, Maes 24, Tancredo 24",Hickenlooper +22,2010-08-01,2010
Colorado Senate - Buck vs. Romanoff,Denver Post/SurveyUSA,"Buck 44, Romanoff 44",Tie,2010-08-01,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 46, Democrats 38",Republicans +8,2010-08-02,2010
Generic Congressional Vote,Gallup,"Republicans 48, Democrats 43",Republicans +5,2010-08-02,2010
Georgia Governor - Republican Runoff (8/10),Landmark (R),"Handel 46, Deal 37",Handel +9,2010-08-02,2010
Pennsylvania Governor - Corbett vs. Onorato,Rasmussen Reports,"Corbett 50, Onorato 39",Corbett +11,2010-08-02,2010
North Carolina 11th District - Miller vs. Shuler,SurveyUSA,"Shuler 45, Miller 44",Shuler +1,2010-08-02,2010
South Carolina Governor - Haley vs. Sheheen,Rasmussen Reports,"Haley 49, Sheheen 35",Haley +14,2010-08-02,2010
Obama and Democrats' Health Care Plan,Rasmussen Reports*,"For/Favor 38, Against/Oppose 59",Against/Oppose +21,2010-08-02,2010
Colorado Governor - McInnis vs. Hickenlooper vs. Tancredo,Rasmussen Reports,"Hickenlooper 43, McInnis 25, Tancredo 24",Hickenlooper +18,2010-08-03,2010
Nevada Senate - Angle vs. Reid,Reuters/Ipsos,"Reid 48, Angle 44",Reid +4,2010-08-03,2010
Washington Senate - Rossi vs. Murray,PPP (D),"Murray 49, Rossi 46",Murray +3,2010-08-03,2010
Colorado Governor - Maes vs. Hickenlooper vs. Tancredo,Rasmussen Reports,"Hickenlooper 42, Maes 27, Tancredo 24",Hickenlooper +15,2010-08-03,2010
North Carolina Senate - Burr vs. Marshall,PPP (D),"Burr 39, Marshall 37",Burr +2,2010-08-03,2010
Nevada Governor - Sandoval vs. Reid,Reuters/Ipsos,"Sandoval 50, Reid 39",Sandoval +11,2010-08-03,2010
President Obama Job Approval,USA Today/Gallup,"Approve 41, Disapprove 53",Disapprove +12,2010-08-03,2010
Florida Governor - Republican Primary,Sunshine State News/VSS,"Scott 44, McCollum 28",Scott +16,2010-08-03,2010
