Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
Generic Congressional Vote,Pew Research,"Democrats 47, Republicans 43",Democrats +4,2012-06-21,2012
Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 39",Republicans +5,2012-06-25,2012
Generic Congressional Vote,Newsweek/Daily Beast,"Republicans 38, Democrats 36",Republicans +2,2012-06-29,2012
Generic Congressional Vote,Democracy Corps (D),"Republicans 46, Democrats 45",Republicans +1,2012-06-29,2012
Generic Congressional Vote,Rasmussen Reports,"Republicans 41, Democrats 40",Republicans +1,2012-07-02,2012
Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 40",Republicans +3,2012-07-09,2012
Generic Congressional Vote,Reuters/Ipsos,"Republicans 48, Democrats 44",Republicans +4,2012-07-10,2012
Generic Congressional Vote,Quinnipiac,"Republicans 40, Democrats 43",Democrats +3,2012-07-11,2012
Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 40",Republicans +3,2012-07-16,2012
Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 40",Republicans +3,2012-07-23,2012
Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 43",Republicans +3,2012-07-30,2012
Generic Congressional Vote,Democracy Corps (D),"Democrats 46, Republicans 46",Tie,2012-07-30,2012
Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 42",Republicans +3,2012-08-06,2012
Generic Congressional Vote,Reuters/Ipsos,"Democrats 46, Republicans 46",Tie,2012-08-08,2012
Generic Congressional Vote,Politico/GWU/Battleground,"Democrats 43, Republicans 45",Republicans +2,2012-08-13,2012
Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 42",Republicans +3,2012-08-13,2012
Generic Congressional Vote,Rasmussen Reports,"Democrats 41, Republicans 42",Republicans +1,2012-08-20,2012
Generic Congressional Vote,Rasmussen Reports,"Democrats 42, Republicans 42",Tie,2012-08-27,2012
Generic Congressional Vote,Democracy Corps (D),"Democrats 46, Republicans 47",Republicans +1,2012-08-28,2012
Generic Congressional Vote,Resurgent Republic (R),"Democrats 44, Republicans 40",Democrats +4,2012-08-28,2012
Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 42",Republicans +1,2012-09-04,2012
Generic Congressional Vote,Rasmussen Reports,"Republicans 42, Democrats 44",Democrats +2,2012-09-10,2012
Generic Congressional Vote,Reuters/Ipsos,"Republicans 43, Democrats 49",Democrats +6,2012-09-12,2012
Generic Congressional Vote,Democracy Corps (D),"Republicans 46, Democrats 46",Tie,2012-09-13,2012
Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 43",Republicans +1,2012-09-17,2012
Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 43",Republicans +1,2012-09-24,2012
Generic Congressional Vote,Politico/GWU/Battleground,"Republicans 45, Democrats 47",Democrats +2,2012-09-24,2012
Generic Congressional Vote,Bloomberg,"Democrats 43, Republicans 45",Republicans +2,2012-09-27,2012
Generic Congressional Vote,Bloomberg,"Republicans 45, Democrats 43",Republicans +2,2012-09-27,2012
Generic Congressional Vote,Rasmussen Reports,"Democrats 41, Republicans 45",Republicans +4,2012-10-01,2012
Generic Congressional Vote,Politico/GWU/Battleground,"Democrats 46, Republicans 44",Democrats +2,2012-10-01,2012
Generic Congressional Vote,Rasmussen Reports,"Republicans 45, Democrats 41",Republicans +4,2012-10-01,2012
Generic Congressional Vote,Politico/GWU/Battleground,"Republicans 44, Democrats 46",Democrats +2,2012-10-01,2012
Generic Congressional Vote,NPR,"Republicans 45, Democrats 48",Democrats +3,2012-10-03,2012
Generic Congressional Vote,NPR,"Democrats 48, Republicans 45",Democrats +3,2012-10-03,2012
Generic Congressional Vote,USA Today/Gallup,"Democrats 47, Republicans 46",Democrats +1,2012-10-06,2012
Generic Congressional Vote,Rasmussen Reports,"Democrats 44, Republicans 43",Democrats +1,2012-10-08,2012
Generic Congressional Vote,Politico/GWU/Battleground,"Democrats 46, Republicans 45",Democrats +1,2012-10-08,2012
Generic Congressional Vote,Politico/GWU/Battleground,"Democrats 46, Republicans 44",Democrats +2,2012-10-15,2012
Generic Congressional Vote,Rasmussen Reports,"Democrats 43, Republicans 42",Democrats +1,2012-10-15,2012
Generic Congressional Vote,Rasmussen Reports,"Democrats 43, Republicans 44",Republicans +1,2012-10-22,2012
Generic Congressional Vote,Politico/GWU/Battleground,"Democrats 46, Republicans 46",Tie,2012-10-22,2012
Generic Congressional Vote,Rasmussen Reports,"Republicans 46, Democrats 43",Republicans +3,2012-10-29,2012
Generic Congressional Vote,Politico/GWU/Battleground,"Republicans 46, Democrats 45",Republicans +1,2012-10-29,2012
Generic Congressional Vote,NPR,"Republicans 43, Democrats 43",Tie,2012-10-30,2012
Generic Congressional Vote,CBS News/NY Times,"Republicans 46, Democrats 48",Democrats +2,2012-10-30,2012
Generic Congressional Vote,Politico/GWU/Battleground,"Republicans 46, Democrats 46",Tie,2012-11-04,2012
Generic Congressional Vote,CNN/Opinion Research,"Republicans 49, Democrats 48",Republicans +1,2012-11-04,2012
Generic Congressional Vote,Rasmussen Reports,"Republicans 46, Democrats 46",Tie,2012-11-05,2012
Generic Congressional Vote,Gallup,"Republicans 48, Democrats 49",Democrats +1,2012-11-06,2012
Generic Congressional Vote,Politico/GWU/Battleground,"Republicans 47, Democrats 46",Republicans +1,2012-11-06,2012
Generic Congressional Vote,Rasmussen Reports,"Democrats 46, Republicans 35",Democrats +11,2012-12-31,2012
Generic Congressional Vote,Rasmussen Reports,"Democrats 44, Republicans 38",Democrats +6,2013-01-08,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 43, Republicans 37",Democrats +6,2013-01-14,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 44, Republicans 39",Democrats +5,2013-01-21,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 45, Republicans 37",Democrats +8,2013-01-28,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 44, Republicans 38",Democrats +6,2013-02-04,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 42, Republicans 39",Democrats +3,2013-02-11,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 43, Republicans 37",Democrats +6,2013-02-18,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 43, Republicans 38",Democrats +5,2013-02-25,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 43, Republicans 40",Democrats +3,2013-03-04,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 43, Republicans 40",Democrats +3,2013-03-11,2013
Generic Congressional Vote,Democracy Corps (D),"Democrats 46, Republicans 42",Democrats +4,2013-03-14,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 43, Republicans 38",Democrats +5,2013-03-18,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 43, Republicans 38",Democrats +5,2013-03-25,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 44, Republicans 37",Democrats +7,2013-04-01,2013
Generic Congressional Vote,Quinnipiac,"Democrats 43, Republicans 35",Democrats +8,2013-04-03,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 41, Republicans 38",Democrats +3,2013-04-08,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 42, Republicans 38",Democrats +4,2013-04-15,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 41, Republicans 39",Democrats +2,2013-04-22,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 40",Republicans +1,2013-04-29,2013
Generic Congressional Vote,Quinnipiac,"Democrats 41, Republicans 37",Democrats +4,2013-05-01,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 38",Democrats +2,2013-05-06,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 38",Democrats +2,2013-05-13,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 40",Republicans +1,2013-05-20,2013
Generic Congressional Vote,ABC News/Wash Post,"Democrats 48, Republicans 40",Democrats +8,2013-05-23,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 41, Republicans 39",Democrats +2,2013-05-27,2013
Generic Congressional Vote,Quinnipiac,"Democrats 38, Republicans 38",Tie,2013-05-30,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 40",Tie,2013-06-03,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 38",Democrats +2,2013-06-10,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 39",Tie,2013-06-17,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 39",Democrats +1,2013-06-24,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 39",Republicans +1,2013-07-01,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 40",Republicans +1,2013-07-08,2013
Generic Congressional Vote,Quinnipiac,"Democrats 39, Republicans 34",Democrats +5,2013-07-12,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 39",Republicans +1,2013-07-15,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 38",Democrats +2,2013-07-22,2013
Generic Congressional Vote,Democracy Corps (D),"Democrats 43, Republicans 44",Republicans +1,2013-07-23,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 38",Democrats +1,2013-07-29,2013
Generic Congressional Vote,Quinnipiac,"Democrats 40, Republicans 36",Democrats +4,2013-08-02,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 41",Republicans +3,2013-08-05,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 39",Tie,2013-08-12,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 38",Tie,2013-08-19,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 39",Republicans +1,2013-08-26,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 37",Democrats +2,2013-09-02,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 39",Tie,2013-09-09,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 38",Tie,2013-09-16,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 37",Democrats +3,2013-09-23,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 42, Republicans 38",Democrats +4,2013-09-30,2013
Generic Congressional Vote,Quinnipiac,"Democrats 43, Republicans 34",Democrats +9,2013-10-01,2013
Generic Congressional Vote,PPP (D),"Democrats 45, Republicans 40",Democrats +5,2013-10-01,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 40",Tie,2013-10-08,2013
Generic Congressional Vote,PPP (D),"Democrats 46, Republicans 41",Democrats +5,2013-10-09,2013
Generic Congressional Vote,Democracy Corps (D),"Democrats 47, Republicans 43",Democrats +4,2013-10-09,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 45, Republicans 38",Democrats +7,2013-10-14,2013
Generic Congressional Vote,Pew Research,"Democrats 49, Republicans 43",Democrats +6,2013-10-15,2013
Generic Congressional Vote,CNN/Opinion Research,"Democrats 50, Republicans 42",Democrats +8,2013-10-21,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 43, Republicans 36",Democrats +7,2013-10-21,2013
Generic Congressional Vote,ABC News/Wash Post,"Democrats 48, Republicans 40",Democrats +8,2013-10-22,2013
Generic Congressional Vote,FOX News,"Democrats 45, Republicans 37",Democrats +8,2013-10-23,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 43, Republicans 37",Democrats +6,2013-10-28,2013
2014 Generic Congressional Vote,PPP (D),"Republicans 38, Democrats 44",Democrats +6,2013-11-01,2013
Generic Congressional Vote,PPP (D),"Democrats 44, Republicans 38",Democrats +6,2013-11-01,2013
2014 Generic Congressional Vote,Rasmussen Reports,"Republicans 37, Democrats 43",Democrats +6,2013-11-04,2013
2014 Generic Congressional Vote,GWU/Battleground,"Republicans 41, Democrats 44",Democrats +3,2013-11-04,2013
Generic Congressional Vote,GWU/Battleground,"Democrats 44, Republicans 41",Democrats +3,2013-11-04,2013
Generic Congressional Vote,Rasmussen Reports,"Democrats 43, Republicans 37",Democrats +6,2013-11-04,2013
2014 Generic Congressional Vote,Rasmussen Reports,"Republicans 39, Democrats 41",Democrats +2,2013-11-11,2013
2014 Generic Congressional Vote,FOX News,"Republicans 43, Democrats 40",Republicans +3,2013-11-13,2013
2014 Generic Congressional Vote,Quinnipiac,"Republicans 39, Democrats 39",Tie,2013-11-13,2013
2014 Generic Congressional Vote,Rasmussen Reports,"Republicans 40, Democrats 39",Republicans +1,2013-11-19,2013
2014 Generic Congressional Vote,Rasmussen Reports,"Republicans 40, Democrats 41",Democrats +1,2013-11-25,2013
2014 Generic Congressional Vote,CNN/Opinion Research,"Republicans 49, Democrats 47",Republicans +2,2013-11-26,2013
2014 Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 38",Republicans +5,2013-12-02,2013
2014 Generic Congressional Vote,McClatchy/Marist,"Republicans 43, Democrats 43",Tie,2013-12-09,2013
2014 Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 38",Republicans +5,2013-12-09,2013
2014 Generic Congressional Vote,Quinnipiac,"Republicans 41, Democrats 38",Republicans +3,2013-12-10,2013
2014 Generic Congressional Vote,USA Today/Pew Research,"Republicans 44, Democrats 48",Democrats +4,2013-12-13,2013
2014 Generic Congressional Vote,Rasmussen Reports,"Republicans 40, Democrats 40",Tie,2013-12-16,2013
2014 Generic Congressional Vote,FOX News,"Republicans 43, Democrats 43",Tie,2013-12-19,2013
2014 Generic Congressional Vote,Rasmussen Reports,"Republicans 42, Democrats 39",Republicans +3,2013-12-24,2013
2014 Generic Congressional Vote,CNN/Opinion Research,"Republicans 49, Democrats 44",Republicans +5,2013-12-26,2013
2014 Generic Congressional Vote,Rasmussen Reports,"Republicans 40, Democrats 40",Tie,2013-12-30,2013
2014 Generic Congressional Vote,Rasmussen Reports,"Republicans 38, Democrats 40",Democrats +2,2014-01-06,2014
2014 Generic Congressional Vote,Quinnipiac,"Republicans 38, Democrats 37",Republicans +1,2014-01-08,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Republicans 37, Democrats 41",Democrats +4,2014-01-13,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Republicans 35, Democrats 41",Democrats +6,2014-01-20,2014
2014 Generic Congressional Vote,Quinnipiac,"Republicans 38, Democrats 37",Republicans +1,2014-01-21,2014
2014 Generic Congressional Vote,GWU/Battleground,"Republicans 43, Democrats 41",Republicans +2,2014-01-22,2014
2014 Generic Congressional Vote,ABC News/Wash Post,"Republicans 46, Democrats 45",Republicans +1,2014-01-26,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 42, Republicans 37",Democrats +5,2014-01-27,2014
2014 Generic Congressional Vote,FOX News,"Democrats 41, Republicans 43",Republicans +2,2014-01-27,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Republicans 37, Democrats 42",Democrats +5,2014-01-27,2014
2014 Generic Congressional Vote,FOX News,"Republicans 43, Democrats 41",Republicans +2,2014-01-27,2014
2014 Generic Congressional Vote,PPP (D),"Democrats 40, Republicans 42",Republicans +2,2014-01-28,2014
2014 Generic Congressional Vote,PPP (D),"Republicans 42, Democrats 40",Republicans +2,2014-01-28,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 40",Republicans +1,2014-02-03,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 38",Democrats +2,2014-02-10,2014
2014 Generic Congressional Vote,McClatchy/Marist,"Democrats 46, Republicans 44",Democrats +2,2014-02-12,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 41, Republicans 37",Democrats +4,2014-02-18,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 41, Republicans 37",Democrats +4,2014-02-24,2014
2014 Generic Congressional Vote,CBS News/NY Times,"Democrats 39, Republicans 42",Republicans +3,2014-02-26,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 36",Democrats +3,2014-03-03,2014
2014 Generic Congressional Vote,ABC News/Wash Post,"Democrats 46, Republicans 45",Democrats +1,2014-03-04,2014
2014 Generic Congressional Vote,FOX News,"Democrats 40, Republicans 38",Democrats +2,2014-03-06,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 39",Tie,2014-03-10,2014
2014 Generic Congressional Vote,PPP (D),"Democrats 43, Republicans 40",Democrats +3,2014-03-11,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 39",Republicans +1,2014-03-17,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 41, Republicans 37",Democrats +4,2014-03-24,2014
2014 Generic Congressional Vote,GWU/Battleground,"Democrats 43, Republicans 43",Tie,2014-03-25,2014
2014 Generic Congressional Vote,CBS News,"Democrats 39, Republicans 39",Tie,2014-03-25,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 38",Democrats +1,2014-03-31,2014
2014 Generic Congressional Vote,Quinnipiac,"Democrats 40, Republicans 38",Democrats +2,2014-04-02,2014
2014 Generic Congressional Vote,NPR/GQR/Resurgent,"Democrats 44, Republicans 43",Democrats +1,2014-04-03,2014
2014 Generic Congressional Vote,Reason-Rupe/PSRAI,"Democrats 40, Republicans 36",Democrats +4,2014-04-03,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 39",Democrats +1,2014-04-07,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 38",Democrats +2,2014-04-14,2014
2014 Generic Congressional Vote,McClatchy/Marist,"Democrats 48, Republicans 42",Democrats +6,2014-04-16,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 41",Republicans +1,2014-04-21,2014
2014 Generic Congressional Vote,FOX News,"Democrats 41, Republicans 44",Republicans +3,2014-04-22,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 40",Republicans +2,2014-04-28,2014
2014 Generic Congressional Vote,ABC News/Wash Post,"Democrats 45, Republicans 44",Democrats +1,2014-04-29,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 41, Republicans 37",Democrats +4,2014-05-05,2014
2014 Generic Congressional Vote,CNN/Opinion Research,"Democrats 45, Republicans 46",Republicans +1,2014-05-05,2014
2014 Generic Congressional Vote,USA Today/Pew Research,"Democrats 43, Republicans 47",Republicans +4,2014-05-05,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 38",Democrats +2,2014-05-12,2014
2014 Generic Congressional Vote,FOX News,"Democrats 43, Republicans 40",Democrats +3,2014-05-15,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 41, Republicans 37",Democrats +4,2014-05-19,2014
2014 Generic Congressional Vote,CBS News,"Democrats 40, Republicans 39",Democrats +1,2014-05-22,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 42, Republicans 38",Democrats +4,2014-05-26,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 41, Republicans 38",Democrats +3,2014-06-02,2014
2014 Generic Congressional Vote,ABC News/Wash Post,"Democrats 47, Republicans 45",Democrats +2,2014-06-03,2014
2014 Generic Congressional Vote,FOX News,"Democrats 39, Republicans 43",Republicans +4,2014-06-05,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 41, Republicans 37",Democrats +4,2014-06-09,2014
2014 Generic Congressional Vote,Bloomberg,"Democrats 43, Republicans 43",Tie,2014-06-12,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 37",Democrats +2,2014-06-16,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 38",Democrats +2,2014-06-23,2014
2014 Generic Congressional Vote,CBS News/NY Times,"Democrats 42, Republicans 39",Democrats +3,2014-06-24,2014
2014 Generic Congressional Vote,FOX News,"Democrats 42, Republicans 42",Tie,2014-06-25,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 38",Democrats +2,2014-06-30,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 41, Republicans 38",Democrats +3,2014-07-07,2014
2014 Generic Congressional Vote,Quinnipiac,"Democrats 41, Republicans 39",Democrats +2,2014-07-08,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 38",Democrats +1,2014-07-14,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 39",Tie,2014-07-21,2014
2014 Generic Congressional Vote,Pew Research,"Democrats 47, Republicans 45",Democrats +2,2014-07-24,2014
2014 Generic Congressional Vote,CNN/Opinion Research,"Democrats 48, Republicans 44",Democrats +4,2014-07-27,2014
2014 Generic Congressional Vote,FOX News,"Democrats 43, Republicans 41",Democrats +2,2014-07-28,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 41, Republicans 39",Democrats +2,2014-07-28,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 42",Republicans +4,2014-08-04,2014
2014 Generic Congressional Vote,CBS News,"Democrats 41, Republicans 37",Democrats +4,2014-08-06,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 40",Republicans +1,2014-08-11,2014
2014 Generic Congressional Vote,McClatchy/Marist,"Democrats 38, Republicans 43",Republicans +5,2014-08-12,2014
2014 Generic Congressional Vote,Reason-Rupe/PSRAI,"Democrats 42, Republicans 41",Democrats +1,2014-08-14,2014
2014 Generic Congressional Vote,FOX News,"Republicans 39, Democrats 46",Democrats +7,2014-08-15,2014
2014 Generic Congressional Vote,FOX News,"Democrats 46, Republicans 39",Democrats +7,2014-08-15,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Republicans 39, Democrats 39",Tie,2014-08-18,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 39",Tie,2014-08-18,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Republicans 40, Democrats 39",Republicans +1,2014-08-25,2014
2014 Generic Congressional Vote,USA Today/Pew Research,"Republicans 42, Democrats 47",Democrats +5,2014-08-26,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Republicans 41, Democrats 40",Republicans +1,2014-09-01,2014
2014 Generic Congressional Vote,GWU/Battleground,"Republicans 46, Democrats 42",Republicans +4,2014-09-03,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Republicans 41, Democrats 39",Republicans +2,2014-09-08,2014
2014 Generic Congressional Vote,ABC News/Wash Post,"Republicans 47, Democrats 44",Republicans +3,2014-09-09,2014
2014 Generic Congressional Vote,CNN/Opinion Research,"Republicans 49, Democrats 45",Republicans +4,2014-09-10,2014
2014 Generic Congressional Vote,FOX News,"Republicans 47, Democrats 40",Republicans +7,2014-09-11,2014
2014 Generic Congressional Vote,Pew Research,"Republicans 47, Democrats 44",Republicans +3,2014-09-12,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Republicans 38, Democrats 41",Democrats +3,2014-09-15,2014
2014 Generic Congressional Vote,CBS News/NY Times,"Republicans 49, Democrats 42",Republicans +7,2014-09-17,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Republicans 40, Democrats 40",Tie,2014-09-22,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Republicans 39, Democrats 40",Democrats +1,2014-09-29,2014
2014 Generic Congressional Vote,CNN/Opinion Research,"Republicans 45, Democrats 47",Democrats +2,2014-09-30,2014
2014 Generic Congressional Vote,FOX News,"Republicans 47, Democrats 40",Republicans +7,2014-10-02,2014
2014 Generic Congressional Vote,McClatchy/Marist,"Republicans 44, Democrats 45",Democrats +1,2014-10-03,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Republicans 39, Democrats 41",Democrats +2,2014-10-06,2014
2014 Generic Congressional Vote,CBS News,"Republicans 49, Democrats 43",Republicans +6,2014-10-08,2014
2014 Generic Congressional Vote,Gallup,"Republicans 47, Democrats 46",Republicans +1,2014-10-10,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Republicans 40, Democrats 40",Tie,2014-10-13,2014
2014 Generic Congressional Vote,ABC News/Wash Post,"Republicans 50, Democrats 43",Republicans +7,2014-10-15,2014
2014 Generic Congressional Vote,NBC News/Wall St. Jrnl,"Republicans 48, Democrats 47",Republicans +1,2014-10-15,2014
2014 Generic Congressional Vote,FOX News,"Republicans 45, Democrats 42",Republicans +3,2014-10-15,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Republicans 41, Democrats 41",Tie,2014-10-20,2014
2014 Generic Congressional Vote,Associated Press/GfK,"Republicans 40, Democrats 32",Republicans +8,2014-10-22,2014
2014 Generic Congressional Vote,Pew Research,"Republicans 46, Democrats 47",Democrats +1,2014-10-23,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 41",Republicans +2,2014-10-27,2014
2014 Generic Congressional Vote,CNN/Opinion Research,"Republicans 46, Democrats 47",Democrats +1,2014-10-27,2014
2014 Generic Congressional Vote,ABC News/Wash Post,"Republicans 50, Democrats 44",Republicans +6,2014-10-28,2014
2014 Generic Congressional Vote,FOX News,"Republicans 44, Democrats 45",Democrats +1,2014-10-28,2014
2014 Generic Congressional Vote,CBS News,"Republicans 50, Democrats 42",Republicans +8,2014-10-29,2014
2014 Generic Congressional Vote,USA Today/PSRAI,"Republicans 42, Democrats 43",Democrats +1,2014-10-30,2014
2014 Generic Congressional Vote,NBC News/Wall St. Jrnl,"Republicans 48, Democrats 48",Tie,2014-11-02,2014
2014 Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 41",Republicans +3,2014-11-03,2014
2016 Generic Congressional Vote,Rasmussen Reports,"Republicans 39, Democrats 39",Tie,2015-04-17,2015
2016 Generic Congressional Vote,Rasmussen Reports,"Republicans 39, Democrats 38",Republicans +1,2015-04-24,2015
2016 Generic Congressional Vote,Quinnipiac,"Republicans 40, Democrats 37",Republicans +3,2015-04-27,2015
2016 Generic Congressional Vote,Rasmussen Reports,"Republicans 40, Democrats 38",Republicans +2,2015-05-01,2015
2016 Generic Congressional Vote,Rasmussen Reports,"Republicans 38, Democrats 38",Tie,2015-05-08,2015
2016 Generic Congressional Vote,Rasmussen Reports,"Republicans 38, Democrats 38",Tie,2015-05-15,2015
2016 Generic Congressional Vote,Quinnipiac,"Republicans 36, Democrats 39",Democrats +3,2015-05-28,2015
2016 Generic Congressional Vote,NBC News/Wall St. Jrnl,"Republicans 45, Democrats 45",Tie,2015-11-04,2015
2016 Generic Congressional Vote,PPP (D),"Republicans 43, Democrats 43",Tie,2015-12-21,2015
2016 Generic Congressional Vote,PPP (D),"Democrats 47, Republicans 41",Democrats +6,2016-02-08,2016
2016 Generic Congressional Vote,NBC News/Wall St. Jrnl,"Democrats 47, Republicans 45",Democrats +2,2016-04-18,2016
2016 Generic Congressional Vote,GWU/Battleground,"Democrats 46, Republicans 41",Democrats +5,2016-04-25,2016
2016 Generic Congressional Vote,ABC News/Wash Post,"Democrats 45, Republicans 45",Tie,2016-05-22,2016
2016 Generic Congressional Vote,NBC News/Wall St. Jrnl,"Democrats 48, Republicans 44",Democrats +4,2016-05-23,2016
2016 Generic Congressional Vote,NBC News/Wall St. Jrnl,"Democrats 46, Republicans 46",Tie,2016-06-27,2016
2016 Generic Congressional Vote,FOX News,"Democrats 46, Republicans 41",Democrats +5,2016-06-29,2016
2016 Generic Congressional Vote,PPP (D),"Democrats 47, Republicans 44",Democrats +3,2016-07-30,2016
2016 Generic Congressional Vote,NBC News/Wall St. Jrnl,"Democrats 47, Republicans 43",Democrats +4,2016-08-05,2016
2016 Generic Congressional Vote,Economist/YouGov,"Democrats 41, Republicans 38",Democrats +3,2016-09-07,2016
