Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
Texas Senate - Democratic Primary,UT/Texas Tribune,"O'Rourke 73, Hernandez 19, Kimbrough 8",O'Rourke +54,2011-02-19,2011
Mississippi Senate - Republican Primary,JMC Analytics,"Wicker 38, McDaniel 20",Wicker +18,2011-02-20,2011
Utah Senate - Romney vs. Wilson,UtahPolicy/Dan Jones*,"Romney 60, Wilson 14",Romney +46,2011-02-20,2011
Florida Senate - Scott vs. Nelson,Gravis,"Nelson 44, Scott 40",Nelson +4,2011-02-20,2011
North Dakota Senate - Cramer vs. Heitkamp,Gravis,"Heitkamp 43, Cramer 40",Heitkamp +3,2011-02-27,2011
Florida Senate - Scott vs. Nelson,Quinnipiac,"Nelson 46, Scott 42",Nelson +4,2011-02-27,2011
Missouri Senate - Akin vs. McCaskill,PPP (D),"McCaskill 45, Akin 44",McCaskill +1,2011-03-08,2011
Missouri Senate - Martin vs. McCaskill,PPP (D),"McCaskill 46, Martin 40",McCaskill +6,2011-03-08,2011
Missouri Senate - Steelman vs. McCaskill,PPP (D),"McCaskill 45, Steelman 42",McCaskill +3,2011-03-08,2011
Massachusetts Senate - Brown vs. Capuano,Western NE College,"Brown 51, Capuano 38",Brown +13,2011-03-14,2011
Massachusetts Senate - Brown vs. Elizabeth Warren,Western NE College,"Brown 51, Warren 34",Brown +17,2011-03-14,2011
Montana Senate - Rehberg vs. Tester,Billings Gazette,"Tester 46, Rehberg 45",Tester +1,2011-03-21,2011
Michigan Senate - Hekman vs. Stabenow,PPP (D),"Stabenow 52, Hekman 33",Stabenow +19,2011-03-23,2011
Michigan Senate - Hoekstra vs. Stabenow,PPP (D),"Stabenow 50, Hoekstra 38",Stabenow +12,2011-03-23,2011
Florida Senate - LeMieux vs. Nelson,PPP (D),"Nelson 48, LeMieux 33",Nelson +15,2011-03-30,2011
Florida Senate - Hasner vs. Nelson,PPP (D),"Nelson 48, Hasner 32",Nelson +16,2011-03-30,2011
Florida Senate - Haridopolos vs. Nelson,PPP (D),"Nelson 50, Haridopolos 34",Nelson +16,2011-03-30,2011
Michigan Senate - Hekman vs. Stabenow,Inside MI Politcs/MRG,"Stabenow 45, Hekman 34",Stabenow +11,2011-04-01,2011
Massachusetts Senate - Brown vs. Markey,Suffolk/7News,"Brown 53, Markey 26",Brown +27,2011-04-07,2011
Massachusetts Senate - Brown vs. Capuano,Suffolk/7News,"Brown 52, Capuano 26",Brown +26,2011-04-07,2011
Virginia Senate - Allen vs. Kaine,Roanoke College,"Allen 45, Kaine 32",Allen +13,2011-04-08,2011
Nevada Senate - Heller vs. Berkley,PPP (D),"Heller 47, Berkley 43",Heller +4,2011-04-26,2011
Missouri Senate - Steelman vs. McCaskill,PPP (D),"McCaskill 45, Steelman 42",McCaskill +3,2011-05-03,2011
Missouri Senate - Martin vs. McCaskill,PPP (D),"McCaskill 46, Martin 39",McCaskill +7,2011-05-03,2011
Missouri Senate - Akin vs. McCaskill,PPP (D),"McCaskill 46, Akin 45",McCaskill +1,2011-05-03,2011
Virginia Senate - Allen vs. Kaine,Washington Post,"Allen 46, Kaine 46",Tie,2011-05-08,2011
Virginia Senate - Allen vs. Kaine,PPP (D),"Allen 44, Kaine 46",Kaine +2,2011-05-11,2011
Wisconsin Senate - Thompson vs. Feingold,PPP (D),"Feingold 52, Thompson 42",Feingold +10,2011-05-24,2011
Florida Senate - Hasner vs. Nelson,Quinnipiac,"Nelson 48, Hasner 23",Nelson +25,2011-05-26,2011
Florida Senate - LeMieux vs. Nelson,Quinnipiac,"Nelson 47, LeMieux 27",Nelson +20,2011-05-26,2011
Florida Senate - Haridopolos vs. Nelson,Quinnipiac,"Nelson 47, Haridopolos 26",Nelson +21,2011-05-26,2011
New Jersey Senate - Crowley vs. Menendez,Fairleigh Dickinson,"Menendez 45, Crowley 26",Menendez +19,2011-05-31,2011
Massachusetts Senate - Brown vs. Elizabeth Warren,PPP (D),"Brown 47, Warren 32",Brown +15,2011-06-07,2011
Massachusetts Senate - Brown vs. Capuano,PPP (D),"Brown 48, Capuano 38",Brown +10,2011-06-07,2011
Utah Senate - Republican Primary,Deseret News/KSL,"Hatch 47, Chaffetz 44",Hatch +3,2011-06-20,2011
Utah Senate - Chaffetz vs. Matheson,Deseret News/KSL,"Chaffetz 46, Matheson 45",Chaffetz +1,2011-06-20,2011
Utah Senate - Hatch vs. Matheson,Deseret News/KSL,"Hatch 47, Matheson 47",Tie,2011-06-20,2011
Montana Senate - Rehberg vs. Tester,PPP (D),"Rehberg 47, Tester 45",Rehberg +2,2011-06-21,2011
Nevada Senate - Heller vs. Berkley,Magellan Strategies (R),"Berkley 46, Heller 44",Berkley +2,2011-06-24,2011
New Mexico Senate - Wilson vs. Heinrich,PPP (D),"Heinrich 47, Wilson 42",Heinrich +5,2011-06-28,2011
Florida Senate - LeMieux vs. Nelson,PPP (D),"Nelson 46, LeMieux 35",Nelson +11,2011-06-29,2011
Florida Senate - Hasner vs. Nelson,PPP (D),"Nelson 47, Hasner 35",Nelson +12,2011-06-29,2011
Florida Senate - Haridopolos vs. Nelson,PPP (D),"Nelson 47, Haridopolos 35",Nelson +12,2011-06-29,2011
Texas Senate - Cruz vs. Sanchez,PPP (D),"Cruz 41, Sanchez 32",Cruz +9,2011-06-30,2011
Texas Senate - Dewhurst vs. Sanchez,PPP (D),"Dewhurst 45, Sanchez 37",Dewhurst +8,2011-06-30,2011
Virginia Senate - Allen vs. Kaine,Quinnipiac,"Kaine 43, Allen 42",Kaine +1,2011-06-30,2011
Utah Senate - Chaffetz vs. Matheson,PPP (D),"Matheson 47, Chaffetz 42",Matheson +5,2011-07-12,2011
Utah Senate - Hatch vs. Matheson,PPP (D),"Matheson 45, Hatch 44",Matheson +1,2011-07-12,2011
Ohio Senate - Mandel vs. Brown,Quinnipiac,"Brown 49, Mandel 34",Brown +15,2011-07-21,2011
Ohio Senate - Coughlin vs. Brown,Quinnipiac,"Brown 50, Coughlin 32",Brown +18,2011-07-21,2011
Michigan Senate - Hoekstra vs. Stabenow,PPP (D),"Stabenow 50, Hoekstra 41",Stabenow +9,2011-07-26,2011
Virginia Senate - Allen vs. Kaine,PPP (D),"Kaine 46, Allen 43",Kaine +3,2011-07-27,2011
Nevada Senate - Heller vs. Berkley,PPP (D),"Heller 46, Berkley 43",Heller +3,2011-08-02,2011
Utah Senate - Chaffetz vs. Matheson,Mason-Dixon,"Chaffetz 49, Matheson 43",Chaffetz +6,2011-08-15,2011
Utah Senate - Republican Primary,Mason-Dixon,"Hatch 49, Chaffetz 39",Hatch +10,2011-08-15,2011
Utah Senate - Hatch vs. Matheson,Mason-Dixon,"Hatch 48, Matheson 43",Hatch +5,2011-08-15,2011
Ohio Senate - Mandel vs. Brown,PPP (D),"Brown 48, Mandel 33",Brown +15,2011-08-17,2011
Ohio Senate - Coughlin vs. Brown,PPP (D),"Brown 47, Coughlin 33",Brown +14,2011-08-17,2011
Wisconsin Senate - Neumann vs. Baldwin,PPP (D),"Neumann 44, Baldwin 40",Neumann +4,2011-08-18,2011
Wisconsin Senate - Thompson vs. Baldwin,PPP (D),"Thompson 50, Baldwin 42",Thompson +8,2011-08-18,2011
Michigan Senate - Hoekstra vs. Stabenow,EPIC-MRA,"Stabenow 47, Hoekstra 38",Stabenow +9,2011-08-22,2011
Florida Senate - Hasner vs. Nelson,Mason-Dixon,"Nelson 45, Hasner 34",Nelson +11,2011-08-26,2011
Florida Senate - LeMieux vs. Nelson,Mason-Dixon,"Nelson 49, LeMieux 34",Nelson +15,2011-08-26,2011
Florida Senate - Buchanan vs. Nelson,Mason-Dixon,"Nelson 45, Buchanan 35",Nelson +10,2011-08-26,2011
Massachusetts Senate - Brown vs. Elizabeth Warren,WBUR/MassINC,"Warren 35, Brown 44",Brown +9,2011-09-06,2011
West Virginia Senate - Capito vs. Manchin,PPP (D),"Manchin 52, Capito 36",Manchin +16,2011-09-08,2011
Missouri Senate - Akin vs. McCaskill,PPP (D),"McCaskill 45, Akin 43",McCaskill +2,2011-09-13,2011
Missouri Senate - Steelman vs. McCaskill,PPP (D),"McCaskill 43, Steelman 42",McCaskill +1,2011-09-13,2011
Virginia Senate - Allen vs. Kaine,Quinnipiac,"Allen 45, Kaine 44",Allen +1,2011-09-15,2011
Connecticut Senate - Shays vs. Murphy,Quinnipiac,"Murphy 43, Shays 37",Murphy +6,2011-09-16,2011
Connecticut Senate - McMahon vs. Murphy,Quinnipiac,"Murphy 49, McMahon 38",Murphy +11,2011-09-16,2011
Massachusetts Senate - Brown vs. Elizabeth Warren,PPP (D),"Warren 46, Brown 44",Warren +2,2011-09-20,2011
Texas Senate - Dewhurst vs. Sanchez,PPP (D),"Dewhurst 47, Sanchez 32",Dewhurst +15,2011-09-21,2011
Virginia Senate - Allen vs. Kaine,Roanoke College,"Allen 42, Kaine 39",Allen +3,2011-09-25,2011
Connecticut Senate - Shays vs. Murphy,PPP (D),"Murphy 43, Shays 39",Murphy +4,2011-09-28,2011
Ohio Senate - Mandel vs. Brown,Quinnipiac,"Brown 49, Mandel 36",Brown +13,2011-09-28,2011
Connecticut Senate - McMahon vs. Murphy,PPP (D),"Murphy 50, McMahon 43",Murphy +7,2011-09-28,2011
Virginia Senate - Allen vs. Kaine,Rasmussen Reports,"Kaine 46, Allen 45",Kaine +1,2011-09-30,2011
Massachusetts Senate - Brown vs. Warren,UMass/Boston Herald,"Brown 41, Warren 38",Brown +3,2011-10-03,2011
Florida Senate - Hasner vs. Nelson,PPP (D),"Nelson 49, Hasner 35",Nelson +14,2011-10-04,2011
Florida Senate - LeMieux vs. Nelson,PPP (D),"Nelson 49, LeMieux 35",Nelson +14,2011-10-04,2011
Nebraska Senate - Bruning vs. Nelson,PPP (D),"Bruning 46, Nelson 42",Bruning +4,2011-10-05,2011
West Virginia Senate - Capito vs. Manchin,PPP (D),"Manchin 49, Capito 38",Manchin +11,2011-10-06,2011
Massachusetts Senate - Brown vs. Warren,Western NE College,"Brown 47, Warren 42",Brown +5,2011-10-07,2011
Virginia Senate - Allen vs. Kaine,Quinnipiac,"Kaine 45, Allen 44",Kaine +1,2011-10-11,2011
Virginia Senate - Allen vs. Kaine,CNU/Times-Dispatch,"Kaine 44, Allen 42",Kaine +2,2011-10-16,2011
Hawaii Senate - Lingle vs. Hirono,PPP (D),"Hirono 48, Lingle 42",Hirono +6,2011-10-19,2011
Ohio Senate - Mandel vs. Brown,PPP (D),"Brown 48, Mandel 40",Brown +8,2011-10-21,2011
Ohio Senate - Mandel vs. Brown,Quinnipiac,"Brown 49, Mandel 34",Brown +15,2011-10-26,2011
Nevada Senate - Heller vs. Berkley,PPP (D),"Heller 45, Berkley 45",Tie,2011-10-26,2011
Wisconsin Senate - Thompson vs. Baldwin,PPP (D),"Thompson 46, Baldwin 44",Thompson +2,2011-10-27,2011
Wisconsin Senate - Neumann vs. Baldwin,PPP (D),"Baldwin 44, Neumann 43",Baldwin +1,2011-10-27,2011
Wisconsin Senate - Neumann vs. Baldwin,Rasmussen Reports,"Baldwin 44, Neumann 43",Baldwin +1,2011-10-28,2011
Wisconsin Senate - Thompson vs. Baldwin,Rasmussen Reports,"Thompson 49, Baldwin 42",Thompson +7,2011-10-28,2011
Ohio Senate - Mandel vs. Brown,PPP (D),"Brown 49, Mandel 34",Brown +15,2011-11-10,2011
Minnesota Senate - Severson vs. Klobuchar,SurveyUSA,"Klobuchar 55, Severson 23",Klobuchar +32,2011-11-10,2011
Missouri Senate - Steelman vs. McCaskill,Rasmussen Reports,"Steelman 47, McCaskill 45",Steelman +2,2011-11-10,2011
Missouri Senate - Akin vs. McCaskill,Rasmussen Reports,"McCaskill 47, Akin 45",McCaskill +2,2011-11-10,2011
Florida Senate - Mack vs. Nelson,Quinnipiac,"Nelson 42, Mack 40",Nelson +2,2011-11-11,2011
Florida Senate - Mack vs. Nelson,Rasmussen Reports,"Nelson 39, Mack 43",Mack +4,2011-11-18,2011
Michigan Senate - Hoekstra vs. Stabenow,EPIC-MRA,"Stabenow 48, Hoekstra 42",Stabenow +6,2011-11-20,2011
Washington Senate - Baumgartner vs. Cantwell,SurveyUSA,"Cantwell 51, Baumgartner 39",Cantwell +12,2011-11-23,2011
Arizona Senate - Flake vs. Carmona,PPP (D),"Flake 40, Carmona 36",Flake +4,2011-11-25,2011
Pennsylvania Senate - Burns vs. Casey,PPP (D),"Casey 49, Burns 34",Casey +15,2011-11-28,2011
Nebraska Senate - Bruning vs. Nelson,Magellan Strategies (R),"Bruning 45, Nelson 39",Bruning +6,2011-11-28,2011
Pennsylvania Senate - Rohrer vs. Casey,PPP (D),"Casey 47, Rohrer 36",Casey +11,2011-11-28,2011
Montana Senate - Rehberg vs. Tester,PPP (D),"Rehberg 47, Tester 45",Rehberg +2,2011-12-01,2011
Florida Senate - Mack vs. Nelson,PPP (D),"Nelson 46, Mack 35",Nelson +11,2011-12-02,2011
Massachusetts Senate - Brown vs. Warren,UMass/Boston Herald,"Brown 42, Warren 49",Warren +7,2011-12-08,2011
New Mexico Senate - Wilson vs. Heinrich,PPP (D),"Heinrich 47, Wilson 40",Heinrich +7,2011-12-15,2011
Virginia Senate - Allen vs. Kaine,PPP (D),"Kaine 47, Allen 42",Kaine +5,2011-12-15,2011
Virginia Senate - Allen vs. Kaine,Quinnipiac,"Kaine 42, Allen 44",Allen +2,2011-12-21,2011
Nevada Senate - Heller vs. Berkley,Las Vegas Review-Journal,"Berkley 44, Heller 43",Berkley +1,2011-12-23,2011
Florida Senate - Mack vs. Nelson,Quinnipiac,"Nelson 41, Mack 40",Nelson +1,2012-01-11,2012
Nebraska Senate - Stenberg vs. Kerrey,Magellan Strategies (R),"Stenberg 47, Kerrey 39",Stenberg +8,2012-01-16,2012
Nebraska Senate - Bruning vs. Kerrey,Magellan Strategies (R),"Bruning 51, Kerrey 40",Bruning +11,2012-01-16,2012
Washington Senate - Baumgartner vs. Cantwell,SurveyUSA,"Cantwell 50, Baumgartner 41",Cantwell +9,2012-01-17,2012
Ohio Senate - Mandel vs. Brown,Quinnipiac,"Brown 47, Mandel 32",Brown +15,2012-01-19,2012
Minnesota Senate - Severson vs. Klobuchar,PPP (D),"Klobuchar 55, Severson 32",Klobuchar +23,2012-01-24,2012
Florida Senate - Mack vs. Nelson,Suffolk/7News,"Nelson 42, Mack 32",Nelson +10,2012-01-28,2012
Florida Senate - Mack vs. Nelson,Miami Herald/Mason-Dixon,"Nelson 45, Mack 42",Nelson +3,2012-01-28,2012
Virginia Senate - Allen vs. Kaine,Mason-Dixon,"Kaine 46, Allen 46",Tie,2012-01-28,2012
Hawaii Senate - Lingle vs. Hirono,Honolulu Civil Beat/MRG,"Hirono 46, Lingle 39",Hirono +7,2012-01-31,2012
Hawaii Senate - Lingle vs. Case,Honolulu Civil Beat/MRG,"Case 46, Lingle 33",Case +13,2012-01-31,2012
Missouri Senate - Steelman vs. McCaskill,PPP (D),"Steelman 43, McCaskill 43",Tie,2012-02-01,2012
Ohio Senate - Mandel vs. Brown,PPP (D),"Brown 47, Mandel 36",Brown +11,2012-02-03,2012
Virginia Senate - Allen vs. Kaine,Quinnipiac,"Kaine 45, Allen 44",Kaine +1,2012-02-08,2012
Ohio Senate - Mandel vs. Brown,Rasmussen Reports,"Brown 44, Mandel 40",Brown +4,2012-02-10,2012
Hawaii Senate - Lingle vs. Hirono,Honolulu Star-Advertiser,"Hirono 57, Lingle 37",Hirono +20,2012-02-13,2012
Michigan Senate - Hoekstra vs. Stabenow,PPP (D),"Stabenow 51, Hoekstra 37",Stabenow +14,2012-02-14,2012
Florida Senate - Mack vs. Nelson,Rasmussen Reports,"Nelson 41, Mack 41",Tie,2012-02-14,2012
Massachusetts Senate - Brown vs. Warren,WBUR/MassINC,"Brown 43, Warren 46",Warren +3,2012-02-14,2012
New Mexico Senate - Wilson vs. Heinrich,Rasmussen Reports,"Heinrich 45, Wilson 43",Heinrich +2,2012-02-15,2012
Ohio Senate - Mandel vs. Brown,Quinnipiac,"Brown 48, Mandel 35",Brown +13,2012-02-15,2012
Massachusetts Senate - Brown vs. Warren,Suffolk/7News,"Brown 49, Warren 40",Brown +9,2012-02-17,2012
Virginia Senate - Allen vs. Kaine,CNU/Times-Dispatch,"Kaine 40, Allen 42",Allen +2,2012-02-20,2012
Arizona Senate - Flake vs. Carmona,PPP (D),"Flake 46, Carmona 35",Flake +11,2012-02-21,2012
Arizona Senate - Flake vs. Carmona,NBC News/Marist,"Flake 42, Carmona 29",Flake +13,2012-02-22,2012
Wisconsin Senate - Thompson vs. Baldwin,Marquette University,"Thompson 48, Baldwin 42",Thompson +6,2012-02-22,2012
Virginia Senate - Allen vs. Kaine,Rasmussen Reports,"Kaine 46, Allen 46",Tie,2012-02-22,2012
Michigan Senate - Hoekstra vs. Stabenow,NBC News/Marist,"Stabenow 53, Hoekstra 32",Stabenow +21,2012-02-22,2012
Montana Senate - Rehberg vs. Tester,Rasmussen Reports,"Rehberg 47, Tester 44",Rehberg +3,2012-02-23,2012
Washington Senate - Baumgartner vs. Cantwell,PPP (D),"Cantwell 51, Baumgartner 36",Cantwell +15,2012-02-24,2012
Virginia Senate - Allen vs. Kaine,Roanoke College,"Kaine 37, Allen 45",Allen +8,2012-02-28,2012
Wisconsin Senate - Thompson vs. Baldwin,Rasmussen Reports,"Thompson 50, Baldwin 36",Thompson +14,2012-02-28,2012
New Jersey Senate - Kyrillos vs. Menendez,SurveyUSA,"Menendez 46, Kyrillos 31",Menendez +15,2012-02-29,2012
New Jersey Senate - Kyrillos vs. Menendez,Quinnipiac,"Menendez 49, Kyrillos 34",Menendez +15,2012-02-29,2012
Wisconsin Senate - Thompson vs. Baldwin,PPP (D),"Thompson 45, Baldwin 46",Baldwin +1,2012-02-29,2012
Massachusetts Senate - Brown vs. Warren,Mass Insight/Opinion Dynamics,"Brown 52, Warren 43",Brown +9,2012-02-29,2012
Massachusetts Senate - Brown vs. Warren,Rasmussen Reports,"Brown 49, Warren 44",Brown +5,2012-03-01,2012
Massachusetts Senate - Brown vs. Warren,Western NE University,"Brown 49, Warren 41",Brown +8,2012-03-04,2012
Virginia Senate - Allen vs. Kaine,NBC News/Marist,"Kaine 48, Allen 39",Kaine +9,2012-03-04,2012
Ohio Senate - Mandel vs. Brown,NBC News/Marist,"Brown 47, Mandel 37",Brown +10,2012-03-04,2012
Maine Senate - Summers vs. Pingree vs. King,PPP (D),"King 36, Pingree 31, Summers 28",King +5,2012-03-06,2012
Nebraska Senate - Bruning vs. Kerrey,Rasmussen Reports,"Bruning 55, Kerrey 33",Bruning +22,2012-03-06,2012
Pennsylvania Senate - Rohrer vs. Casey,PPP (D),"Casey 49, Rohrer 34",Casey +15,2012-03-14,2012
Florida Senate - Mack vs. Nelson,Rasmussen Reports,"Nelson 36, Mack 43",Mack +7,2012-03-14,2012
Arizona Senate - Flake vs. Carmona,Rasmussen Reports,"Flake 47, Carmona 34",Flake +13,2012-03-14,2012
Missouri Senate - Steelman vs. McCaskill,Rasmussen Reports,"Steelman 51, McCaskill 41",Steelman +10,2012-03-16,2012
New Jersey Senate - Kyrillos vs. Menendez,Fairleigh Dickinson,"Menendez 43, Kyrillos 33",Menendez +10,2012-03-19,2012
Virginia Senate - Allen vs. Kaine,Quinnipiac,"Kaine 47, Allen 44",Kaine +3,2012-03-20,2012
Massachusetts Senate - Brown vs. Warren,PPP (D),"Brown 41, Warren 46",Warren +5,2012-03-20,2012
Nevada Senate - Heller vs. Berkley,Rasmussen Reports,"Heller 47, Berkley 40",Heller +7,2012-03-20,2012
Virginia Senate - Allen vs. Kaine,Rasmussen Reports,"Kaine 44, Allen 46",Allen +2,2012-03-21,2012
Connecticut Senate - McMahon vs. Murphy,Quinnipiac,"Murphy 52, McMahon 37",Murphy +15,2012-03-22,2012
Connecticut Senate - Shays vs. Murphy,Quinnipiac,"Murphy 41, Shays 40",Murphy +1,2012-03-22,2012
Ohio Senate - Mandel vs. Brown,Rasmussen Reports,"Brown 43, Mandel 43",Tie,2012-03-27,2012
Michigan Senate - Hoekstra vs. Stabenow,MRG,"Stabenow 45, Hoekstra 40",Stabenow +5,2012-03-27,2012
Nebraska Senate - Bruning vs. Kerrey,PPP (D),"Bruning 54, Kerrey 37",Bruning +17,2012-03-27,2012
Wisconsin Senate - Thompson vs. Baldwin,Rasmussen Reports,"Thompson 48, Baldwin 44",Thompson +4,2012-03-28,2012
Ohio Senate - Mandel vs. Brown,Quinnipiac,"Brown 46, Mandel 36",Brown +10,2012-03-29,2012
Florida Senate - Mack vs. Nelson,Quinnipiac,"Nelson 44, Mack 36",Nelson +8,2012-03-29,2012
Massachusetts Senate - Brown vs. Warren,Boston Globe,"Brown 37, Warren 35",Brown +2,2012-04-01,2012
Nevada Senate - Heller vs. Berkley,PPP (D),"Heller 46, Berkley 43",Heller +3,2012-04-03,2012
Montana Senate - Rehberg vs. Tester,Rasmussen Reports,"Rehberg 47, Tester 44",Rehberg +3,2012-04-03,2012
New Mexico Senate - Wilson vs. Heinrich,Rasmussen Reports,"Heinrich 46, Wilson 42",Heinrich +4,2012-04-04,2012
New York Senate - Turner vs. Gillibrand,Quinnipiac,"Gillibrand 57, Turner 27",Gillibrand +30,2012-04-05,2012
Maine Senate - Summers vs. Dunlap vs. King,MPRC (D),"King 56, Summers 22, Dunlap 12",King +34,2012-04-06,2012
Indiana Senate - Mourdock vs. Donnelly,Howey/DePauw,"Mourdock 35, Donnelly 35",Tie,2012-04-06,2012
Indiana Senate - Lugar vs. Donnelly,Howey/DePauw,"Lugar 50, Donnelly 29",Lugar +21,2012-04-06,2012
Indiana Senate - Republican Primary,Howey/DePauw,"Lugar 42, Mourdock 35",Lugar +7,2012-04-06,2012
New York Senate - Turner vs. Gillibrand,Siena,"Gillibrand 65, Turner 24",Gillibrand +41,2012-04-10,2012
Virginia Senate - Allen vs. Kaine,Roanoke College,"Kaine 39, Allen 46",Allen +7,2012-04-10,2012
Massachusetts Senate - Brown vs. Warren,Rasmussen Reports,"Brown 45, Warren 46",Warren +1,2012-04-10,2012
New Jersey Senate - Kyrillos vs. Menendez,Quinnipiac,"Menendez 44, Kyrillos 35",Menendez +9,2012-04-12,2012
Wisconsin Senate - Thompson vs. Baldwin,Daily Kos/PPP (D),"Thompson 47, Baldwin 45",Thompson +2,2012-04-16,2012
Florida Senate - Mack vs. Nelson,PPP (D),"Nelson 47, Mack 37",Nelson +10,2012-04-18,2012
Missouri Senate - Steelman vs. McCaskill,Rasmussen Reports,"Steelman 49, McCaskill 42",Steelman +7,2012-04-19,2012
Missouri Senate - Akin vs. McCaskill,Rasmussen Reports,"Akin 48, McCaskill 43",Akin +5,2012-04-19,2012
Missouri Senate - Brunner vs. McCaskill,Rasmussen Reports,"McCaskill 45, Brunner 45",Tie,2012-04-19,2012
Ohio Senate - Mandel vs. Brown,Rasmussen Reports,"Brown 44, Mandel 41",Brown +3,2012-04-20,2012
Virginia Senate - Allen vs. Kaine,Rasmussen Reports,"Kaine 45, Allen 46",Allen +1,2012-04-24,2012
New Mexico Senate - Wilson vs. Heinrich,PPP (D),"Heinrich 48, Wilson 43",Heinrich +5,2012-04-24,2012
Florida Senate - Mack vs. Nelson,Rasmussen Reports,"Nelson 47, Mack 36",Nelson +11,2012-04-27,2012
Montana Senate - Rehberg vs. Tester,PPP (D),"Rehberg 43, Tester 48",Tester +5,2012-05-01,2012
Nevada Senate - Heller vs. Berkley,Rasmussen Reports,"Heller 51, Berkley 40",Heller +11,2012-05-01,2012
Virginia Senate - Allen vs. Kaine,PPP (D),"Kaine 46, Allen 45",Kaine +1,2012-05-02,2012
Montana Senate - Rehberg vs. Tester,Rasmussen Reports,"Rehberg 53, Tester 43",Rehberg +10,2012-05-03,2012
Arizona Senate - Flake vs. Carmona,Magellan (R),"Flake 44, Carmona 40",Flake +4,2012-05-03,2012
Indiana Senate - Republican Primary,Howey/DePauw,"Mourdock 48, Lugar 38",Mourdock +10,2012-05-04,2012
Nebraska Senate - Republican Primary,WeAskAmerica,"Fischer 26, Bruning 42, Stenberg 23",Bruning +16,2012-05-07,2012
Virginia Senate - Allen vs. Kaine,Washington Post,"Kaine 46, Allen 46",Tie,2012-05-08,2012
Massachusetts Senate - Brown vs. Warren,Rasmussen Reports,"Brown 45, Warren 45",Tie,2012-05-08,2012
New Jersey Senate - Kyrillos vs. Menendez,Fairleigh Dickinson,"Menendez 42, Kyrillos 33",Menendez +9,2012-05-10,2012
Ohio Senate - Mandel vs. Brown,Quinnipiac,"Brown 46, Mandel 40",Brown +6,2012-05-10,2012
Ohio Senate - Mandel vs. Brown,PPP (D),"Brown 45, Mandel 37",Brown +8,2012-05-10,2012
Massachusetts Senate - Brown vs. Warren,MassINC,"Brown 41, Warren 43",Warren +2,2012-05-10,2012
Wisconsin Senate - Thompson vs. Baldwin,Rasmussen Reports,"Thompson 50, Baldwin 38",Thompson +12,2012-05-11,2012
New York Senate - Turner vs. Gillibrand,Siena,"Gillibrand 59, Turner 25",Gillibrand +34,2012-05-14,2012
Nebraska Senate - Republican Primary,WeAskAmerica,"Fischer 39, Bruning 34, Stenberg 18",Fischer +5,2012-05-14,2012
Wisconsin Senate - Thompson vs. Baldwin,Daily Kos/PPP (D),"Thompson 47, Baldwin 42",Thompson +5,2012-05-15,2012
Nebraska Senate - Republican Primary,PPP (D),"Fischer 37, Bruning 33, Stenberg 17",Fischer +4,2012-05-15,2012
New Jersey Senate - Kyrillos vs. Menendez,Quinnipiac,"Menendez 45, Kyrillos 35",Menendez +10,2012-05-16,2012
Nebraska Senate - Fischer vs. Kerrey,Rasmussen Reports,"Fischer 56, Kerrey 38",Fischer +18,2012-05-17,2012
Arizona Senate - Flake vs. Carmona,PPP (D),"Flake 48, Carmona 35",Flake +13,2012-05-22,2012
Pennsylvania Senate - Smith vs. Casey,PPP (D),"Casey 49, Smith 33",Casey +16,2012-05-23,2012
Texas Senate - Republican Primary,PPP (D),"Dewhurst 46, Cruz 29, Leppert 15, James 3",Dewhurst +17,2012-05-24,2012
Pennsylvania Senate - Smith vs. Casey,Rasmussen Reports,"Casey 48, Smith 41",Casey +7,2012-05-24,2012
Ohio Senate - Mandel vs. Brown,NBC News/Marist,"Brown 51, Mandel 37",Brown +14,2012-05-24,2012
Florida Senate - Mack vs. Nelson,NBC News/Marist,"Nelson 46, Mack 42",Nelson +4,2012-05-24,2012
Florida Senate - Mack vs. Nelson,Quinnipiac,"Nelson 41, Mack 42",Mack +1,2012-05-24,2012
Virginia Senate - Allen vs. Kaine,NBC News/Marist,"Kaine 49, Allen 43",Kaine +6,2012-05-24,2012
Massachusetts Senate - Brown vs. Warren,Suffolk/7News,"Brown 48, Warren 47",Brown +1,2012-05-24,2012
Missouri Senate - Steelman vs. McCaskill,PPP (D),"Steelman 44, McCaskill 44",Tie,2012-05-29,2012
Michigan Senate - Hoekstra vs. Stabenow,PPP (D),"Stabenow 53, Hoekstra 37",Stabenow +16,2012-05-30,2012
New York Senate - Turner vs. Gillibrand,Quinnipiac,"Gillibrand 56, Turner 26",Gillibrand +30,2012-05-30,2012
Ohio Senate - Mandel vs. Brown,Rasmussen Reports,"Brown 47, Mandel 42",Brown +5,2012-05-30,2012
Nevada Senate - Heller vs. Berkley,NBC News/Marist,"Heller 46, Berkley 44",Heller +2,2012-05-31,2012
Massachusetts Senate - Brown vs. Warren,Western NE University,"Brown 43, Warren 45",Warren +2,2012-06-02,2012
Massachusetts Senate - Brown vs. Warren,Boston Globe,"Brown 39, Warren 37",Brown +2,2012-06-02,2012
Virginia Senate - Allen vs. Kaine,Rasmussen Reports,"Kaine 46, Allen 44",Kaine +2,2012-06-05,2012
Connecticut Senate - McMahon vs. Murphy,Quinnipiac,"Murphy 46, McMahon 43",Murphy +3,2012-06-06,2012
