Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
Direction of Country,CBS News/NY Times,"Right Direction 29, Wrong Track 63",Wrong Track +34,2012-03-12,2012
Direction of Country,Rasmussen Reports,"Right Direction 32, Wrong Track 63",Wrong Track +31,2012-03-14,2012
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 61",Wrong Track +30,2012-03-21,2012
Direction of Country,McClatchy/Marist,"Right Direction 43, Wrong Track 53",Wrong Track +10,2012-03-27,2012
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 64",Wrong Track +35,2012-03-28,2012
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 64",Wrong Track +35,2012-04-04,2012
Direction of Country,ABC News/Wash Post,"Right Direction 33, Wrong Track 64",Wrong Track +31,2012-04-10,2012
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 64",Wrong Track +35,2012-04-11,2012
Direction of Country,Reuters/Ipsos,"Right Direction 35, Wrong Track 60",Wrong Track +25,2012-04-16,2012
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 65",Wrong Track +38,2012-04-18,2012
Direction of Country,CBS News/NY Times,"Right Direction 31, Wrong Track 61",Wrong Track +30,2012-04-19,2012
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 33, Wrong Track 59",Wrong Track +26,2012-04-20,2012
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 63",Wrong Track +34,2012-04-25,2012
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 62",Wrong Track +31,2012-05-02,2012
Direction of Country,Democracy Corps (D),"Right Direction 33, Wrong Track 59",Wrong Track +26,2012-05-03,2012
Direction of Country,Politico/GWU/Battleground,"Right Direction 33, Wrong Track 59",Wrong Track +26,2012-05-07,2012
Direction of Country,Reuters/Ipsos,"Right Direction 35, Wrong Track 57",Wrong Track +22,2012-05-08,2012
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 63",Wrong Track +32,2012-05-09,2012
Direction of Country,Associated Press/GfK,"Right Direction 37, Wrong Track 56",Wrong Track +19,2012-05-11,2012
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 33, Wrong Track 58",Wrong Track +25,2012-05-23,2012
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 63",Wrong Track +33,2012-05-23,2012
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 62",Wrong Track +31,2012-05-30,2012
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 61",Wrong Track +30,2012-06-06,2012
Direction of Country,CBS News/NY Times,"Right Direction 31, Wrong Track 62",Wrong Track +31,2012-06-07,2012
Direction of Country,Reuters/Ipsos,"Right Direction 32, Wrong Track 63",Wrong Track +31,2012-06-12,2012
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 64",Wrong Track +35,2012-06-13,2012
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 64",Wrong Track +34,2012-06-20,2012
Direction of Country,Bloomberg,"Right Direction 31, Wrong Track 62",Wrong Track +31,2012-06-20,2012
Direction of Country,Associated Press/GfK,"Right Direction 31, Wrong Track 60",Wrong Track +29,2012-06-21,2012
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 31, Wrong Track 61",Wrong Track +30,2012-06-26,2012
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 65",Wrong Track +38,2012-06-27,2012
Direction of Country,Newsweek/Daily Beast,"Right Direction 26, Wrong Track 59",Wrong Track +33,2012-06-29,2012
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 63",Wrong Track +33,2012-07-05,2012
Direction of Country,ABC News/Wash Post,"Right Direction 33, Wrong Track 63",Wrong Track +30,2012-07-10,2012
Direction of Country,Reuters/Ipsos,"Right Direction 36, Wrong Track 58",Wrong Track +22,2012-07-10,2012
Direction of Country,Rasmussen Reports,"Right Direction 32, Wrong Track 62",Wrong Track +30,2012-07-11,2012
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 65",Wrong Track +37,2012-07-18,2012
Direction of Country,NPR,"Right Direction 32, Wrong Track 60",Wrong Track +28,2012-07-19,2012
Direction of Country,CBS News/NY Times,"Right Direction 30, Wrong Track 64",Wrong Track +34,2012-07-19,2012
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 32, Wrong Track 60",Wrong Track +28,2012-07-24,2012
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 62",Wrong Track +32,2012-07-25,2012
Direction of Country,Democracy Corps (D),"Right Direction 36, Wrong Track 58",Wrong Track +22,2012-07-30,2012
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 64",Wrong Track +35,2012-08-01,2012
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 66",Wrong Track +39,2012-08-08,2012
Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 64",Wrong Track +33,2012-08-08,2012
Direction of Country,Politico/GWU/Battleground,"Right Direction 32, Wrong Track 61",Wrong Track +29,2012-08-13,2012
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 63",Wrong Track +34,2012-08-15,2012
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 32, Wrong Track 61",Wrong Track +29,2012-08-21,2012
Direction of Country,Associated Press/GfK,"Right Direction 35, Wrong Track 60",Wrong Track +25,2012-08-22,2012
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 63",Wrong Track +34,2012-08-22,2012
Direction of Country,ABC News/Wash Post,"Right Direction 29, Wrong Track 69",Wrong Track +40,2012-08-27,2012
Direction of Country,Democracy Corps (D),"Right Direction 33, Wrong Track 62",Wrong Track +29,2012-08-28,2012
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 63",Wrong Track +35,2012-08-29,2012
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 62",Wrong Track +31,2012-09-05,2012
Direction of Country,Rasmussen Reports,"Right Direction 37, Wrong Track 57",Wrong Track +20,2012-09-12,2012
Direction of Country,Reuters/Ipsos,"Right Direction 39, Wrong Track 55",Wrong Track +16,2012-09-12,2012
Direction of Country,Democracy Corps (D),"Right Direction 39, Wrong Track 55",Wrong Track +16,2012-09-13,2012
Direction of Country,CBS News/NY Times,"Right Direction 38, Wrong Track 57",Wrong Track +19,2012-09-14,2012
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 39, Wrong Track 55",Wrong Track +16,2012-09-18,2012
Direction of Country,Rasmussen Reports,"Right Direction 35, Wrong Track 58",Wrong Track +23,2012-09-19,2012
Direction of Country,Associated Press/GfK,"Right Direction 41, Wrong Track 52",Wrong Track +11,2012-09-19,2012
Direction of Country,Politico/GWU/Battleground,"Right Direction 37, Wrong Track 57",Wrong Track +20,2012-09-24,2012
Direction of Country,Rasmussen Reports,"Right Direction 36, Wrong Track 58",Wrong Track +22,2012-09-26,2012
Direction of Country,Bloomberg,"Right Direction 33, Wrong Track 60",Wrong Track +27,2012-09-26,2012
Direction of Country,ABC News/Wash Post,"Right Direction 38, Wrong Track 60",Wrong Track +22,2012-10-01,2012
Direction of Country,Politico/GWU/Battleground,"Right Direction 38, Wrong Track 56",Wrong Track +18,2012-10-01,2012
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 40, Wrong Track 53",Wrong Track +13,2012-10-02,2012
Direction of Country,NPR,"Right Direction 39, Wrong Track 55",Wrong Track +16,2012-10-03,2012
Direction of Country,Rasmussen Reports,"Right Direction 37, Wrong Track 55",Wrong Track +18,2012-10-03,2012
Direction of Country,Politico/GWU/Battleground,"Right Direction 39, Wrong Track 54",Wrong Track +15,2012-10-08,2012
Direction of Country,Rasmussen Reports,"Right Direction 38, Wrong Track 57",Wrong Track +19,2012-10-10,2012
Direction of Country,ABC News/Wash Post,"Right Direction 42, Wrong Track 56",Wrong Track +14,2012-10-15,2012
Direction of Country,Politico/GWU/Battleground,"Right Direction 40, Wrong Track 53",Wrong Track +13,2012-10-15,2012
Direction of Country,Rasmussen Reports,"Right Direction 37, Wrong Track 58",Wrong Track +21,2012-10-17,2012
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 41, Wrong Track 53",Wrong Track +12,2012-10-21,2012
Direction of Country,Politico/GWU/Battleground,"Right Direction 37, Wrong Track 57",Wrong Track +20,2012-10-22,2012
Direction of Country,CBS News,"Right Direction 40, Wrong Track 53",Wrong Track +13,2012-10-22,2012
Direction of Country,Rasmussen Reports,"Right Direction 37, Wrong Track 57",Wrong Track +20,2012-10-24,2012
Direction of Country,Associated Press/GfK,"Right Direction 41, Wrong Track 51",Wrong Track +10,2012-10-25,2012
Direction of Country,Politico/GWU/Battleground,"Right Direction 37, Wrong Track 56",Wrong Track +19,2012-10-29,2012
Direction of Country,CBS News/NY Times,"Right Direction 39, Wrong Track 54",Wrong Track +15,2012-10-30,2012
Direction of Country,NPR,"Right Direction 41, Wrong Track 55",Wrong Track +14,2012-10-30,2012
Direction of Country,Rasmussen Reports,"Right Direction 39, Wrong Track 57",Wrong Track +18,2012-10-31,2012
Direction of Country,ABC News/Wash Post,"Right Direction 43, Wrong Track 55",Wrong Track +12,2012-11-02,2012
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 42, Wrong Track 53",Wrong Track +11,2012-11-04,2012
Direction of Country,Politico/GWU/Battleground,"Right Direction 40, Wrong Track 55",Wrong Track +15,2012-11-04,2012
Direction of Country,Politico/GWU/Battleground,"Right Direction 39, Wrong Track 54",Wrong Track +15,2012-11-06,2012
Direction of Country,Rasmussen Reports,"Right Direction 43, Wrong Track 54",Wrong Track +11,2012-11-07,2012
Direction of Country,Rasmussen Reports,"Right Direction 42, Wrong Track 51",Wrong Track +9,2012-11-15,2012
Direction of Country,Rasmussen Reports,"Right Direction 41, Wrong Track 52",Wrong Track +11,2012-11-21,2012
Direction of Country,Rasmussen Reports,"Right Direction 41, Wrong Track 51",Wrong Track +10,2012-11-29,2012
Direction of Country,Rasmussen Reports,"Right Direction 41, Wrong Track 52",Wrong Track +11,2012-12-06,2012
Direction of Country,National Journal,"Right Direction 41, Wrong Track 50",Wrong Track +9,2012-12-07,2012
Direction of Country,Associated Press/GfK,"Right Direction 42, Wrong Track 50",Wrong Track +8,2012-12-07,2012
Direction of Country,Politico/GWU/Battleground,"Right Direction 34, Wrong Track 59",Wrong Track +25,2012-12-10,2012
Direction of Country,McClatchy/Marist,"Right Direction 39, Wrong Track 56",Wrong Track +17,2012-12-11,2012
Direction of Country,Rasmussen Reports,"Right Direction 38, Wrong Track 52",Wrong Track +14,2012-12-12,2012
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 41, Wrong Track 53",Wrong Track +12,2012-12-12,2012
Direction of Country,Bloomberg,"Right Direction 38, Wrong Track 55",Wrong Track +17,2012-12-12,2012
Direction of Country,CBS News,"Right Direction 37, Wrong Track 57",Wrong Track +20,2012-12-19,2012
Direction of Country,Rasmussen Reports,"Right Direction 37, Wrong Track 55",Wrong Track +18,2012-12-19,2012
Direction of Country,Rasmussen Reports,"Right Direction 35, Wrong Track 55",Wrong Track +20,2012-12-27,2012
Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 59",Wrong Track +26,2013-01-02,2013
Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 58",Wrong Track +25,2013-01-10,2013
Direction of Country,Rasmussen Reports,"Right Direction 36, Wrong Track 57",Wrong Track +21,2013-01-16,2013
Direction of Country,ABC News/Wash Post,"Right Direction 37, Wrong Track 58",Wrong Track +21,2013-01-16,2013
Direction of Country,Associated Press/GfK,"Right Direction 38, Wrong Track 53",Wrong Track +15,2013-01-17,2013
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 35, Wrong Track 57",Wrong Track +22,2013-01-17,2013
Direction of Country,CBS News/NY Times,"Right Direction 38, Wrong Track 57",Wrong Track +19,2013-01-18,2013
Direction of Country,Rasmussen Reports,"Right Direction 35, Wrong Track 57",Wrong Track +22,2013-01-23,2013
Direction of Country,Rasmussen Reports,"Right Direction 39, Wrong Track 54",Wrong Track +15,2013-01-30,2013
Direction of Country,Rasmussen Reports,"Right Direction 39, Wrong Track 53",Wrong Track +14,2013-02-06,2013
Direction of Country,CBS News,"Right Direction 40, Wrong Track 54",Wrong Track +14,2013-02-12,2013
Direction of Country,Rasmussen Reports,"Right Direction 38, Wrong Track 55",Wrong Track +17,2013-02-13,2013
Direction of Country,Rasmussen Reports,"Right Direction 38, Wrong Track 54",Wrong Track +16,2013-02-20,2013
Direction of Country,Bloomberg,"Right Direction 37, Wrong Track 54",Wrong Track +17,2013-02-21,2013
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 32, Wrong Track 59",Wrong Track +27,2013-02-26,2013
Direction of Country,Rasmussen Reports,"Right Direction 34, Wrong Track 58",Wrong Track +24,2013-02-27,2013
Direction of Country,Reason-Rupe/PSRAI,"Right Direction 35, Wrong Track 59",Wrong Track +24,2013-03-01,2013
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 64",Wrong Track +36,2013-03-06,2013
Direction of Country,McClatchy/Marist,"Right Direction 34, Wrong Track 62",Wrong Track +28,2013-03-12,2013
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 64",Wrong Track +35,2013-03-13,2013
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 60",Wrong Track +29,2013-03-20,2013
Direction of Country,CBS News,"Right Direction 32, Wrong Track 61",Wrong Track +29,2013-03-27,2013
Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 59",Wrong Track +26,2013-03-27,2013
Direction of Country,Rasmussen Reports,"Right Direction 35, Wrong Track 57",Wrong Track +22,2013-04-03,2013
Direction of Country,McClatchy/Marist,"Right Direction 37, Wrong Track 60",Wrong Track +23,2013-04-04,2013
Direction of Country,Rasmussen Reports,"Right Direction 34, Wrong Track 59",Wrong Track +25,2013-04-10,2013
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 31, Wrong Track 61",Wrong Track +30,2013-04-11,2013
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 60",Wrong Track +29,2013-04-17,2013
Direction of Country,Associated Press/GfK,"Right Direction 36, Wrong Track 56",Wrong Track +20,2013-04-18,2013
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 62",Wrong Track +32,2013-04-24,2013
Direction of Country,National Journal,"Right Direction 29, Wrong Track 60",Wrong Track +31,2013-04-25,2013
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 62",Wrong Track +32,2013-05-01,2013
Direction of Country,CBS News/NY Times,"Right Direction 34, Wrong Track 59",Wrong Track +25,2013-05-02,2013
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 61",Wrong Track +30,2013-05-08,2013
Direction of Country,Pew Research,"Right Direction 32, Wrong Track 58",Wrong Track +26,2013-05-08,2013
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 62",Wrong Track +32,2013-05-15,2013
Direction of Country,Reason-Rupe/PSRAI,"Right Direction 34, Wrong Track 57",Wrong Track +23,2013-05-17,2013
Direction of Country,ABC News/Wash Post,"Right Direction 37, Wrong Track 60",Wrong Track +23,2013-05-21,2013
Direction of Country,Reuters/Ipsos,"Right Direction 24, Wrong Track 59",Wrong Track +35,2013-05-21,2013
Direction of Country,The Economist/YouGov,"Right Direction 33, Wrong Track 59",Wrong Track +26,2013-05-22,2013
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 62",Wrong Track +32,2013-05-22,2013
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 61",Wrong Track +31,2013-05-29,2013
Direction of Country,The Economist/YouGov,"Right Direction 33, Wrong Track 53",Wrong Track +20,2013-05-29,2013
Direction of Country,Bloomberg,"Right Direction 32, Wrong Track 60",Wrong Track +28,2013-06-05,2013
Direction of Country,The Economist/YouGov,"Right Direction 32, Wrong Track 56",Wrong Track +24,2013-06-05,2013
Direction of Country,Rasmussen Reports,"Right Direction 32, Wrong Track 59",Wrong Track +27,2013-06-05,2013
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 32, Wrong Track 59",Wrong Track +27,2013-06-05,2013
Direction of Country,CBS News/NY Times,"Right Direction 35, Wrong Track 59",Wrong Track +24,2013-06-06,2013
Direction of Country,Reuters/Ipsos,"Right Direction 27, Wrong Track 58",Wrong Track +31,2013-06-06,2013
Direction of Country,The Economist/YouGov,"Right Direction 28, Wrong Track 60",Wrong Track +32,2013-06-12,2013
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 62",Wrong Track +31,2013-06-12,2013
Direction of Country,Reuters/Ipsos,"Right Direction 26, Wrong Track 59",Wrong Track +33,2013-06-13,2013
Direction of Country,Time,"Right Direction 33, Wrong Track 58",Wrong Track +25,2013-06-16,2013
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 63",Wrong Track +34,2013-06-19,2013
Direction of Country,The Economist/YouGov,"Right Direction 32, Wrong Track 58",Wrong Track +26,2013-06-19,2013
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 59",Wrong Track +34,2013-06-21,2013
Direction of Country,The Economist/YouGov,"Right Direction 32, Wrong Track 57",Wrong Track +25,2013-06-26,2013
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 62",Wrong Track +32,2013-06-26,2013
Direction of Country,Reuters/Ipsos,"Right Direction 28, Wrong Track 56",Wrong Track +28,2013-06-28,2013
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 63",Wrong Track +33,2013-07-03,2013
Direction of Country,The Economist/YouGov,"Right Direction 32, Wrong Track 59",Wrong Track +27,2013-07-03,2013
Direction of Country,Reuters/Ipsos,"Right Direction 28, Wrong Track 58",Wrong Track +30,2013-07-08,2013
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 64",Wrong Track +37,2013-07-10,2013
Direction of Country,The Economist/YouGov,"Right Direction 26, Wrong Track 60",Wrong Track +34,2013-07-10,2013
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 58",Wrong Track +33,2013-07-11,2013
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 62",Wrong Track +32,2013-07-17,2013
Direction of Country,The Economist/YouGov,"Right Direction 31, Wrong Track 58",Wrong Track +27,2013-07-17,2013
Direction of Country,Reuters/Ipsos,"Right Direction 26, Wrong Track 57",Wrong Track +31,2013-07-18,2013
Direction of Country,McClatchy/Marist,"Right Direction 28, Wrong Track 62",Wrong Track +34,2013-07-23,2013
Direction of Country,Democracy Corps (D),"Right Direction 27, Wrong Track 68",Wrong Track +41,2013-07-23,2013
Direction of Country,ABC News/Wash Post,"Right Direction 36, Wrong Track 60",Wrong Track +24,2013-07-23,2013
Direction of Country,The Economist/YouGov,"Right Direction 28, Wrong Track 61",Wrong Track +33,2013-07-24,2013
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 29, Wrong Track 61",Wrong Track +32,2013-07-24,2013
Direction of Country,CBS News,"Right Direction 35, Wrong Track 60",Wrong Track +25,2013-07-24,2013
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 65",Wrong Track +39,2013-07-24,2013
Direction of Country,Reuters/Ipsos,"Right Direction 24, Wrong Track 59",Wrong Track +35,2013-07-26,2013
Direction of Country,The Economist/YouGov,"Right Direction 29, Wrong Track 59",Wrong Track +30,2013-07-31,2013
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 65",Wrong Track +39,2013-07-31,2013
Direction of Country,Monmouth,"Right Direction 27, Wrong Track 66",Wrong Track +39,2013-08-02,2013
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 56",Wrong Track +31,2013-08-02,2013
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 65",Wrong Track +38,2013-08-07,2013
Direction of Country,The Economist/YouGov,"Right Direction 30, Wrong Track 58",Wrong Track +28,2013-08-08,2013
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 64",Wrong Track +35,2013-08-14,2013
Direction of Country,The Economist/YouGov,"Right Direction 30, Wrong Track 60",Wrong Track +30,2013-08-15,2013
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 59",Wrong Track +34,2013-08-15,2013
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 63",Wrong Track +34,2013-08-21,2013
Direction of Country,The Economist/YouGov,"Right Direction 31, Wrong Track 59",Wrong Track +28,2013-08-22,2013
Direction of Country,Reuters/Ipsos,"Right Direction 24, Wrong Track 59",Wrong Track +35,2013-08-22,2013
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 64",Wrong Track +35,2013-08-28,2013
Direction of Country,Reuters/Ipsos,"Right Direction 24, Wrong Track 60",Wrong Track +36,2013-08-29,2013
Direction of Country,The Economist/YouGov,"Right Direction 28, Wrong Track 62",Wrong Track +34,2013-08-29,2013
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 62",Wrong Track +32,2013-09-04,2013
Direction of Country,The Economist/YouGov,"Right Direction 28, Wrong Track 59",Wrong Track +31,2013-09-04,2013
Direction of Country,Reuters/Ipsos,"Right Direction 24, Wrong Track 60",Wrong Track +36,2013-09-05,2013
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 30, Wrong Track 62",Wrong Track +32,2013-09-10,2013
Direction of Country,Reason-Rupe/PSRAI,"Right Direction 28, Wrong Track 61",Wrong Track +33,2013-09-10,2013
Direction of Country,The Economist/YouGov,"Right Direction 28, Wrong Track 60",Wrong Track +32,2013-09-11,2013
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 61",Wrong Track +31,2013-09-11,2013
Direction of Country,Reuters/Ipsos,"Right Direction 21, Wrong Track 62",Wrong Track +41,2013-09-12,2013
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 61",Wrong Track +31,2013-09-18,2013
Direction of Country,The Economist/YouGov,"Right Direction 30, Wrong Track 58",Wrong Track +28,2013-09-18,2013
Direction of Country,Bloomberg,"Right Direction 25, Wrong Track 68",Wrong Track +43,2013-09-24,2013
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 65",Wrong Track +37,2013-09-25,2013
Direction of Country,The Economist/YouGov,"Right Direction 29, Wrong Track 62",Wrong Track +33,2013-09-25,2013
Direction of Country,Reuters/Ipsos,"Right Direction 22, Wrong Track 64",Wrong Track +42,2013-09-26,2013
Direction of Country,CBS News/NY Times,"Right Direction 29, Wrong Track 66",Wrong Track +37,2013-09-26,2013
Direction of Country,The Economist/YouGov,"Right Direction 25, Wrong Track 65",Wrong Track +40,2013-10-02,2013
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 63",Wrong Track +35,2013-10-02,2013
Direction of Country,Reuters/Ipsos,"Right Direction 24, Wrong Track 60",Wrong Track +36,2013-10-04,2013
Direction of Country,Rasmussen Reports,"Right Direction 17, Wrong Track 76",Wrong Track +59,2013-10-09,2013
Direction of Country,Democracy Corps (D),"Right Direction 18, Wrong Track 76",Wrong Track +58,2013-10-09,2013
Direction of Country,Associated Press/GfK,"Right Direction 22, Wrong Track 78",Wrong Track +56,2013-10-09,2013
Direction of Country,The Economist/YouGov,"Right Direction 18, Wrong Track 73",Wrong Track +55,2013-10-09,2013
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 14, Wrong Track 78",Wrong Track +64,2013-10-10,2013
Direction of Country,Reuters/Ipsos,"Right Direction 15, Wrong Track 68",Wrong Track +53,2013-10-10,2013
Direction of Country,Rasmussen Reports,"Right Direction 13, Wrong Track 80",Wrong Track +67,2013-10-16,2013
Direction of Country,The Economist/YouGov,"Right Direction 15, Wrong Track 76",Wrong Track +61,2013-10-16,2013
Direction of Country,CBS News,"Right Direction 23, Wrong Track 72",Wrong Track +49,2013-10-22,2013
Direction of Country,ABC News/Wash Post,"Right Direction 26, Wrong Track 71",Wrong Track +45,2013-10-22,2013
Direction of Country,Rasmussen Reports,"Right Direction 17, Wrong Track 75",Wrong Track +58,2013-10-22,2013
Direction of Country,The Economist/YouGov,"Right Direction 26, Wrong Track 66",Wrong Track +40,2013-10-23,2013
Direction of Country,The Economist/YouGov,"Right Direction 26, Wrong Track 64",Wrong Track +38,2013-10-30,2013
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 22, Wrong Track 70",Wrong Track +48,2013-10-30,2013
Direction of Country,Rasmussen Reports,"Right Direction 25, Wrong Track 68",Wrong Track +43,2013-10-30,2013
Direction of Country,Reuters/Ipsos,"Right Direction 19, Wrong Track 66",Wrong Track +47,2013-11-01,2013
Direction of Country,GWU/Battleground,"Right Direction 19, Wrong Track 73",Wrong Track +54,2013-11-04,2013
Direction of Country,Rasmussen Reports,"Right Direction 24, Wrong Track 69",Wrong Track +45,2013-11-06,2013
Direction of Country,The Economist/YouGov,"Right Direction 23, Wrong Track 63",Wrong Track +40,2013-11-06,2013
Direction of Country,The Economist/YouGov,"Right Direction 25, Wrong Track 65",Wrong Track +40,2013-11-13,2013
Direction of Country,Rasmussen Reports,"Right Direction 24, Wrong Track 69",Wrong Track +45,2013-11-13,2013
Direction of Country,National Journal,"Right Direction 23, Wrong Track 65",Wrong Track +42,2013-11-18,2013
Direction of Country,The Economist/YouGov,"Right Direction 26, Wrong Track 63",Wrong Track +37,2013-11-19,2013
Direction of Country,ABC News/Wash Post,"Right Direction 27, Wrong Track 70",Wrong Track +43,2013-11-19,2013
Direction of Country,Rasmussen Reports,"Right Direction 25, Wrong Track 68",Wrong Track +43,2013-11-20,2013
Direction of Country,CBS News,"Right Direction 27, Wrong Track 68",Wrong Track +41,2013-11-21,2013
Direction of Country,The Economist/YouGov,"Right Direction 24, Wrong Track 66",Wrong Track +42,2013-11-27,2013
Direction of Country,Reuters/Ipsos,"Right Direction 19, Wrong Track 64",Wrong Track +45,2013-11-27,2013
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 67",Wrong Track +41,2013-11-27,2013
Direction of Country,Rasmussen Reports,"Right Direction 25, Wrong Track 67",Wrong Track +42,2013-12-04,2013
Direction of Country,The Economist/YouGov,"Right Direction 24, Wrong Track 62",Wrong Track +38,2013-12-04,2013
Direction of Country,Reuters/Ipsos,"Right Direction 22, Wrong Track 63",Wrong Track +41,2013-12-05,2013
Direction of Country,McClatchy/Marist,"Right Direction 30, Wrong Track 67",Wrong Track +37,2013-12-09,2013
Direction of Country,Bloomberg,"Right Direction 27, Wrong Track 67",Wrong Track +40,2013-12-10,2013
Direction of Country,CBS News/NY Times,"Right Direction 30, Wrong Track 63",Wrong Track +33,2013-12-10,2013
Direction of Country,The Economist/YouGov,"Right Direction 27, Wrong Track 60",Wrong Track +33,2013-12-11,2013
Direction of Country,Reason-Rupe/PSRAI,"Right Direction 35, Wrong Track 56",Wrong Track +21,2013-12-11,2013
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 29, Wrong Track 64",Wrong Track +35,2013-12-11,2013
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 65",Wrong Track +37,2013-12-11,2013
Direction of Country,Associated Press/GfK,"Right Direction 34, Wrong Track 66",Wrong Track +32,2013-12-11,2013
Direction of Country,The Economist/YouGov,"Right Direction 29, Wrong Track 61",Wrong Track +32,2013-12-24,2013
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 64",Wrong Track +35,2013-12-25,2013
Direction of Country,The Economist/YouGov,"Right Direction 26, Wrong Track 60",Wrong Track +34,2013-12-31,2013
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 63",Wrong Track +33,2014-01-01,2014
Direction of Country,The Economist/YouGov,"Right Direction 28, Wrong Track 60",Wrong Track +32,2014-01-07,2014
