,Date,Poll,Race/Topic (Click to Sort),Results,Spread,Year
5721,2016-01-17,Augusta Chronicle,South Carolina Republican Presidential Primary,"Trump 32, Cruz 18, Rubio 11, Bush 13, Carson 9, Christie 4, Huckabee 2, Kasich 3, Paul 2, Fiorina 3, Santorum 1",Trump +14,2016
5722,2016-01-17,Salt Lake Tribune/SurveyUSA,Utah Republican Presidential Caucus,"Cruz 18, Trump 17, Rubio 15, Carson 15, Bush 7, Fiorina 5, Paul 4, Christie 2, Kasich 1, Santorum 0, Huckabee 0",Cruz +1,2016
5723,2016-01-17,Salt Lake Tribune/SurveyUSA,Utah Democratic Presidential Caucus,"Clinton 50, Sanders 40, O'Malley 2",Clinton +10,2016
5724,2016-01-17,NBC News/Wall St. Jrnl,General Election: Trump vs. Clinton,"Clinton 51, Trump 41",Clinton +10,2016
5725,2016-01-17,NBC News/Wall St. Jrnl,General Election: Cruz vs. Clinton,"Cruz 45, Clinton 49",Clinton +4,2016
5726,2016-01-17,NBC News/Wall St. Jrnl,General Election: Rubio vs. Clinton,"Rubio 46, Clinton 47",Clinton +1,2016
5727,2016-01-17,NBC News/Wall St. Jrnl,General Election: Trump vs. Sanders,"Sanders 54, Trump 39",Sanders +15,2016
5728,2016-01-15,Gallup,Congressional Job Approval,"Approve 16, Disapprove 80",Disapprove +64,2016
5729,2016-01-14,NBC News/Wall St. Jrnl,2016 Republican Presidential Nomination,"Trump 33, Cruz 20, Rubio 13, Carson 12, Bush 5, Christie 5, Paul 3, Kasich 3, Fiorina 3, Huckabee 1, Santorum 0",Trump +13,2016
5730,2016-01-14,DM Register/Bloomberg,Iowa Democratic Presidential Caucus,"Clinton 42, Sanders 40, O'Malley 4",Clinton +2,2016
5731,2016-01-14,Reuters/Ipsos,President Obama Job Approval,"Approve 48, Disapprove 48",Tie,2016
5732,2016-01-14,Reuters/Ipsos,Direction of Country,"Right Direction 29, Wrong Track 59",Wrong Track +30,2016
5733,2016-01-13,DM Register/Bloomberg,Iowa Republican Presidential Caucus,"Trump 22, Cruz 25, Rubio 12, Carson 11, Paul 5, Bush 4, Huckabee 3, Kasich 2, Fiorina 2, Christie 3, Santorum 1",Cruz +3,2016
5734,2016-01-13,Gravis,Iowa Republican Presidential Caucus,"Trump 34, Cruz 28, Rubio 5, Carson 9, Paul 3, Bush 4, Huckabee 2, Kasich 4, Fiorina 1, Christie 5, Santorum 0",Trump +6,2016
5735,2016-01-13,Gravis,Iowa Democratic Presidential Caucus,"Clinton 57, Sanders 36, O'Malley 7",Clinton +21,2016
5736,2016-01-12,CBS/NY Times,2016 Republican Presidential Nomination,"Trump 36, Cruz 19, Rubio 12, Carson 6, Bush 6, Christie 3, Paul 1, Kasich 2, Fiorina 3, Huckabee 4, Santorum 0",Trump +17,2016
5737,2016-01-12,CBS/NY Times,2016 Democratic Presidential Nomination,"Clinton 48, Sanders 41, O'Malley 2",Clinton +7,2016
5738,2016-01-12,Quinnipiac,Iowa Democratic Presidential Caucus,"Clinton 44, Sanders 49, O'Malley 4",Sanders +5,2016
5739,2016-01-12,PPP (D),Iowa Democratic Presidential Caucus,"Clinton 46, Sanders 40, O'Malley 8",Clinton +6,2016
5740,2016-01-12,PPP (D),Iowa Republican Presidential Caucus,"Trump 28, Cruz 26, Rubio 13, Carson 8, Paul 3, Bush 6, Huckabee 3, Kasich 3, Fiorina 3, Christie 3, Santorum 2",Trump +2,2016
5741,2016-01-12,Monmouth,New Hampshire 2016 Democratic Primary,"Sanders 53, Clinton 39, O'Malley 5",Sanders +14,2016
5742,2016-01-12,CBS/NY Times,President Obama Job Approval,"Approve 46, Disapprove 47",Disapprove +1,2016
5743,2016-01-12,CBS/NY Times,Public Approval of Health Care Law,"For/Favor 41, Against/Oppose 52",Against/Oppose +11,2016
5744,2016-01-12,CBS/NY Times,Congressional Job Approval,"Approve 15, Disapprove 75",Disapprove +60,2016
5745,2016-01-12,CBS/NY Times,Direction of Country,"Right Direction 27, Wrong Track 65",Wrong Track +38,2016
5746,2016-01-11,IBD/TIPP,2016 Republican Presidential Nomination,"Trump 34, Cruz 18, Rubio 9, Carson 8, Bush 4, Christie 4, Paul 3, Kasich 2, Fiorina 2, Huckabee 1, Santorum 0",Trump +16,2016
5747,2016-01-11,IBD/TIPP,2016 Democratic Presidential Nomination,"Clinton 43, Sanders 39, O'Malley 2",Clinton +4,2016
5748,2016-01-11,Quinnipiac,Iowa Republican Presidential Caucus,"Trump 31, Cruz 29, Rubio 15, Carson 7, Paul 2, Bush 3, Huckabee 3, Kasich 2, Fiorina 1, Christie 4, Santorum 1",Trump +2,2016
5749,2016-01-11,ARG,Iowa Republican Presidential Caucus,"Trump 29, Cruz 25, Rubio 10, Carson 8, Paul 4, Bush 3, Huckabee 2, Kasich 3, Fiorina 1, Christie 6, Santorum 2",Trump +4,2016
5750,2016-01-11,ARG,Iowa Democratic Presidential Caucus,"Clinton 44, Sanders 47, O'Malley 3",Sanders +3,2016
5751,2016-01-11,Monmouth,New Hampshire Republican Presidential Primary,"Trump 32, Rubio 12, Cruz 14, Kasich 14, Bush 4, Christie 8, Fiorina 5, Carson 3",Trump +18,2016
5752,2016-01-11,ARG,New Hampshire Republican Presidential Primary,"Trump 25, Rubio 14, Cruz 9, Kasich 14, Bush 8, Christie 10, Fiorina 3, Carson 2",Trump +11,2016
5753,2016-01-11,ARG,New Hampshire 2016 Democratic Primary,"Sanders 47, Clinton 44, O'Malley 3",Sanders +3,2016
5754,2016-01-11,IBD/TIPP,President Obama Job Approval,"Approve 43, Disapprove 48",Disapprove +5,2016
5755,2016-01-11,Rasmussen Reports,Direction of Country,"Right Direction 28, Wrong Track 67",Wrong Track +39,2016
5756,2016-01-10,NBC/WSJ/Marist,Iowa Republican Presidential Caucus,"Trump 24, Cruz 28, Rubio 13, Carson 11, Paul 5, Bush 4, Huckabee 2, Kasich 2, Fiorina 3, Christie 3, Santorum 0",Cruz +4,2016
5757,2016-01-10,NBC/WSJ/Marist,Iowa Democratic Presidential Caucus,"Clinton 48, Sanders 45, O'Malley 5",Clinton +3,2016
5758,2016-01-10,NBC/WSJ/Marist,New Hampshire Republican Presidential Primary,"Trump 30, Rubio 14, Cruz 10, Kasich 9, Bush 9, Christie 12, Fiorina 3, Carson 4",Trump +16,2016
5759,2016-01-10,NBC/WSJ/Marist,New Hampshire 2016 Democratic Primary,"Sanders 50, Clinton 46, O'Malley 1",Sanders +4,2016
5760,2016-01-10,NBC/WSJ/Marist,Iowa: Trump vs. Clinton,"Clinton 48, Trump 40",Clinton +8,2016
5761,2016-01-10,NBC/WSJ/Marist,Iowa: Trump vs. Sanders,"Sanders 51, Trump 38",Sanders +13,2016
5762,2016-01-10,NBC/WSJ/Marist,Iowa: Cruz vs. Clinton,"Cruz 47, Clinton 43",Cruz +4,2016
5763,2016-01-10,NBC/WSJ/Marist,Iowa: Cruz vs. Sanders,"Sanders 47, Cruz 42",Sanders +5,2016
5764,2016-01-10,NBC/WSJ/Marist,Iowa: Rubio vs. Clinton,"Rubio 47, Clinton 42",Rubio +5,2016
5765,2016-01-10,NBC/WSJ/Marist,Iowa: Rubio vs. Sanders,"Rubio 44, Sanders 44",Tie,2016
5766,2016-01-10,NBC/WSJ/Marist,New Hampshire: Trump vs. Clinton,"Clinton 45, Trump 44",Clinton +1,2016
5767,2016-01-10,NBC/WSJ/Marist,New Hampshire: Trump vs. Sanders,"Sanders 56, Trump 37",Sanders +19,2016
5768,2016-01-10,NBC/WSJ/Marist,New Hampshire: Cruz vs. Clinton,"Clinton 44, Cruz 48",Cruz +4,2016
5769,2016-01-10,NBC/WSJ/Marist,New Hampshire: Cruz vs. Sanders,"Sanders 55, Cruz 37",Sanders +18,2016
5770,2016-01-10,NBC/WSJ/Marist,New Hampshire: Rubio vs. Clinton,"Rubio 52, Clinton 40",Rubio +12,2016
5771,2016-01-10,NBC/WSJ/Marist,New Hampshire: Rubio vs. Sanders,"Sanders 50, Rubio 41",Sanders +9,2016
5772,2016-01-09,NH1/Reach (R),New Hampshire Republican Presidential Primary,"Trump 32, Rubio 9, Cruz 10, Kasich 12, Bush 12, Christie 11, Fiorina 5, Carson 4",Trump +20,2016
5773,2016-01-08,FOX News,2016 Republican Presidential Nomination,"Trump 35, Cruz 20, Rubio 13, Carson 10, Bush 4, Christie 2, Paul 2, Kasich 2, Fiorina 3, Huckabee 1, Santorum 0",Trump +15,2016
5774,2016-01-08,FOX News,2016 Democratic Presidential Nomination,"Clinton 54, Sanders 39, O'Malley 3",Clinton +15,2016
5775,2016-01-08,FOX News,Iowa Republican Presidential Caucus,"Trump 23, Cruz 27, Rubio 15, Carson 9, Paul 5, Bush 7, Huckabee 2, Kasich 1, Fiorina 1, Christie 4, Santorum 1",Cruz +4,2016
5776,2016-01-08,FOX News,New Hampshire Republican Presidential Primary,"Trump 33, Rubio 15, Cruz 12, Kasich 7, Bush 9, Christie 5, Fiorina 3, Carson 4",Trump +18,2016
5777,2016-01-08,FOX News,New Hampshire 2016 Democratic Primary,"Sanders 50, Clinton 37, O'Malley 3",Sanders +13,2016
5778,2016-01-08,FOX News,General Election: Trump vs. Clinton,"Clinton 44, Trump 47",Trump +3,2016
5779,2016-01-08,FOX News,General Election: Cruz vs. Clinton,"Cruz 50, Clinton 43",Cruz +7,2016
5780,2016-01-08,FOX News,General Election: Rubio vs. Clinton,"Rubio 50, Clinton 41",Rubio +9,2016
5781,2016-01-08,FOX News,General Election: Bush vs. Clinton,"Clinton 44, Bush 44",Tie,2016
5782,2016-01-08,FOX News,President Obama Job Approval,"Approve 42, Disapprove 53",Disapprove +11,2016
5783,2016-01-08,The Economist/YouGov,President Obama Job Approval,"Approve 43, Disapprove 54",Disapprove +11,2016
5784,2016-01-08,The Economist/YouGov,Congressional Job Approval,"Approve 10, Disapprove 67",Disapprove +57,2016
5785,2016-01-08,The Economist/YouGov,Direction of Country,"Right Direction 27, Wrong Track 65",Wrong Track +38,2016
5786,2016-01-07,PPP (D),New Hampshire: Trump vs. Clinton,"Clinton 50, Trump 36",Clinton +14,2016
5787,2016-01-07,PPP (D),New Hampshire: Cruz vs. Clinton,"Clinton 48, Cruz 40",Clinton +8,2016
5788,2016-01-07,PPP (D),New Hampshire: Rubio vs. Clinton,"Rubio 42, Clinton 45",Clinton +3,2016
5789,2016-01-07,PPP (D),New Hampshire: Carson vs. Clinton,"Clinton 50, Carson 39",Clinton +11,2016
5790,2016-01-07,PPP (D),New Hampshire: Bush vs. Clinton,"Bush 40, Clinton 46",Clinton +6,2016
5791,2016-01-07,PPP (D),New Hampshire: Trump vs. Sanders,"Sanders 54, Trump 34",Sanders +20,2016
5792,2016-01-07,PPP (D),New Hampshire: Cruz vs. Sanders,"Sanders 55, Cruz 35",Sanders +20,2016
5793,2016-01-07,PPP (D),New Hampshire: Rubio vs. Sanders,"Sanders 51, Rubio 37",Sanders +14,2016
5794,2016-01-07,PPP (D),New Hampshire: Bush vs. Sanders,"Sanders 50, Bush 38",Sanders +12,2016
5795,2016-01-07,PPP (D),New Hampshire Senate - Ayotte vs. Hassan,"Ayotte 44, Hassan 42",Ayotte +2,2016
5796,2016-01-07,Field,California Senate - Open Primary,"Harris 27, Sanchez 15, Chavez 7, Del Beccaro 3, Sundheim 3",Harris +12,2016
5797,2016-01-07,Reuters/Ipsos,President Obama Job Approval,"Approve 44, Disapprove 51",Disapprove +7,2016
5798,2016-01-07,Reuters/Ipsos,Direction of Country,"Right Direction 27, Wrong Track 59",Wrong Track +32,2016
5799,2016-01-06,PPP (D),New Hampshire Republican Presidential Primary,"Trump 29, Rubio 15, Cruz 10, Kasich 11, Bush 10, Christie 11, Fiorina 4, Carson 4",Trump +14,2016
5800,2016-01-06,PPP (D),New Hampshire 2016 Democratic Primary,"Sanders 44, Clinton 47, O'Malley 3",Clinton +3,2016
5801,2016-01-06,Field,California Democratic Presidential Primary,"Clinton 46, Sanders 35, O'Malley 1",Clinton +11,2016
5802,2016-01-06,Elway Poll,Washington Governor - Bryant vs. Inslee,"Inslee 39, Bryant 30",Inslee +9,2016
5803,2016-01-05,Field,California Republican Presidential Primary,"Cruz 25, Trump 23, Rubio 13, Carson 9, Paul 6, Bush 4, Christie 3, Fiorina 3, Kasich 1, Huckabee, Santorum",Cruz +2,2016
5804,2016-01-09,NH1/Reach (R),New Hampshire Republican Presidential Primary,"Trump 32, Rubio 9, Cruz 10, Bush 12, Kasich 12, Christie 11, Fiorina 5, Carson 4, Paul 3, Santorum 3, Huckabee 1",Trump +20,2016
5805,2016-01-09,Gallup,President Obama Job Approval,"Approve 46, Disapprove 49",Disapprove +3,2016
5806,2016-01-08,FOX News,2016 Republican Presidential Nomination,"Trump 35, Cruz 20, Rubio 13, Carson 10, Christie 2, Bush 4, Paul 2, Fiorina 3, Kasich 2, Huckabee 1, Graham, Santorum 0, Pataki",Trump +15,2016
5807,2016-01-08,FOX News,Iowa Republican Presidential Caucus,"Cruz 27, Trump 23, Rubio 15, Carson 9, Bush 7, Huckabee 2, Paul 5, Christie 4, Fiorina 1, Kasich 1, Santorum 1, Graham, Pataki",Cruz +4,2016
5808,2016-01-08,FOX News,New Hampshire Republican Presidential Primary,"Trump 33, Rubio 15, Cruz 12, Bush 9, Kasich 7, Christie 5, Fiorina 3, Carson 4, Paul 5, Santorum 0, Huckabee 0",Trump +18,2016
5809,2016-01-08,Rasmussen Reports,President Obama Job Approval,"Approve 46, Disapprove 53",Disapprove +7,2016
5810,2016-01-06,PPP (D),New Hampshire Republican Presidential Primary,"Trump 29, Rubio 15, Cruz 10, Bush 10, Kasich 11, Christie 11, Fiorina 4, Carson 4, Paul 3, Santorum 1, Huckabee 1",Trump +14,2016
5811,2016-01-04,Rasmussen Reports,Direction of Country,"Right Direction 26, Wrong Track 67",Wrong Track +41,2016
5812,2015-12-30,Gravis,Nevada Republican Presidential Caucus,"Trump 33, Cruz 20, Rubio 11, Carson 6, Christie 5, Bush 5, Fiorina 5, Paul 1, Santorum 1, Kasich 0, Huckabee 0",Trump +13,2015
5813,2015-12-30,Gravis,Nevada Democratic Presidential Caucus,"Clinton 50, Sanders 27, O'Malley 1",Clinton +23,2015
5814,2015-12-30,Reuters/Ipsos,President Obama Job Approval,"Approve 41, Disapprove 51",Disapprove +10,2015
5815,2015-12-30,Reuters/Ipsos,Direction of Country,"Right Direction 26, Wrong Track 60",Wrong Track +34,2015
5816,2015-12-28,Rasmussen Reports,General Election: Trump vs. Clinton,"Clinton 37, Trump 36",Clinton +1,2015
5817,2015-12-28,CNN/Opinion Research,President Obama Job Approval,"Approve 47, Disapprove 52",Disapprove +5,2015
5818,2015-12-28,The Economist/YouGov,President Obama Job Approval,"Approve 42, Disapprove 56",Disapprove +14,2015
5819,2015-12-28,The Economist/YouGov,Congressional Job Approval,"Approve 10, Disapprove 70",Disapprove +60,2015
5820,2015-12-28,The Economist/YouGov,Direction of Country,"Right Direction 26, Wrong Track 66",Wrong Track +40,2015
5821,2015-12-28,Rasmussen Reports,Direction of Country,"Right Direction 26, Wrong Track 66",Wrong Track +40,2015
5822,2015-12-23,CNN/ORC,2016 Republican Presidential Nomination,"Trump 39, Cruz 18, Rubio 10, Carson 10, Christie 5, Bush 3, Paul 4, Fiorina 1, Kasich 2, Huckabee 2, Graham 1, Santorum 0, Pataki 0",Trump +21,2015
5823,2015-12-23,CNN/ORC,2016 Democratic Presidential Nomination,"Clinton 50, Sanders 34, O'Malley 3",Clinton +16,2015
5824,2015-12-23,Gravis,Iowa Republican Presidential Caucus,"Cruz 31, Trump 31, Rubio 9, Carson 7, Bush 4, Huckabee 4, Paul 1, Christie 2, Fiorina 3, Kasich 2, Santorum 0, Graham 1, Pataki 1",Tie,2015
5825,2015-12-23,Gravis,Iowa Democratic Presidential Caucus,"Clinton 49, Sanders 31, O'Malley 10",Clinton +18,2015
5826,2015-12-23,ARG,New Hampshire Republican Presidential Primary,"Trump 21, Rubio 15, Cruz 10, Bush 7, Kasich 13, Christie 12, Fiorina 5, Carson 6, Paul 4, Santorum 0, Huckabee 0",Trump +6,2015
5827,2015-12-23,ARG,New Hampshire 2016 Democratic Primary,"Sanders 43, Clinton 46, O'Malley 3",Clinton +3,2015
5828,2015-12-23,CNN/ORC,General Election: Trump vs. Clinton,"Clinton 49, Trump 47",Clinton +2,2015
5829,2015-12-23,CNN/ORC,General Election: Cruz vs. Clinton,"Cruz 48, Clinton 46",Cruz +2,2015
5830,2015-12-23,CNN/ORC,General Election: Rubio vs. Clinton,"Rubio 49, Clinton 46",Rubio +3,2015
5831,2015-12-23,Quinnipiac,President Obama Job Approval,"Approve 44, Disapprove 52",Disapprove +8,2015
5832,2015-12-23,Reuters/Ipsos,President Obama Job Approval,"Approve 42, Disapprove 52",Disapprove +10,2015
5833,2015-12-23,Reuters/Ipsos,Direction of Country,"Right Direction 23, Wrong Track 60",Wrong Track +37,2015
5834,2015-12-22,Quinnipiac,2016 Republican Presidential Nomination,"Trump 28, Cruz 24, Rubio 12, Carson 10, Christie 6, Bush 4, Paul 2, Fiorina 2, Kasich 1, Huckabee 1, Graham 0, Santorum 1, Pataki 0",Trump +4,2015
5835,2015-12-22,Quinnipiac,2016 Democratic Presidential Nomination,"Clinton 61, Sanders 30, O'Malley 2",Clinton +31,2015
5836,2015-12-22,Rasmussen Reports,2016 Democratic Presidential Nomination,"Clinton 46, Sanders 30, O'Malley 7",Clinton +16,2015
5837,2015-12-22,Quinnipiac,General Election: Trump vs. Clinton,"Clinton 47, Trump 40",Clinton +7,2015
5838,2015-12-22,Quinnipiac,General Election: Cruz vs. Clinton,"Cruz 44, Clinton 44",Tie,2015
5839,2015-12-22,Quinnipiac,General Election: Rubio vs. Clinton,"Rubio 43, Clinton 44",Clinton +1,2015
5840,2015-12-22,Quinnipiac,General Election: Trump vs. Sanders,"Sanders 51, Trump 38",Sanders +13,2015
5841,2015-12-22,Quinnipiac,General Election: Cruz vs. Sanders,"Sanders 43, Cruz 44",Cruz +1,2015
5842,2015-12-22,Quinnipiac,General Election: Rubio vs. Sanders,"Rubio 45, Sanders 42",Rubio +3,2015
5843,2015-12-21,PPP (D),General Election: Trump vs. Clinton,"Clinton 46, Trump 43",Clinton +3,2015
5844,2015-12-21,PPP (D),General Election: Cruz vs. Clinton,"Cruz 43, Clinton 45",Clinton +2,2015
5845,2015-12-21,PPP (D),General Election: Rubio vs. Clinton,"Rubio 44, Clinton 43",Rubio +1,2015
5846,2015-12-21,PPP (D),General Election: Carson vs. Clinton,"Clinton 45, Carson 45",Tie,2015
5847,2015-12-21,PPP (D),General Election: Bush vs. Clinton,"Clinton 44, Bush 39",Clinton +5,2015
5848,2015-12-21,PPP (D),General Election: Trump vs. Sanders,"Sanders 41, Trump 43",Trump +2,2015
5849,2015-12-21,PPP (D),General Election: Cruz vs. Sanders,"Sanders 41, Cruz 42",Cruz +1,2015
5850,2015-12-21,PPP (D),General Election: Rubio vs. Sanders,"Rubio 42, Sanders 39",Rubio +3,2015
5851,2015-12-21,PPP (D),General Election: Carson vs. Sanders,"Sanders 41, Carson 41",Tie,2015
5852,2015-12-21,PPP (D),General Election: Bush vs. Sanders,"Sanders 41, Bush 42",Bush +1,2015
5853,2015-12-21,PPP (D),President Obama Job Approval,"Approve 44, Disapprove 48",Disapprove +4,2015
5854,2015-12-21,PPP (D),Congressional Job Approval,"Approve 13, Disapprove 78",Disapprove +65,2015
5855,2015-12-21,PPP (D),2016 Generic Congressional Vote,"Republicans 43, Democrats 43",Tie,2015
5856,2015-12-21,Rasmussen Reports,Direction of Country,"Right Direction 26, Wrong Track 66",Wrong Track +40,2015
5857,2015-12-20,CBS News/YouGov,Iowa Republican Presidential Caucus,"Cruz 40, Trump 31, Rubio 12, Carson 6, Bush 2, Huckabee 2, Paul 2, Christie 1, Fiorina 2, Kasich 1, Santorum 1, Graham 0, Pataki 0",Cruz +9,2015
5858,2015-12-20,CBS News/YouGov,New Hampshire Republican Presidential Primary,"Trump 32, Rubio 13, Cruz 14, Bush 6, Kasich 8, Christie 11, Fiorina 4, Carson 5, Paul 5, Santorum 0, Huckabee 0",Trump +18,2015
5859,2015-12-20,CBS News/YouGov,South Carolina Republican Presidential Primary,"Trump 38, Cruz 23, Rubio 12, Carson 9, Bush 7, Paul 4, Christie 1, Fiorina 1, Graham 1, Kasich 2, Huckabee 1, Santorum 0, Pataki 0",Trump +15,2015
5860,2015-12-20,CBS News/YouGov,Iowa Democratic Presidential Caucus,"Clinton 50, Sanders 45, O'Malley 4",Clinton +5,2015
5861,2015-12-20,CBS News/YouGov,New Hampshire 2016 Democratic Primary,"Sanders 56, Clinton 42, O'Malley 1",Sanders +14,2015
5862,2015-12-20,CBS News/YouGov,South Carolina Democratic Presidential Primary,"Clinton 67, Sanders 31, O'Malley 2",Clinton +36,2015
5863,2015-12-19,Augusta Chronicle,South Carolina Republican Presidential Primary,"Trump 28, Cruz 21, Rubio 12, Carson 10, Bush 10, Paul 3, Christie 6, Fiorina 5, Graham 2, Kasich 1, Huckabee 2, Santorum 1, Pataki 0",Trump +7,2015
5864,2015-12-18,FOX News,2016 Republican Presidential Nomination,"Trump 39, Cruz 18, Rubio 11, Carson 9, Christie 3, Bush 3, Paul 3, Fiorina 3, Kasich 2, Huckabee 1, Graham 0, Santorum 1, Pataki 0",Trump +21,2015
5865,2015-12-18,PPP (D),2016 Republican Presidential Nomination,"Trump 34, Cruz 18, Rubio 13, Carson 6, Christie 5, Bush 7, Paul 2, Fiorina 4, Kasich 2, Huckabee 4, Graham 1, Santorum 1, Pataki 0",Trump +16,2015
5866,2015-12-18,FOX News,2016 Democratic Presidential Nomination,"Clinton 56, Sanders 34, O'Malley 2",Clinton +22,2015
5867,2015-12-18,ABC News/Wash Post,2016 Democratic Presidential Nomination,"Clinton 59, Sanders 28, O'Malley 5",Clinton +31,2015
5868,2015-12-18,PPP (D),2016 Democratic Presidential Nomination,"Clinton 56, Sanders 28, O'Malley 9",Clinton +28,2015
5869,2015-12-18,Boston Herald,New Hampshire Republican Presidential Primary,"Trump 26, Rubio 12, Cruz 12, Bush 10, Kasich 8, Christie 11, Fiorina 6, Carson 5, Paul 3, Santorum 0, Huckabee 0",Trump +14,2015
5870,2015-12-18,Boston Herald,New Hampshire 2016 Democratic Primary,"Sanders 48, Clinton 46, O'Malley 2",Sanders +2,2015
5871,2015-12-18,Florida Times-Union,Florida Republican Presidential Primary,"Trump 30, Cruz 20, Rubio 15, Bush 13, Carson 8, Christie 6, Paul 3, Fiorina 3, Kasich 1, Huckabee 0, Graham 0, Santorum 0, Pataki 0",Trump +10,2015
5872,2015-12-18,FOX 5 Atlanta,Georgia Republican Presidential Primary,"Trump 35, Cruz 16, Rubio 12, Carson 6, Bush 6, Fiorina 5, Kasich 2, Paul 2, Huckabee 1, Christie 6, Graham 1, Pataki 1, Santorum",Trump +19,2015
5873,2015-12-18,FOX News,General Election: Trump vs. Clinton,"Clinton 49, Trump 38",Clinton +11,2015
5874,2015-12-18,FOX News,General Election: Cruz vs. Clinton,"Cruz 45, Clinton 45",Tie,2015
5875,2015-12-18,FOX News,General Election: Rubio vs. Clinton,"Rubio 45, Clinton 43",Rubio +2,2015
5876,2015-12-18,FOX News,General Election: Carson vs. Clinton,"Clinton 46, Carson 44",Clinton +2,2015
5877,2015-12-18,FOX News,President Obama Job Approval,"Approve 43, Disapprove 51",Disapprove +8,2015
5878,2015-12-18,Gallup,Congressional Job Approval,"Approve 13, Disapprove 82",Disapprove +69,2015
5879,2015-12-17,PPP (D),Iowa: Trump vs. Clinton,"Trump 43, Clinton 45",Clinton +2,2015
5880,2015-12-17,PPP (D),Iowa: Cruz vs. Clinton,"Cruz 47, Clinton 44",Cruz +3,2015
5881,2015-12-17,PPP (D),Iowa: Rubio vs. Clinton,"Rubio 48, Clinton 41",Rubio +7,2015
5882,2015-12-17,PPP (D),Iowa: Carson vs. Clinton,"Carson 45, Clinton 45",Tie,2015
5883,2015-12-17,PPP (D),Iowa: Bush vs. Clinton,"Bush 41, Clinton 46",Clinton +5,2015
5884,2015-12-17,PPP (D),Iowa: Trump vs. Sanders,"Sanders 46, Trump 43",Sanders +3,2015
5885,2015-12-17,PPP (D),Iowa: Cruz vs. Sanders,"Sanders 44, Cruz 43",Sanders +1,2015
5886,2015-12-17,PPP (D),Iowa: Rubio vs. Sanders,"Rubio 44, Sanders 42",Rubio +2,2015
5887,2015-12-17,PPP (D),Iowa: Carson vs. Sanders,"Sanders 43, Carson 42",Sanders +1,2015
5888,2015-12-17,PPP (D),Iowa: Bush vs. Sanders,"Bush 40, Sanders 44",Sanders +4,2015
5889,2015-12-17,Reuters/Ipsos,President Obama Job Approval,"Approve 42, Disapprove 53",Disapprove +11,2015
5890,2015-12-17,Reuters/Ipsos,Direction of Country,"Right Direction 23, Wrong Track 62",Wrong Track +39,2015
5891,2015-12-16,Monmouth,2016 Democratic Presidential Nomination,"Clinton 59, Sanders 26, O'Malley 4",Clinton +33,2015
5892,2015-12-16,St. Pete Polls,Florida Republican Presidential Primary,"Trump 36, Cruz 22, Rubio 17, Bush 9, Carson 6, Christie 3, Paul 1, Fiorina 1, Kasich 2, Huckabee, Graham, Santorum, Pataki",Trump +14,2015
5893,2015-12-16,Pew Research,President Obama Job Approval,"Approve 46, Disapprove 49",Disapprove +3,2015
5894,2015-12-15,ABC/WP,2016 Republican Presidential Nomination,"Trump 38, Cruz 15, Rubio 12, Carson 12, Christie 4, Bush 5, Paul 2, Fiorina 1, Kasich 2, Huckabee 1, Graham 1, Santorum 0, Pataki 0",Trump +23,2015
5895,2015-12-15,Quinnipiac,Iowa Democratic Presidential Caucus,"Clinton 51, Sanders 40, O'Malley 6",Clinton +11,2015
5896,2015-12-15,Loras College,Iowa Republican Presidential Caucus,"Cruz 30, Trump 23, Rubio 11, Carson 11, Bush 6, Huckabee 2, Paul 2, Christie 0, Fiorina 3, Kasich 1, Santorum 1, Graham 0, Pataki",Cruz +7,2015
5897,2015-12-15,PPP (D),Iowa Republican Presidential Caucus,"Cruz 25, Trump 28, Rubio 14, Carson 10, Bush 7, Huckabee 3, Paul 2, Christie 3, Fiorina 3, Kasich 2, Santorum 1, Graham 1, Pataki 0",Trump +3,2015
5898,2015-12-15,Loras College,Iowa Democratic Presidential Caucus,"Clinton 59, Sanders 27, O'Malley 4",Clinton +32,2015
5899,2015-12-15,PPP (D),Iowa Democratic Presidential Caucus,"Clinton 52, Sanders 34, O'Malley 7",Clinton +18,2015
5900,2015-12-15,ABC News/Wash Post,General Election: Trump vs. Clinton,"Clinton 50, Trump 44",Clinton +6,2015
5901,2015-12-15,Monmouth,President Obama Job Approval,"Approve 40, Disapprove 54",Disapprove +14,2015
5902,2015-12-15,Monmouth,Congressional Job Approval,"Approve 16, Disapprove 77",Disapprove +61,2015
5903,2015-12-14,Monmouth,2016 Republican Presidential Nomination,"Trump 41, Cruz 14, Rubio 10, Carson 9, Christie 2, Bush 3, Paul 2, Fiorina 2, Kasich 3, Huckabee 2, Graham 1, Santorum 0, Pataki 1",Trump +27,2015
5904,2015-12-14,NBC/WSJ,2016 Democratic Presidential Nomination,"Clinton 56, Sanders 37, O'Malley 4",Clinton +19,2015
5905,2015-12-14,Quinnipiac,Iowa Republican Presidential Caucus,"Cruz 27, Trump 28, Rubio 14, Carson 10, Bush 5, Huckabee 1, Paul 4, Christie 3, Fiorina 3, Kasich 1, Santorum 0, Graham 0, Pataki 0",Trump +1,2015
5906,2015-12-14,Des Moines Register,Iowa Democratic Presidential Caucus,"Clinton 48, Sanders 39, O'Malley 4",Clinton +9,2015
5907,2015-12-14,NBC/WSJ,General Election: Trump vs. Clinton,"Clinton 50, Trump 40",Clinton +10,2015
